uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"9d921e91-4199-4405-8eb6-74aecb364113",3676,"Payload delivery","filename","jerusalem.ppc","",0,1641811504,"","","","",""
"2883cf18-21bf-4370-8f94-b91b8e4fbc91",3676,"Payload delivery","md5","8e417ab05d3ceb6d7242ef8e3781af86","",1,1641811505,"","","","",""
"96df622e-69fe-4a1d-920a-38701204616c",3676,"Payload delivery","sha1","effb9c132598c11fa883395de49564dd446e356f","",1,1641811505,"","","","",""
"7070b2dc-824b-4db9-8ddc-29b185f0c983",3676,"Payload delivery","sha256","be9576f364059f9371d9aa6f1e87243eb4b866992f6881705cb5e8a54efb54a7","",1,1641811505,"","","","",""
"c362eed3-c768-4c00-9b73-24417e654189",3676,"Payload delivery","mime-type","ELF 32-bit MSB executable, PowerPC or cisco 4500, version 1 (SYSV), statically linked, stripped","",0,1641811505,"","","","",""
"c69c5139-337f-4cff-b853-711e9a9d3b7c",3676,"Network activity","url","http://2.58.149.95/bins/jerusalem.ppc","",1,1641811505,"","","","",""
"2746c083-3f1b-4858-9479-629a5a8244ec",3676,"Network activity","ip-dst","2.58.149.95","",1,1641811505,"","","","",""
"b3a9183e-c38c-41e1-b83e-f2b1f1fa3b2f",3676,"External analysis","link","https://www.virustotal.com/gui/file/be9576f364059f9371d9aa6f1e87243eb4b866992f6881705cb5e8a54efb54a7/detection","",0,1641811505,"permalink","","184805f0-2ba8-45b6-a5af-0933cbb251d1","virustotal-report","misc"
"8b774067-845a-4e8c-bafe-377bcd4fa1ed",3676,"Other","datetime","2022-01-10T05:33:18.000000+0000","",0,1641811505,"last-submission","","184805f0-2ba8-45b6-a5af-0933cbb251d1","virustotal-report","misc"
"b7966680-2b5b-447e-8dbc-f2a8068ada99",3676,"Other","text","36/61","",0,1641811505,"detection-ratio","","184805f0-2ba8-45b6-a5af-0933cbb251d1","virustotal-report","misc"

