uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"43afdfa7-3bd7-4b7c-9a0f-6feeba2922ff",2738,"Payload delivery","filename","sora.x86","",0,1687172163,"","","","",""
"603058f2-dbbd-41db-b37c-1a11adb63913",2738,"Payload delivery","md5","8168bd53435e3d4ff7278f4f05c6f6b3","",1,1687172163,"","","","",""
"789ebd4d-f008-4cfb-bb64-fbf9aeea38e6",2738,"Payload delivery","sha1","b68ae60f45092a1b92ebab7b03aad921315dd954","",1,1687172163,"","","","",""
"99577d26-7c2e-4f59-8a91-c88b147a5705",2738,"Payload delivery","sha256","8114aaec6dba3dbdb163fc143a1d409b94062cf3ca7761414b9771f40de789c3","",1,1687172163,"","","","",""
"5765ff72-47ce-46e9-b6f9-11c2808483da",2738,"Payload delivery","mime-type","application/x-executable","",0,1687172163,"","","","",""
"a8744364-56e1-4799-8e67-9a59ce535c0c",2738,"Network activity","url","http://179.43.182.188/bins/sora.x86","",1,1687172163,"","","","",""
"2c702042-41e9-444f-94b5-bce9a8b5a880",2738,"Network activity","ip-dst","179.43.182.188","",1,1687172163,"","","","",""
"6f4ea715-7b42-439b-b0a9-425efae74fc5",2738,"External analysis","link","https://www.virustotal.com/gui/file/8114aaec6dba3dbdb163fc143a1d409b94062cf3ca7761414b9771f40de789c3/detection","",0,1687172164,"permalink","","8c3c5491-bc8a-4ebd-bf7a-9e9e5f1bd49f","virustotal-report","misc"
"640767b2-3e81-464b-a141-fd7ef6d8be73",2738,"Other","datetime","2023-06-19T10:26:27.000000+0000","",0,1687172164,"last-submission","","8c3c5491-bc8a-4ebd-bf7a-9e9e5f1bd49f","virustotal-report","misc"
"65a60cef-4196-44f0-9e2c-642831ea3ab5",2738,"Other","text","29/62","",0,1687172164,"detection-ratio","","8c3c5491-bc8a-4ebd-bf7a-9e9e5f1bd49f","virustotal-report","misc"

