uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"bc027c27-b399-470c-b180-6499c011a38d",34467,"Payload delivery","filename","cc.exe","",0,1678651080,"","","","",""
"ae897ec4-8499-4ef4-9a80-0b96a941c09b",34467,"Payload delivery","md5","0c4e0091a31c71cf4fcfd6b6745f3440","",1,1678651080,"","","","",""
"f2cd084b-0cc4-4f3c-9fba-dcbdd6428ea7",34467,"Payload delivery","sha1","325159ebb29f070a9738142a3baf5f8ed29372d6","",1,1678651080,"","","","",""
"6c95fc69-7d1a-43e5-8e5f-e57102a36784",34467,"Payload delivery","sha256","2473d2451cb6e066df31a2457c700cd9e0b1585db96716c981b3f34deffdfd26","",1,1678651080,"","","","",""
"0d6cde21-78e4-4ddc-8f10-3e52a313506d",34467,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1678651080,"","","","",""
"203ea4f5-3a14-4259-a8f6-45c8a52232b8",34467,"Payload delivery","imphash","8f077cc2038fae85c4e9d8c60b51a269","",0,1678651080,"","","","",""
"13348cd9-780d-4cc3-8f37-8e85b4ac0678",34467,"Network activity","url","http://138.124.184.106/cc.exe","",1,1678651080,"","","","",""
"5c34b80e-3c4b-4f36-9909-4f00060712bc",34467,"Network activity","ip-dst","138.124.184.106","",1,1678651080,"","","","",""
"bd0db8cf-f38e-4685-b30f-886b1bd27edd",34467,"Other","text",".text","",0,1678651080,"name","","ef0241d9-fb8f-4d06-9394-ffb01cf6e809","pe-section","file"
"200b12eb-fa3a-47ff-a60d-77d6319b91d1",34467,"Payload delivery","md5","5707fa2df7b6af6b2f8439fbfb9fee1a","",1,1678651080,"md5","","ef0241d9-fb8f-4d06-9394-ffb01cf6e809","pe-section","file"
"baf167e4-9b2f-4dcb-ad0d-d98a3aa820c8",34467,"Payload delivery","sha1","9060d9331c7f76fc0809357dbee4c9fb34328946","",1,1678651080,"sha1","","ef0241d9-fb8f-4d06-9394-ffb01cf6e809","pe-section","file"
"f100a792-a4a8-4daa-9480-3381432659b3",34467,"Payload delivery","sha256","9804af387887acd95a71676a225e9702e8d14168b60fd2dfc09228cc935d8141","",1,1678651080,"sha256","","ef0241d9-fb8f-4d06-9394-ffb01cf6e809","pe-section","file"
"fabd8d78-9147-438d-a9f7-f1920e86d8bd",34467,"Other","size-in-bytes",53248,"",0,1678651080,"size-in-bytes","","ef0241d9-fb8f-4d06-9394-ffb01cf6e809","pe-section","file"
"4be18266-7677-4db1-bad4-44ed19e29929",34467,"Other","float",6.11945,"",0,1678651080,"entropy","","ef0241d9-fb8f-4d06-9394-ffb01cf6e809","pe-section","file"
"b6a0f4fe-a266-4241-8f72-e0c548dec45d",34467,"Other","text",".data","",0,1678651080,"name","","c662aa81-1ad0-4958-a162-e802bc4a9293","pe-section","file"
"c882bbae-a52c-471a-a84e-f0c93137dea1",34467,"Payload delivery","md5","d6057cf38a403485c7094fc63f09bf52","",1,1678651080,"md5","","c662aa81-1ad0-4958-a162-e802bc4a9293","pe-section","file"
"32c073cd-d445-48ca-baa8-1146040937eb",34467,"Payload delivery","sha1","3b12ac317c74a06cca0cd7996c5600e59ee665f3","",1,1678651080,"sha1","","c662aa81-1ad0-4958-a162-e802bc4a9293","pe-section","file"
