uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"d8b2f483-3c63-49f1-aa23-5b60249e97b9",15498,"Payload delivery","filename","vcimanagement.arm5","",0,1653656281,"","","","",""
"26641a87-3110-423e-a953-9737c26fbb8a",15498,"Payload delivery","md5","1f18681af0883191322893a9a410331c","",1,1653656281,"","","","",""
"5cde2aef-31ad-4369-a48d-1872c3f303ed",15498,"Payload delivery","sha1","bd0c8e1dd0cd22e92801d45ec3b294ecd6367999","",1,1653656281,"","","","",""
"f776d74f-86d0-4cf6-83c6-e20a7a04ce54",15498,"Payload delivery","sha256","2dc85d7d09c9312c10ba8ec52e9aeb7356a78780cf9f416394ed93fbd80eba11","",1,1653656281,"","","","",""
"dddaaa5d-a8f1-416c-b262-eb6be3b379a6",15498,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, version 1 (ARM), dynamically linked, interpreter /lib/ld-uClibc.so.0, stripped","",0,1653656281,"","","","",""
"c425c3fa-ad3d-4b2a-b257-01f61b4ae146",15498,"Network activity","url","http://45.95.55.16/bins/vcimanagement.arm5","",1,1653656281,"","","","",""
"6a330034-b1e5-4a39-a7b6-dbc6bcb77180",15498,"Network activity","ip-dst","45.95.55.16","",1,1653656281,"","","","",""
"9256b9fe-b161-4c28-bf02-06726732c4db",15498,"External analysis","link","https://www.virustotal.com/gui/file/2dc85d7d09c9312c10ba8ec52e9aeb7356a78780cf9f416394ed93fbd80eba11/detection","",0,1653656282,"permalink","","385e0a8a-5475-4713-aff4-5825aad63fbe","virustotal-report","misc"
"1e0178cd-acf1-41f2-a556-c1d90542d231",15498,"Other","datetime","2022-05-27T10:31:36.000000+0000","",0,1653656282,"last-submission","","385e0a8a-5475-4713-aff4-5825aad63fbe","virustotal-report","misc"
"9f31cf38-658e-4d81-a29c-c9ad78447e84",15498,"Other","text","31/60","",0,1653656282,"detection-ratio","","385e0a8a-5475-4713-aff4-5825aad63fbe","virustotal-report","misc"

