uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"8f6e258f-5d45-463e-aeee-1578e6e3caa5",8890,"Payload delivery","filename","arm","",0,1648991762,"","","","",""
"21f0e868-31ac-4257-9da0-1758903f2e24",8890,"Payload delivery","md5","7575e27ee418f6ece67ae77f86d03991","",1,1648991762,"","","","",""
"bb158a0b-6680-4be0-9a6c-b88f1dbaf348",8890,"Payload delivery","sha1","da7636233b7e3dda4a48b7b4b09e2f3095133602","",1,1648991762,"","","","",""
"92e18599-553d-48a7-b78e-2096d8ae103c",8890,"Payload delivery","sha256","e148cdba8fcc90b30b9db2686b5f1e587182d3e198a7f8579f2805d27123973e","",1,1648991762,"","","","",""
"afc61548-3977-46d9-9a69-46285890dc26",8890,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, version 1 (ARM), statically linked, stripped","",0,1648991762,"","","","",""
"555a174b-406f-4d77-9ba4-34a5d087ba17",8890,"Network activity","url","http://31.210.20.190/bins/arm","",1,1648991762,"","","","",""
"e1967756-9c1e-44c1-8a1d-ebac348b617d",8890,"Network activity","ip-dst","31.210.20.190","",1,1648991762,"","","","",""
"6b5f7614-b5ad-4ce0-9241-1bf2995d4067",8890,"External analysis","link","https://www.virustotal.com/gui/file/e148cdba8fcc90b30b9db2686b5f1e587182d3e198a7f8579f2805d27123973e/detection","",0,1648991762,"permalink","","5e4b5d9d-e4c4-433e-8cce-0ae705a85999","virustotal-report","misc"
"f64cd542-e5af-49d9-af8e-4759de790a1b",8890,"Other","datetime","2022-03-24T22:15:13.000000+0000","",0,1648991762,"last-submission","","5e4b5d9d-e4c4-433e-8cce-0ae705a85999","virustotal-report","misc"
"1e32f617-df5f-4134-b5bb-0c98f88ad52d",8890,"Other","text","36/58","",0,1648991762,"detection-ratio","","5e4b5d9d-e4c4-433e-8cce-0ae705a85999","virustotal-report","misc"

