uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"280759d5-826c-4b4d-91e6-9c41a0863e01",33763,"Payload delivery","filename","arm7","",0,1677374767,"","","","",""
"44ccc4ef-d368-4f25-8671-08e63132555b",33763,"Payload delivery","md5","d44f546d913c46c0d69aeb257fe9597a","",1,1677374767,"","","","",""
"81c55d13-4da4-4a27-94c3-24bd78a2aa93",33763,"Payload delivery","sha1","ff86b15e00207ef34b61c7ec199bc00d731c2853","",1,1677374767,"","","","",""
"2bace847-abbb-4b90-9b2e-e47c6ffa3fed",33763,"Payload delivery","sha256","c3b87ad5ece5681d5081ae15f15102e38c24caf5a29914b1374e0f34581ea14b","",1,1677374767,"","","","",""
"6da82861-44a3-428f-a19e-e63e3dc9a17e",33763,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, EABI4 version 1 (SYSV), statically linked, with debug_info, not stripped","",0,1677374767,"","","","",""
"13fa474c-45ad-4a5b-8641-fb5d303387f2",33763,"Network activity","url","http://81.161.229.169/arm7","",1,1677374767,"","","","",""
"46d9bdda-22d5-4183-9157-184fa9092619",33763,"Network activity","ip-dst","81.161.229.169","",1,1677374767,"","","","",""
"f9a218a9-df3e-4bfb-b7ca-6c6cda051075",33763,"External analysis","link","https://www.virustotal.com/gui/file/c3b87ad5ece5681d5081ae15f15102e38c24caf5a29914b1374e0f34581ea14b/detection","",0,1677374767,"permalink","","63f375e8-23ae-4d86-9b4d-6a53ab4a1013","virustotal-report","misc"
"0c36dfa7-e88a-4c21-a645-e439b083ff80",33763,"Other","datetime","2023-02-25T07:46:14.000000+0000","",0,1677374767,"last-submission","","63f375e8-23ae-4d86-9b4d-6a53ab4a1013","virustotal-report","misc"
"3ba86db7-d11b-4f0a-9b58-f6560b12aea7",33763,"Other","text","41/61","",0,1677374767,"detection-ratio","","63f375e8-23ae-4d86-9b4d-6a53ab4a1013","virustotal-report","misc"

