uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"60f57a90-ddfc-41bf-b032-530275a99faf",41250,"Payload delivery","filename","a-r.m-5.ISIS","",0,1608667252,"","","","",""
"c35663d4-fc50-42cf-a1be-01c8dd450d5e",41250,"Payload delivery","md5","3f130ff2f00c1b5bf6bb056b92915b06","",1,1608667252,"","","","",""
"19865beb-15f9-47fb-8869-b682014404d0",41250,"Payload delivery","sha1","263b9ac6822a1e58d32f86fbbf5b6bfb6271fae2","",1,1608667252,"","","","",""
"b30d251c-53df-4547-b9e3-69b2f872b724",41250,"Payload delivery","sha256","96bd001a4311d45a1504097a19ad196b1b58b077181d59b370042da874c3abab","",1,1608667252,"","","","",""
"6f7b0ce5-0a6c-41f8-99db-56ce95d3aa5d",41250,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, version 1 (ARM), statically linked, with debug_info, not stripped","",0,1608667252,"","","","",""
"b2e530c6-45f5-4d36-b04c-4000cd9f08c5",41250,"Network activity","url","http://146.71.78.20/a-r.m-5.ISIS","",1,1608667252,"","","","",""
"b070a604-4f69-4390-9d46-ff153e1472eb",41250,"Network activity","ip-dst","146.71.78.20","",1,1608667252,"","","","",""
"9db8b8f3-b9e7-49a0-ac6c-bf4fa04e2667",41250,"External analysis","link","https://www.virustotal.com/gui/file/96bd001a4311d45a1504097a19ad196b1b58b077181d59b370042da874c3abab/detection","",0,1608667252,"permalink","","8c9615fd-a7df-4486-83af-7c257e7280ea","virustotal-report","misc"
"25c53496-7e28-45c6-b9cd-151f22de744c",41250,"Other","datetime","2020-12-22T18:33:33.000000+0000","",0,1608667252,"last-submission","","8c9615fd-a7df-4486-83af-7c257e7280ea","virustotal-report","misc"
"f8e0457a-fdcd-4b33-84a2-f77c9ec72d7e",41250,"Other","text","34/62","",0,1608667252,"detection-ratio","","8c9615fd-a7df-4486-83af-7c257e7280ea","virustotal-report","misc"

