uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"a356ed29-6a68-4622-b3d3-c7c748e62526",37472,"Payload delivery","filename","sora.ppc","",0,1681234083,"","","","",""
"ac0d69d8-6ae9-41ec-a99f-430e622de458",37472,"Payload delivery","md5","5e068a62606e8d57bcdc58ec2bf84629","",1,1681234083,"","","","",""
"55fc9dcf-ba42-4172-b2ad-2e00bef9825c",37472,"Payload delivery","sha1","850c214407e56ee984e155c59437827fed7efd35","",1,1681234083,"","","","",""
"e34f3f59-b509-4e84-bc76-e2a5e69ec9d7",37472,"Payload delivery","sha256","66db22fa29ef948f03c59ca115ac39ab907926129bd556eb05046fcd00139dff","",1,1681234083,"","","","",""
"e925ac5e-40f0-468e-a8e8-c8e23352ea9d",37472,"Payload delivery","mime-type","ELF 32-bit MSB executable, PowerPC or cisco 4500, version 1 (GNU/Linux), statically linked, no section header","",0,1681234083,"","","","",""
"b86e6c49-d0c8-424f-820f-15e5db630cba",37472,"Network activity","url","http://109.206.243.119/bins/sora.ppc","",1,1681234083,"","","","",""
"dcb12f77-1217-4989-9aaf-3e2c2db3f7ee",37472,"Network activity","ip-dst","109.206.243.119","",1,1681234083,"","","","",""
"997befb4-c061-447b-98ca-40ad48ea3382",37472,"External analysis","link","https://www.virustotal.com/gui/file/66db22fa29ef948f03c59ca115ac39ab907926129bd556eb05046fcd00139dff/detection","",0,1681234083,"permalink","","566c45e5-d751-4742-8cdc-0332ed238b71","virustotal-report","misc"
"08e49e4a-405e-46bc-a454-47e45645ea8f",37472,"Other","datetime","2023-04-11T16:22:19.000000+0000","",0,1681234083,"last-submission","","566c45e5-d751-4742-8cdc-0332ed238b71","virustotal-report","misc"
"cc080fda-bb84-4f10-872e-f29fcec8ae4b",37472,"Other","text","32/61","",0,1681234083,"detection-ratio","","566c45e5-d751-4742-8cdc-0332ed238b71","virustotal-report","misc"

