uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"09723687-83bd-4b72-b888-d386136a2aff",62021,"Payload delivery","filename","svchost.exe","",0,1632837918,"","","","",""
"9e54faeb-30d7-4dc0-ac74-978b617c406c",62021,"Payload delivery","md5","e134bca3704fcb507dc6b6524114417c","",1,1632837918,"","","","",""
"5f385eff-69b5-462a-9b46-e3056b08b76c",62021,"Payload delivery","sha1","a84bda8a918c8ee57f665ee7afce1df8a4289fe8","",1,1632837918,"","","","",""
"01e79fe0-6190-4aec-a1e6-ce44c4339abe",62021,"Payload delivery","sha256","ef4008effed1c6251e52ca8ea9db6dd7dfad35aaa84ced8335225c9d8d77ac84","",1,1632837918,"","","","",""
"17591e23-f2f8-4846-ac97-9d2fdc366083",62021,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386 (stripped to external PDB), for MS Windows","",0,1632837918,"","","","",""
"0808f322-6f76-4c69-9fa2-8bbcc617ce61",62021,"Payload delivery","imphash","dc25ee78e2ef4d36faa0badf1e7461c9","",0,1632837918,"","","","",""
"ecb1491f-d664-4097-87ba-b79b182e7f10",62021,"Network activity","url","http://nbs.vizzhost.com/bc/svchost.exe","",1,1632837918,"","","","",""
"b59f4bd0-bde1-4fb7-91bb-fd226d12ad6f",62021,"Network activity","domain","nbs.vizzhost.com","",1,1632837918,"","","","",""
"bd953458-8b0f-48e1-9bcf-28eaa66854e3",62021,"Other","text",".text","",0,1632837918,"name","","7cb87d49-286c-41bf-bf71-d58261399d44","pe-section","file"
"90bc0c3a-d91e-469f-8534-8a72cc5b7e72",62021,"Payload delivery","md5","0172e125747932b0a0b1ac78812a75a0","",1,1632837918,"md5","","7cb87d49-286c-41bf-bf71-d58261399d44","pe-section","file"
"59dce824-ef4e-41e0-b685-ae9eb43c1494",62021,"Payload delivery","sha1","27a6684bf5ced1758ada1aeec57e9e558060db87","",1,1632837918,"sha1","","7cb87d49-286c-41bf-bf71-d58261399d44","pe-section","file"
"6d226448-6627-4ce9-9fab-e209b3ac7519",62021,"Payload delivery","sha256","0a8776272feb35a91e96ba6cb98b2829c4a8c417a74af17bd3521acfd4cef3fd","",1,1632837918,"sha256","","7cb87d49-286c-41bf-bf71-d58261399d44","pe-section","file"
"2d772071-88f4-466f-bbcd-4f3729cfb6a0",62021,"Other","size-in-bytes",7680,"",0,1632837918,"size-in-bytes","","7cb87d49-286c-41bf-bf71-d58261399d44","pe-section","file"
"5835e646-8fe8-429b-b79d-5c7dbc29414c",62021,"Other","float",5.85556,"",0,1632837918,"entropy","","7cb87d49-286c-41bf-bf71-d58261399d44","pe-section","file"
"137477ce-7e02-48cd-96a8-9be4bc0989da",62021,"Other","text",".data","",0,1632837919,"name","","27c5a79f-e380-4fc6-9c8c-4b4b2502b5cc","pe-section","file"
"b3ac426a-f49a-4de9-88fe-1627cefb3f5e",62021,"Payload delivery","md5","e3f6fe4fe1d4c55eb93ca25c6a0eeb0b","",1,1632837919,"md5","","27c5a79f-e380-4fc6-9c8c-4b4b2502b5cc","pe-section","file"
