uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"8d01c24a-0878-4c93-9037-3bca81cdd734",59250,"Payload delivery","filename","WrI1MkLCElXhhWQ.exe","",0,1627662732,"","","","",""
"ae730bf5-e6a9-4437-aa00-3ff88bbcd005",59250,"Payload delivery","md5","ea5a1e2c89dcac0afafaec73a375cd60","",1,1627662732,"","","","",""
"86ed425f-55ea-48a7-b209-63b422284efa",59250,"Payload delivery","sha1","ada98eeb4b8e6cc09e8623b92661dcfa900ecd37","",1,1627662732,"","","","",""
"8246bf04-4844-47fb-ba03-deddd6f67e6b",59250,"Payload delivery","sha256","9404674e08d2d675f2d304d6c80ab25b857281973d00d06dd3ca367b03f8eacd","",1,1627662732,"","","","",""
"fa826a1c-3013-48ea-bef0-d0686ac031db",59250,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386 Mono/.Net assembly, for MS Windows","",0,1627662732,"","","","",""
"de1660f3-57eb-4c5f-acf5-993b865129d8",59250,"Payload delivery","imphash","f34d5f2d4577ed6d9ceec516c1f5a744","",0,1627662732,"","","","",""
"00d56f17-7b20-4f28-89fd-b1afb1957177",59250,"Network activity","url","https://blazingblade.pk/wp-admin/xls/WrI1MkLCElXhhWQ.exe","",1,1627662732,"","","","",""
"56964c0b-ce6b-46cf-b068-03ce98b17613",59250,"Network activity","domain","blazingblade.pk","",1,1627662732,"","","","",""
"a859e945-20ac-469e-a929-73a28f1e7a22",59250,"Other","text",".text","",0,1627662732,"name","","f703cc7d-52ec-4d0f-972d-938f0c21dff1","pe-section","file"
"a1ec8d8f-47ae-414e-a051-ca435d1ae0bd",59250,"Payload delivery","md5","6852a56d215143bc83448e0c102df59e","",1,1627662732,"md5","","f703cc7d-52ec-4d0f-972d-938f0c21dff1","pe-section","file"
"bcb64f01-caad-4464-89fb-18216f7261d6",59250,"Payload delivery","sha1","297d8fc01d6b0eceecd3c552c940c7ecdb92c8f8","",1,1627662732,"sha1","","f703cc7d-52ec-4d0f-972d-938f0c21dff1","pe-section","file"
"befe2b79-dd03-4cdf-ba8b-d5843f3e3fb2",59250,"Payload delivery","sha256","053d8c958a97c614f6f252e9bc54e5fc0afd56659198c9d81ae678005ccee5c7","",1,1627662732,"sha256","","f703cc7d-52ec-4d0f-972d-938f0c21dff1","pe-section","file"
"10e8bb94-8bcf-4b1b-93f0-3cd9fbba4aeb",59250,"Other","size-in-bytes",1072128,"",0,1627662732,"size-in-bytes","","f703cc7d-52ec-4d0f-972d-938f0c21dff1","pe-section","file"
"77dbae8d-fb83-49ee-af88-2e4e5c783e45",59250,"Other","float",7.23543,"",0,1627662732,"entropy","","f703cc7d-52ec-4d0f-972d-938f0c21dff1","pe-section","file"
"207c8dec-a1a0-4af0-b4f8-b89d4c67e083",59250,"Other","text",".rsrc","",0,1627662733,"name","","b1de4b4d-1ab9-40a9-8c13-9d24df2693f5","pe-section","file"
"1a93def9-3265-4797-841f-b708369f18d4",59250,"Payload delivery","md5","455a7433e2e584640d9331fbd0fcc4c2","",1,1627662733,"md5","","b1de4b4d-1ab9-40a9-8c13-9d24df2693f5","pe-section","file"
"7c69d739-0960-4268-b6c8-c773049a324a",59250,"Payload delivery","sha1","67c6f258619c3c39daf7aa1a1722ff0ba313e4ba","",1,1627662733,"sha1","","b1de4b4d-1ab9-40a9-8c13-9d24df2693f5","pe-section","file"
"cc2740fa-2ad5-4cd5-b363-3ed28f1398ae",59250,"Payload delivery","sha256","e70d5bb1b5b87ec99dbac50161f20a8abd0b7f00a7cd48024ea002c04fdb0d41","",1,1627662733,"sha256","","b1de4b4d-1ab9-40a9-8c13-9d24df2693f5","pe-section","file"
"9943a838-260d-4a66-990b-2155375a9995",59250,"Other","size-in-bytes",1536,"",0,1627662733,"size-in-bytes","","b1de4b4d-1ab9-40a9-8c13-9d24df2693f5","pe-section","file"
"f56bd063-b0de-4030-b1e2-28ff4b994846",59250,"Other","float",4.15464,"",0,1627662733,"entropy","","b1de4b4d-1ab9-40a9-8c13-9d24df2693f5","pe-section","file"
"45baaac8-e726-4df3-a3df-49a7fe54af2f",59250,"Other","text",".reloc","",0,1627662733,"name","","d5764c79-bf1a-48f7-b62f-dc0313620865","pe-section","file"
"58c12fc6-287f-4fda-bbb7-5ca5e40fd639",59250,"Payload delivery","md5","d9fe2c79fccafd0a707b0b2f230d6816","",1,1627662733,"md5","","d5764c79-bf1a-48f7-b62f-dc0313620865","pe-section","file"
"8d56ef65-4d41-441d-9136-de069ced62d5",59250,"Payload delivery","sha1","0f32f6472a98580251271022fa6fd21c3a259a48","",1,1627662733,"sha1","","d5764c79-bf1a-48f7-b62f-dc0313620865","pe-section","file"
"9a98486d-cfaf-43ae-971a-c50255aec97c",59250,"Payload delivery","sha256","e47937a303c903f2d390c20bf6777786f62418039e0eb4a941519886229a0505","",1,1627662733,"sha256","","d5764c79-bf1a-48f7-b62f-dc0313620865","pe-section","file"
"dbac5aac-456c-4978-87e8-5af98ec5214d",59250,"Other","size-in-bytes",512,"",0,1627662733,"size-in-bytes","","d5764c79-bf1a-48f7-b62f-dc0313620865","pe-section","file"
"7e867a68-fa1a-4abf-93b2-f6559b8a2e53",59250,"Other","float",0.10191,"",0,1627662733,"entropy","","d5764c79-bf1a-48f7-b62f-dc0313620865","pe-section","file"
"91adf082-3b60-4ea5-b8d7-c51783ca43ba",59250,"External analysis","link","https://www.virustotal.com/gui/file/9404674e08d2d675f2d304d6c80ab25b857281973d00d06dd3ca367b03f8eacd/detection","",0,1627662734,"permalink","","49c31126-6663-46c3-88fa-0df8b29eb8d9","virustotal-report","misc"
"b13677c5-adad-4916-8f7a-aa35a50d428f",59250,"Other","datetime","2021-07-30T05:00:41.000000+0000","",0,1627662734,"last-submission","","49c31126-6663-46c3-88fa-0df8b29eb8d9","virustotal-report","misc"
"3458785f-de4e-46a4-b666-a0f2bd23222e",59250,"Other","text","23/69","",0,1627662734,"detection-ratio","","49c31126-6663-46c3-88fa-0df8b29eb8d9","virustotal-report","misc"

