uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"2b8e05ba-26ec-465b-aefd-3f73ca5d34a2",30119,"Payload delivery","filename","11.exe","",0,1671301744,"","","","",""
"a75c04ea-0b09-4cf1-adf3-d4c7c35c6e66",30119,"Payload delivery","md5","d718535b14065b8645d4c3310451a67e","",1,1671301744,"","","","",""
"1c22535f-acc4-4cc8-b02a-cbeac1408e6f",30119,"Payload delivery","sha1","ef4669f4b7073f1020e713c914f5250fc310abda","",1,1671301744,"","","","",""
"798f37fc-0db4-460c-91c9-f6b69c859a22",30119,"Payload delivery","sha256","622018b4ba76871cc14437cf779a5b842b66b324ad3da1bf9cff13ed54a4bf28","",1,1671301744,"","","","",""
"0b26460d-6a1a-4c57-a977-cdb33cda2f9e",30119,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1671301744,"","","","",""
"1fc48d04-3fb2-4b7b-b37e-50e34d8a6180",30119,"Payload delivery","imphash","d71d7fdd44a947be9fe6de2a6620b3f7","",0,1671301744,"","","","",""
"5ec88226-03f9-415d-a90a-66490cb0566e",30119,"Network activity","url","http://h166361.srv12.test-hf.su/11.exe","",1,1671301744,"","","","",""
"fa3abf21-fa52-4db2-9fc6-591e0b2d14cf",30119,"Network activity","domain","h166361.srv12.test-hf.su","",1,1671301744,"","","","",""
"686cd60e-742c-4128-ad98-6352c2f71969",30119,"Other","text",".text","",0,1671301744,"name","","d6efadae-c47f-475c-9cf2-5edcb5db5154","pe-section","file"
"b09f9fe1-1bbc-4044-8d4d-26b6b04ef661",30119,"Payload delivery","md5","a781547478e46e72d0ca95289cfd2f4b","",1,1671301744,"md5","","d6efadae-c47f-475c-9cf2-5edcb5db5154","pe-section","file"
"fb44ecdf-9556-438d-8aba-76a6eaddd1c4",30119,"Payload delivery","sha1","a98713855fabefd5459b82dc6d68d35b87dfad99","",1,1671301744,"sha1","","d6efadae-c47f-475c-9cf2-5edcb5db5154","pe-section","file"
"96f147fb-1aed-4dd8-a157-02cd681ea7ef",30119,"Payload delivery","sha256","61ed72bb6f0e5331127e664bfdf987749b85ba587fe3746d16403f1cfbe6966c","",1,1671301744,"sha256","","d6efadae-c47f-475c-9cf2-5edcb5db5154","pe-section","file"
"a902a49c-8506-4136-90da-4770842aee7a",30119,"Other","size-in-bytes",88576,"",0,1671301744,"size-in-bytes","","d6efadae-c47f-475c-9cf2-5edcb5db5154","pe-section","file"
"60941d76-ca0b-4c50-b593-3cd9cb00839c",30119,"Other","float",6.61899,"",0,1671301744,"entropy","","d6efadae-c47f-475c-9cf2-5edcb5db5154","pe-section","file"
"19894f6c-e360-49c2-b7da-9fca30050f9a",30119,"Other","text",".rdata","",0,1671301745,"name","","c5e55fea-058f-46b7-b4c4-33829ad844bb","pe-section","file"
"de4fae2e-bfc6-4b7e-a4eb-f58d9e54901e",30119,"Payload delivery","md5","f4c449be6db5750ca4e4601ce513e1cc","",1,1671301745,"md5","","c5e55fea-058f-46b7-b4c4-33829ad844bb","pe-section","file"
"d71d4902-7da5-429b-b3d9-b40ed7ad734d",30119,"Payload delivery","sha1","ce5b2bbaaaa86cfd6a327906f9c868ee70b19caa","",1,1671301745,"sha1","","c5e55fea-058f-46b7-b4c4-33829ad844bb","pe-section","file"
"6dcd1e35-4602-4594-bf39-52631d30d167",30119,"Payload delivery","sha256","f77678e8e0ef552d77cfc201b8f7b5fd9c91b99e6360a49bcafce68ac0802be1","",1,1671301745,"sha256","","c5e55fea-058f-46b7-b4c4-33829ad844bb","pe-section","file"
"2d7d911d-5f7c-4542-bf55-af18229385d3",30119,"Other","size-in-bytes",29696,"",0,1671301745,"size-in-bytes","","c5e55fea-058f-46b7-b4c4-33829ad844bb","pe-section","file"
"7f7fbc07-26b5-4549-83a9-a74bc967329c",30119,"Other","float",5.05215,"",0,1671301745,"entropy","","c5e55fea-058f-46b7-b4c4-33829ad844bb","pe-section","file"
"cc27f985-ca72-4ead-8464-fb705585608e",30119,"Other","text",".data","",0,1671301745,"name","","0e67d582-2a4c-44d7-ba31-acc528f647e8","pe-section","file"
"d3488c0d-3c5f-4f80-bc41-bd9d903166e8",30119,"Payload delivery","md5","f109ba8613fd150a07ad997c12db6248","",1,1671301745,"md5","","0e67d582-2a4c-44d7-ba31-acc528f647e8","pe-section","file"
"2ea7a795-34b7-4c01-8460-fa837742ac6a",30119,"Payload delivery","sha1","11048de531d2ccbde341ca90af823845b8d061ee","",1,1671301745,"sha1","","0e67d582-2a4c-44d7-ba31-acc528f647e8","pe-section","file"
"6eec2df6-7f49-4df7-8109-7e6229b64906",30119,"Payload delivery","sha256","9b9ec3254effaeb8f367016f5733b3ef2d0dc378a40705511f163b264ed89df3","",1,1671301745,"sha256","","0e67d582-2a4c-44d7-ba31-acc528f647e8","pe-section","file"
"f99ef08b-39be-4fd1-8382-2d00d7edb1fa",30119,"Other","size-in-bytes",183808,"",0,1671301745,"size-in-bytes","","0e67d582-2a4c-44d7-ba31-acc528f647e8","pe-section","file"
"1dea3984-1122-48fa-99fb-c6090c38799b",30119,"Other","float",5.9711,"",0,1671301745,"entropy","","0e67d582-2a4c-44d7-ba31-acc528f647e8","pe-section","file"
"e3a28f7c-7fe1-4de4-b1ff-4e2599916e29",30119,"Other","text",".rsrc","",0,1671301745,"name","","78d65ec9-7f8d-4a63-847b-f0d6b968be69","pe-section","file"
"90fff562-9894-42aa-a477-eab680ecfa8b",30119,"Payload delivery","md5","f78ccbed5a69a2e3c3a9034e4f9bdb1c","",1,1671301745,"md5","","78d65ec9-7f8d-4a63-847b-f0d6b968be69","pe-section","file"
"391c9115-c030-4cd9-aa23-e656ce7a147e",30119,"Payload delivery","sha1","70d1e3fcba15e47261b5e3a5c0e35b95fb89df4b","",1,1671301745,"sha1","","78d65ec9-7f8d-4a63-847b-f0d6b968be69","pe-section","file"
"cde425b1-3deb-4d66-83ac-ca4a3b98471a",30119,"Payload delivery","sha256","89d5904e50dc61263fe5bee4dd69c1856ef4e10212afa389db9dcbe933fd4fa7","",1,1671301745,"sha256","","78d65ec9-7f8d-4a63-847b-f0d6b968be69","pe-section","file"
"0e016aab-5b5c-4fb5-855f-40d215938b6c",30119,"Other","size-in-bytes",512,"",0,1671301745,"size-in-bytes","","78d65ec9-7f8d-4a63-847b-f0d6b968be69","pe-section","file"
"e496d0ae-3deb-4a8b-b358-8452bb079792",30119,"Other","float",4.71377,"",0,1671301745,"entropy","","78d65ec9-7f8d-4a63-847b-f0d6b968be69","pe-section","file"
"67d8cf1c-55e3-49ff-839c-ac86b7d17107",30119,"Other","text",".reloc","",0,1671301745,"name","","5464f0a5-fe0c-4e5c-af7c-8d041f80bb8a","pe-section","file"
"07ed69d4-874c-409f-97a6-81bd6d4ef3e4",30119,"Payload delivery","md5","741dad9ac73adca482e22fbffd71c4e9","",1,1671301745,"md5","","5464f0a5-fe0c-4e5c-af7c-8d041f80bb8a","pe-section","file"
"e0d10aee-318f-4ad5-9c50-27dfbd0f1b8f",30119,"Payload delivery","sha1","4943db65e3c71e10c504e7202dad6a3326bc0982","",1,1671301745,"sha1","","5464f0a5-fe0c-4e5c-af7c-8d041f80bb8a","pe-section","file"
"a4aa14d8-7fb5-4a5b-b5b0-323c271ca302",30119,"Payload delivery","sha256","195739785519cae5385cdb37f30e14c1d8f3936abc09cf0a859d0a792a321d58","",1,1671301745,"sha256","","5464f0a5-fe0c-4e5c-af7c-8d041f80bb8a","pe-section","file"
"71446326-0653-4ae3-9396-27eb3de2ecfd",30119,"Other","size-in-bytes",4608,"",0,1671301745,"size-in-bytes","","5464f0a5-fe0c-4e5c-af7c-8d041f80bb8a","pe-section","file"
"00ef2c61-603c-417f-943e-40c10213df26",30119,"Other","float",6.36707,"",0,1671301745,"entropy","","5464f0a5-fe0c-4e5c-af7c-8d041f80bb8a","pe-section","file"
"cc5cd225-50f8-4937-8dfb-4664426e8f96",30119,"External analysis","link","https://www.virustotal.com/gui/file/622018b4ba76871cc14437cf779a5b842b66b324ad3da1bf9cff13ed54a4bf28/detection","",0,1671301746,"permalink","","50bca894-50ff-4ca3-9610-14381846e672","virustotal-report","misc"
"4c5279a8-5f05-49a0-a481-d489aa42091d",30119,"Other","datetime","2022-12-17T16:57:35.000000+0000","",0,1671301746,"last-submission","","50bca894-50ff-4ca3-9610-14381846e672","virustotal-report","misc"
"3eb13026-d195-434f-91de-52ad42db6474",30119,"Other","text","52/71","",0,1671301746,"detection-ratio","","50bca894-50ff-4ca3-9610-14381846e672","virustotal-report","misc"

