uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"bd8ed01f-724a-4297-9f67-ea2b0ec65df6",34157,"Payload delivery","filename","emptyfilename.tmp","",0,1601645570,"","","","",""
"09330ac8-4f4f-4dce-bcdb-8e859ae476a0",34157,"Payload delivery","md5","b5dd5eca05b4b674fdaa7c92b7a444cc","",1,1601645570,"","","","",""
"ec3100f6-8f41-4add-823c-57d4d91a2a29",34157,"Payload delivery","sha1","e4965eef3bbc2a13105bbc9a2924a6658c1b7943","",1,1601645570,"","","","",""
"80e59c3a-f009-4ee2-bfee-e84d5584ef07",34157,"Payload delivery","sha256","5fcdde97741b8bb0317153e884d3925134bc9ebb578aaeef2f530ddd9a5df8eb","",1,1601645570,"","","","",""
"fb75e984-e0a4-4ec3-a7a9-05a7dfb8e19d",34157,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1601645570,"","","","",""
"8be10ac3-3c7b-4ad9-9455-0a80430d20ea",34157,"Payload delivery","imphash","abdccaeba6424aa8679cc5336ba0ba47","",0,1601645570,"","","","",""
"da81f1fe-7284-46a4-993f-4b0aa20d400d",34157,"Network activity","url","https://devanyastore.com/wp-content/9J56juA/","",1,1601645570,"","","","",""
"0ea5550b-62a4-45cc-aa86-fcedfd436f26",34157,"Network activity","domain","devanyastore.com","",1,1601645570,"","","","",""
"34cf2226-3583-4dac-9349-e3989e5df058",34157,"Other","text",".text","",0,1601645570,"name","","c66e7664-c05c-4501-bcb7-15e956fd66e7","pe-section","file"
"39182c4f-ceb1-4550-b590-aeb477ada48b",34157,"Payload delivery","md5","fe87cc0adf60e5ce869e467f2b08794f","",1,1601645570,"md5","","c66e7664-c05c-4501-bcb7-15e956fd66e7","pe-section","file"
"9d31e852-d872-41c0-a241-b184f3bb4f79",34157,"Payload delivery","sha1","b216628fbe7877976eee4151d71a513b84123baf","",1,1601645570,"sha1","","c66e7664-c05c-4501-bcb7-15e956fd66e7","pe-section","file"
"f6351d06-9918-477c-9fb6-89103b651d5b",34157,"Payload delivery","sha256","f4d585dfeaeecbd76a900faf71158b2d0fa7c638314f8a05faf0bb40f55af0bd","",1,1601645570,"sha256","","c66e7664-c05c-4501-bcb7-15e956fd66e7","pe-section","file"
"7be0952f-2dd7-429d-ba76-0666034cc91c",34157,"Other","size-in-bytes",151552,"",0,1601645570,"size-in-bytes","","c66e7664-c05c-4501-bcb7-15e956fd66e7","pe-section","file"
"5a9eee11-7ba2-4c6b-9e56-2e5205ddc7b9",34157,"Other","float",6.61284,"",0,1601645570,"entropy","","c66e7664-c05c-4501-bcb7-15e956fd66e7","pe-section","file"
"c163a5e4-c6a3-4446-ba75-dd979707a53a",34157,"Other","text",".rdata","",0,1601645571,"name","","e95f3531-9a79-4161-87ab-c948e6a29a9c","pe-section","file"
"2fe119da-a42c-4ed9-b806-ce223a427fa3",34157,"Payload delivery","md5","de386b5422ddc2f943601458a7649e21","",1,1601645571,"md5","","e95f3531-9a79-4161-87ab-c948e6a29a9c","pe-section","file"
"e3988359-8b0a-49ef-9e14-4a9467d21771",34157,"Payload delivery","sha1","b0a68c22127d1584554f9d17f761dc039ce02856","",1,1601645571,"sha1","","e95f3531-9a79-4161-87ab-c948e6a29a9c","pe-section","file"
"f0974c89-c6c2-481d-9c81-5c35d464940e",34157,"Payload delivery","sha256","cc6e60a419074e7adc33be6438102f11426d2e8331364ee3aaa839e47cc15a23","",1,1601645571,"sha256","","e95f3531-9a79-4161-87ab-c948e6a29a9c","pe-section","file"
"2660b8ad-cc09-4b3f-a3a6-cf0622cf477a",34157,"Other","size-in-bytes",36864,"",0,1601645571,"size-in-bytes","","e95f3531-9a79-4161-87ab-c948e6a29a9c","pe-section","file"
"24a35ff2-bd06-4421-9034-786e69d53663",34157,"Other","float",4.80861,"",0,1601645571,"entropy","","e95f3531-9a79-4161-87ab-c948e6a29a9c","pe-section","file"
"be40d26f-c043-4cde-a1f7-6ba54b515dc0",34157,"Other","text",".data","",0,1601645572,"name","","e6b55724-8773-4645-853c-116507612e46","pe-section","file"
"faefe86d-2171-4919-9306-f44b5bf101e4",34157,"Payload delivery","md5","54e30f62b2547b0f2c072c8768fb8237","",1,1601645572,"md5","","e6b55724-8773-4645-853c-116507612e46","pe-section","file"
"c90c6917-902f-469f-b084-a086fd2b5912",34157,"Payload delivery","sha1","ba798fbe8f91c55b97ac03752d8685aef26cf036","",1,1601645572,"sha1","","e6b55724-8773-4645-853c-116507612e46","pe-section","file"
"db08a4ff-64b5-445e-aec8-43cc482aae21",34157,"Payload delivery","sha256","8686d54068329837724ab0ebdfcb9ab2c79916fb07f160b5d4c6b73d7b039918","",1,1601645572,"sha256","","e6b55724-8773-4645-853c-116507612e46","pe-section","file"
"493f837f-61c5-4780-ab3c-cf84db2f8124",34157,"Other","size-in-bytes",12288,"",0,1601645572,"size-in-bytes","","e6b55724-8773-4645-853c-116507612e46","pe-section","file"
"af4c7121-e2e6-4d27-91d1-a22d526a7686",34157,"Other","float",3.47266,"",0,1601645572,"entropy","","e6b55724-8773-4645-853c-116507612e46","pe-section","file"
"806a8388-54ac-4c61-8246-aaf938214d88",34157,"Other","text",".rsrc","",0,1601645572,"name","","7ee748d8-b397-4437-b7a8-342be35ac596","pe-section","file"
"e7c33252-4a59-4852-ae01-41c76e972680",34157,"Payload delivery","md5","16778ea95b33f121d29283a99ab919d5","",1,1601645572,"md5","","7ee748d8-b397-4437-b7a8-342be35ac596","pe-section","file"
"2e3adb0b-e95d-4c47-ac43-d66bb92c8deb",34157,"Payload delivery","sha1","99e3a9f700e84f0eeaefbd2a8ddf9260f713ed7a","",1,1601645572,"sha1","","7ee748d8-b397-4437-b7a8-342be35ac596","pe-section","file"
