uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"8f0bd6c0-a8ed-479d-9888-233db99c80ea",42853,"Payload delivery","filename","m68k","",0,1609886673,"","","","",""
"0eae8af2-bf3f-48f5-b818-5c221a3887b4",42853,"Payload delivery","md5","243a41396b90f9638845b2f51d27b4fe","",1,1609886673,"","","","",""
"2724e83c-e996-4fe8-9600-cf71654b9498",42853,"Payload delivery","sha1","9e55cf8c3887d54e43cc9d1831db3f47d5fa34ad","",1,1609886673,"","","","",""
"bfa22eca-4668-4d7b-aeaf-4d738b1c092c",42853,"Payload delivery","sha256","38f16dd93dc423b6c25a700febd3cefc31ebe3b8da8089a77b5228b5d56ebd75","",1,1609886673,"","","","",""
"7cb77a30-1ad2-4b8f-add1-9078bcd84a7c",42853,"Payload delivery","mime-type","ELF 32-bit MSB executable, Motorola m68k, 68020, version 1 (SYSV), statically linked, not stripped","",0,1609886673,"","","","",""
"24ae73cc-93de-4780-8087-511616bf0bd3",42853,"Network activity","url","http://198.50.171.155/m68k","",1,1609886673,"","","","",""
"28eb5fc1-d46d-478a-9151-898f4cc041a7",42853,"Network activity","ip-dst","198.50.171.155","",1,1609886673,"","","","",""
"bf19e2a7-1eba-46cd-9a77-b660f3290108",42853,"External analysis","link","https://www.virustotal.com/gui/file/38f16dd93dc423b6c25a700febd3cefc31ebe3b8da8089a77b5228b5d56ebd75/detection","",0,1609886675,"permalink","","eb6e2e1d-e2af-4779-8316-9c744d9bfdde","virustotal-report","misc"
"e29e089f-2656-41a3-a6ce-0f110b27d1e8",42853,"Other","datetime","2021-01-05T22:19:24.000000+0000","",0,1609886675,"last-submission","","eb6e2e1d-e2af-4779-8316-9c744d9bfdde","virustotal-report","misc"
"54145e5d-0c42-4756-a81a-ccda30dc0094",42853,"Other","text","36/62","",0,1609886675,"detection-ratio","","eb6e2e1d-e2af-4779-8316-9c744d9bfdde","virustotal-report","misc"

