uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"d6767f2d-b3e0-4ce3-a1c4-be5a9388ad00",2538,"Payload delivery","filename","DriverUpdaterForSvhost.bin","",0,1640000342,"","","","",""
"6001cc7b-0566-4eb0-b59e-f694c38332de",2538,"Payload delivery","md5","43def5b7c253b6a2a4fc33c737a047f5","",1,1640000342,"","","","",""
"674aee40-61ad-4ae8-ac47-46e6b1e66814",2538,"Payload delivery","sha1","d6c6c739bbddc968bf0049ac10ced43f85a0626d","",1,1640000342,"","","","",""
"657e0dde-7d34-4f71-a9b5-b83bc907c9b0",2538,"Payload delivery","sha256","97b4a9fab8251f9b94fd9e7c53ce06f8ac2c18e67a73bd068b0f9fae017564a8","",1,1640000342,"","","","",""
"a69abae1-6845-403c-b554-5ce35dc53649",2538,"Payload delivery","mime-type","data","",0,1640000342,"","","","",""
"3fa73cdb-9156-4a82-ba5e-c73a86ee5387",2538,"Network activity","url","http://185.112.83.8/DriverUpdaterForSvhost.bin","",1,1640000342,"","","","",""
"597816f3-bdc0-41f0-94fb-7971f645472a",2538,"Network activity","ip-dst","185.112.83.8","",1,1640000342,"","","","",""
"2c1fbd85-7b5b-4583-b44f-385f3cf86e42",2538,"External analysis","link","https://www.virustotal.com/gui/file/97b4a9fab8251f9b94fd9e7c53ce06f8ac2c18e67a73bd068b0f9fae017564a8/detection","",0,1640000342,"permalink","","8b3d509d-2557-4919-b369-88de9f9b2087","virustotal-report","misc"
"e9301d8f-9fb0-461f-9462-447c52bfff4a",2538,"Other","datetime","2021-12-20T09:56:21.000000+0000","",0,1640000342,"last-submission","","8b3d509d-2557-4919-b369-88de9f9b2087","virustotal-report","misc"
"9de636c8-95f8-432d-bb3a-acc8061ab5a1",2538,"Other","text","0/57","",0,1640000342,"detection-ratio","","8b3d509d-2557-4919-b369-88de9f9b2087","virustotal-report","misc"

