uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"7c9e2e5f-71ad-4ed3-b26f-e9bb7c064a88",10080,"Payload delivery","filename","vbc.exe","",0,1649673122,"","","","",""
"9bc46c5d-cd5f-4d58-83c6-d045b44cee45",10080,"Payload delivery","md5","473f2f6650080423fc356418bc517078","",1,1649673122,"","","","",""
"6a08649b-dd96-42f6-8609-a89f0fc8b2a8",10080,"Payload delivery","sha1","2c1fd29bf810520bd7f5ab6fcb350f6e44ee46d7","",1,1649673122,"","","","",""
"521d5f4e-7407-4fa1-88b8-f83f766f6924",10080,"Payload delivery","sha256","949d426f732b6b451053cbc686bfc6c867b0a433c5e9f4dc9f2a945752b70773","",1,1649673122,"","","","",""
"e60c5d6a-6411-479d-8571-281c62f7c1ed",10080,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows, Nullsoft Installer self-extracting archive","",0,1649673122,"","","","",""
"60d153a5-04d5-4109-9cf5-111f95c66dfb",10080,"Payload delivery","imphash","56a78d55f3f7af51443e58e0ce2fb5f6","",0,1649673122,"","","","",""
"486bdcac-874b-40b0-a75e-a3f39b3f02b1",10080,"Network activity","url","http://192.227.168.179/91/vbc.exe","",1,1649673122,"","","","",""
"0564852c-0ef7-485d-a5d5-9164823c42cb",10080,"Network activity","ip-dst","192.227.168.179","",1,1649673122,"","","","",""
"f9d0d00b-cb13-4535-91fc-b9046b972cd9",10080,"Other","text",".text","",0,1649673122,"name","","5dd92dd7-3dd2-4345-b07a-b7d9970ff75b","pe-section","file"
"ee1bfa95-21c8-4f40-8f9b-25d105d71b43",10080,"Payload delivery","md5","26e66bea3b62728a217ae7bf343ebc1a","",1,1649673122,"md5","","5dd92dd7-3dd2-4345-b07a-b7d9970ff75b","pe-section","file"
"c991b4ca-e6cd-4201-8626-5cf7f8ebe50d",10080,"Payload delivery","sha1","9f0062d178456fa350a128ec3e4a53126d637629","",1,1649673122,"sha1","","5dd92dd7-3dd2-4345-b07a-b7d9970ff75b","pe-section","file"
"e0b21b30-c80b-4630-9361-a04834a149dd",10080,"Payload delivery","sha256","132bd0f8f45633fbe2d99a96c4f63b54ba661578c873eb31b59d108747ba86f7","",1,1649673122,"sha256","","5dd92dd7-3dd2-4345-b07a-b7d9970ff75b","pe-section","file"
"3e7bf62a-452f-43dc-80e5-3da9a0d6d9da",10080,"Other","size-in-bytes",26112,"",0,1649673122,"size-in-bytes","","5dd92dd7-3dd2-4345-b07a-b7d9970ff75b","pe-section","file"
"c1a4bcb0-1481-4a86-9e56-e8d61fa891b2",10080,"Other","float",6.43971,"",0,1649673122,"entropy","","5dd92dd7-3dd2-4345-b07a-b7d9970ff75b","pe-section","file"
"748b3d67-4223-44a2-be81-3b49929310e8",10080,"Other","text",".rdata","",0,1649673122,"name","","721c610c-1d1d-4859-85fe-a67d7353c2e5","pe-section","file"
"aa3aee7a-4e61-4038-b885-724ba55656bc",10080,"Payload delivery","md5","691f0273dad50ec603f6fedf850b58ee","",1,1649673122,"md5","","721c610c-1d1d-4859-85fe-a67d7353c2e5","pe-section","file"
"2881bec3-3d0d-4c1d-a1d7-93b0f8651176",10080,"Payload delivery","sha1","6a1d2469012829cda68f84ef39fed97a29ff3e3a","",1,1649673122,"sha1","","721c610c-1d1d-4859-85fe-a67d7353c2e5","pe-section","file"
"4095ea8e-1d4e-44ce-845f-17427ecadd2b",10080,"Payload delivery","sha256","383fd20bb698506c2fd39743e3b27f4e4a1278e33c63fb8da017688509f98714","",1,1649673122,"sha256","","721c610c-1d1d-4859-85fe-a67d7353c2e5","pe-section","file"
"25f943d7-0f72-46f1-b2c2-dc34b147fa64",10080,"Other","size-in-bytes",5120,"",0,1649673122,"size-in-bytes","","721c610c-1d1d-4859-85fe-a67d7353c2e5","pe-section","file"
"0a00c687-886e-4176-b11e-ff22d6151b12",10080,"Other","float",5.14577,"",0,1649673122,"entropy","","721c610c-1d1d-4859-85fe-a67d7353c2e5","pe-section","file"
