uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"e413e371-e4ad-4a0a-b9b6-5d36703ae9b9",41451,"Payload delivery","filename","RGP_1292.exe","",0,1608812728,"","","","",""
"5c3ba67c-e597-44d6-aa6f-2f484f572063",41451,"Payload delivery","md5","7568adadc2e04818b9d256ee72980f3a","",1,1608812728,"","","","",""
"2a862fa6-6452-4852-8479-236c9545c60c",41451,"Payload delivery","sha1","bced1f9645eca1419709f7ba9c1a627ade751a26","",1,1608812728,"","","","",""
"8ba26e00-ffc4-418c-96d3-7c93a198e32b",41451,"Payload delivery","sha256","19d7b16a0a50b6eb2e79a6d04f1f4f8b17c9e82162ccdc0778cb0934af5b5657","",1,1608812728,"","","","",""
"c54f1b60-5890-41eb-97b2-719fcdb8f360",41451,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386 Mono/.Net assembly, for MS Windows","",0,1608812728,"","","","",""
"88753513-11ef-46ed-8005-26a7930ebb61",41451,"Payload delivery","imphash","f34d5f2d4577ed6d9ceec516c1f5a744","",0,1608812728,"","","","",""
"5307a98a-64b8-4019-81ad-5bec920c57a8",41451,"Network activity","url","http://37.46.150.60/2/RGP_1292.exe","",1,1608812728,"","","","",""
"b6223ae0-8a5b-4005-b440-dcf6a2230475",41451,"Network activity","ip-dst","37.46.150.60","",1,1608812728,"","","","",""
"ade4262d-3d16-46f0-8876-c43bbedd6d9a",41451,"Other","text",".text","",0,1608812729,"name","","f0b90695-31aa-4143-b9b9-660eed010ef1","pe-section","file"
"ac716cb6-834b-4002-bc00-28cd5957c6b5",41451,"Payload delivery","md5","8543288919b7775d039e8f0f76b85281","",1,1608812729,"md5","","f0b90695-31aa-4143-b9b9-660eed010ef1","pe-section","file"
"2e3ef3f6-f5fc-4a08-aa44-4e386c903c67",41451,"Payload delivery","sha1","27e2bf83e691482f38e8d6dec8cda150b7c00c8c","",1,1608812729,"sha1","","f0b90695-31aa-4143-b9b9-660eed010ef1","pe-section","file"
"89234487-b83d-4a27-be86-69b212e22997",41451,"Payload delivery","sha256","79ed8fabc291a5e3d938de27a7ba471b4871b71257cc693b03cff32c12222782","",1,1608812729,"sha256","","f0b90695-31aa-4143-b9b9-660eed010ef1","pe-section","file"
"e90aa451-6095-41ff-9901-473923cc6cae",41451,"Other","size-in-bytes",955392,"",0,1608812729,"size-in-bytes","","f0b90695-31aa-4143-b9b9-660eed010ef1","pe-section","file"
"bcdbb9ac-291e-4222-9ea6-12d39714cf3c",41451,"Other","float",6.93638,"",0,1608812729,"entropy","","f0b90695-31aa-4143-b9b9-660eed010ef1","pe-section","file"
"9c7a7d99-717e-4005-a780-9f627e4faa68",41451,"Other","text",".rsrc","",0,1608812729,"name","","21dd807e-ffae-45d1-b59a-70c366ddb658","pe-section","file"
"89dc29c8-1454-4acd-a065-a500975e0ed6",41451,"Payload delivery","md5","1016373f0ab42952044d29bafbbfb3f0","",1,1608812729,"md5","","21dd807e-ffae-45d1-b59a-70c366ddb658","pe-section","file"
"12d70314-3fa5-44bc-bf8d-3ba25121d04c",41451,"Payload delivery","sha1","eb540411901fc64262a34874fb7d857f7e06eedd","",1,1608812729,"sha1","","21dd807e-ffae-45d1-b59a-70c366ddb658","pe-section","file"
"526467ba-1c8c-4078-8a82-60321da15616",41451,"Payload delivery","sha256","ef1e57a24a341e0f32cc83d19f7dc34de84cd41866c956a847b071566a181905","",1,1608812729,"sha256","","21dd807e-ffae-45d1-b59a-70c366ddb658","pe-section","file"
"6d003340-6c18-401b-8b1a-2067e1041474",41451,"Other","size-in-bytes",2048,"",0,1608812729,"size-in-bytes","","21dd807e-ffae-45d1-b59a-70c366ddb658","pe-section","file"
"45c27b59-ea18-469a-8283-7448da49b1f7",41451,"Other","float",3.63278,"",0,1608812729,"entropy","","21dd807e-ffae-45d1-b59a-70c366ddb658","pe-section","file"
