uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"8b2681f3-60c7-4166-8b77-84f841f7eeb3",57329,"Payload delivery","filename","vcimanagement.arm","",0,1624748225,"","","","",""
"ceaa6ad0-6692-4c0d-ac86-30b62d658300",57329,"Payload delivery","md5","5bd56b948e6e302ec75b3b6e1367b353","",1,1624748225,"","","","",""
"0f275173-8a41-47b6-99c3-6661a264517d",57329,"Payload delivery","sha1","ea91219dc76661cc89745e15864fab9bfb8a6f7d","",1,1624748225,"","","","",""
"1ac8064f-d5cf-44c8-912c-3a8ab7db6e16",57329,"Payload delivery","sha256","0eaea63aa0dd4fcc5f8483714a10feb5bab53b138bc4d931e384af67d45c4b04","",1,1624748225,"","","","",""
"9b494c4a-0023-473b-a716-a36734a19e4f",57329,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, version 1 (ARM), statically linked, stripped","",0,1624748225,"","","","",""
"c69455b8-a8f5-4cdc-af8d-5b5949aeaf7b",57329,"Network activity","url","http://104.168.46.101/bins/vcimanagement.arm","",1,1624748225,"","","","",""
"9162f4ce-b2ca-42e9-89f5-b51cd3106a1e",57329,"Network activity","ip-dst","104.168.46.101","",1,1624748225,"","","","",""
"46592c02-d5fd-428a-92b5-c5f84dec7fbe",57329,"External analysis","link","https://www.virustotal.com/gui/file/0eaea63aa0dd4fcc5f8483714a10feb5bab53b138bc4d931e384af67d45c4b04/detection","",0,1624748226,"permalink","","9089b1f9-64dc-4121-9513-cdb432d29e99","virustotal-report","misc"
"dff4bf42-ed8c-4655-b2e2-81b638489bad",57329,"Other","datetime","2021-06-26T21:21:38.000000+0000","",0,1624748226,"last-submission","","9089b1f9-64dc-4121-9513-cdb432d29e99","virustotal-report","misc"
"23432a98-8448-48ef-97c9-2b72959bb79f",57329,"Other","text","33/61","",0,1624748226,"detection-ratio","","9089b1f9-64dc-4121-9513-cdb432d29e99","virustotal-report","misc"

