uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"faff9b90-0801-4095-8647-16d53cd56e17",4388,"Payload delivery","filename","condi.mips","",0,1688612108,"","","","",""
"9dbbb328-b0f5-4209-8ea3-1842604dead7",4388,"Payload delivery","md5","c5a0d2488afee2a0d8487b7a558a8181","",1,1688612108,"","","","",""
"16da2746-020a-4bb9-a634-70a876c4a8e2",4388,"Payload delivery","sha1","afca36b02cb8a73fd91e730bd1ff43b054e9ca77","",1,1688612108,"","","","",""
"4e843ed7-27ba-4347-bdf7-e11bdf7afdb3",4388,"Payload delivery","sha256","e1cbc873f4703c699f407f81c4718124d5fc33a5a488f2a390f6779125445793","",1,1688612108,"","","","",""
"0b4a8ebc-f66b-485b-b410-0ccc3b7dac33",4388,"Payload delivery","mime-type","application/x-executable","",0,1688612108,"","","","",""
"e8f40e01-b420-4a45-8a6d-9418a1913a8a",4388,"Network activity","url","http://45.147.46.125/condi.mips","",1,1688612108,"","","","",""
"89efcb56-b543-426f-b350-684d323cf92a",4388,"Network activity","ip-dst","45.147.46.125","",1,1688612108,"","","","",""
"6f01898d-73f2-4ce5-aace-aa93fe536035",4388,"External analysis","link","https://www.virustotal.com/gui/file/e1cbc873f4703c699f407f81c4718124d5fc33a5a488f2a390f6779125445793/detection","",0,1688612108,"permalink","","b85877be-b17a-4474-b294-4817c03b722a","virustotal-report","misc"
"e9b156f5-2f13-437b-88fd-91e6e463ae84",4388,"Other","datetime","2023-07-06T02:26:53.000000+0000","",0,1688612108,"last-submission","","b85877be-b17a-4474-b294-4817c03b722a","virustotal-report","misc"
"7d5c3e0d-e66f-43ed-b9ff-6382a3eb3f74",4388,"Other","text","16/61","",0,1688612108,"detection-ratio","","b85877be-b17a-4474-b294-4817c03b722a","virustotal-report","misc"

