uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"7347fb69-7053-43d8-8623-8d7d6c088fb2",10481,"Payload delivery","filename","ScreenConnect.ClientSetup%20-%202024-08-09T220328.355.exe","",0,1727105918,"","","","",""
"901f76fa-3867-4c8e-8c38-868d944ae57d",10481,"Payload delivery","md5","9f0c37b840535e24646c171c6e8d7139","",1,1727105918,"","","","",""
"bdecb98a-c188-42f7-997c-0906d586a623",10481,"Payload delivery","sha1","5dd32db1348b19e49a469b65a7f420c2e88f5d0a","",1,1727105918,"","","","",""
"f78c4c21-e332-4ffb-960a-94d94b53b1b1",10481,"Payload delivery","sha256","cdc7c3c5cab9c94013e7e163bed5421a2717b2a2803db58bdedb25e94fdf7de8","",1,1727105918,"","","","",""
"de0d34d5-323d-4a66-a8ed-ac52a68130df",10481,"Payload delivery","mime-type","application/x-dosexec","",0,1727105918,"","","","",""
"cbc8e3be-552a-4418-9c9f-583ea0ac2049",10481,"Payload delivery","imphash","9771ee6344923fa220489ab01239bdfd","",0,1727105918,"","","","",""
"6530f75e-26a8-42fd-9db7-d65799fc7707",10481,"Network activity","url","http://178.215.236.114/ee/ScreenConnect.ClientSetup%20-%202024-08-09T220328.355.exe","",1,1727105918,"","","","",""
"e1e8b71a-3e8c-4f7b-9675-311bb9a0d9d1",10481,"Network activity","ip-dst","178.215.236.114","",1,1727105918,"","","","",""
"f1dc57f4-c686-4b10-a827-d18f182d8033",10481,"Other","text",".text","",0,1727105918,"name","","dfd6e1d1-6b6f-4367-8970-0ef88778ed5b","pe-section","file"
"996e6120-0360-42d7-8ca8-9a6568be626e",10481,"Payload delivery","md5","d9fa6da0baf4b869720be833223490cb","",1,1727105918,"md5","","dfd6e1d1-6b6f-4367-8970-0ef88778ed5b","pe-section","file"
"308373f5-7347-4a8b-8bcf-46df3fbbad57",10481,"Payload delivery","sha1","b6978a757f7342839347eaf585473da8660a6996","",1,1727105918,"sha1","","dfd6e1d1-6b6f-4367-8970-0ef88778ed5b","pe-section","file"
"d7cff211-ed28-450b-b0aa-3f0cb0d8091d",10481,"Payload delivery","sha256","eaba38650152f8688eed3ed2c4383cebe5ccde8a3b5b746c50d1d4813d951597","",1,1727105918,"sha256","","dfd6e1d1-6b6f-4367-8970-0ef88778ed5b","pe-section","file"
"bec97170-2f16-4bfe-8531-e5148c630f9a",10481,"Other","size-in-bytes",45568,"",0,1727105918,"size-in-bytes","","dfd6e1d1-6b6f-4367-8970-0ef88778ed5b","pe-section","file"
"53e0dd49-d2b6-4c36-80a8-662900e9c255",10481,"Other","float",6.59204,"",0,1727105918,"entropy","","dfd6e1d1-6b6f-4367-8970-0ef88778ed5b","pe-section","file"
"f5a07982-a972-47fd-868b-56d8b7161a28",10481,"Other","text",".rdata","",0,1727105918,"name","","65aa9b27-6651-4164-8466-42bb64054cd9","pe-section","file"
"ae278e80-d6f1-4031-aad5-8549b012b82b",10481,"Payload delivery","md5","8b45a1035c0de72f910a75db7749f735","",1,1727105918,"md5","","65aa9b27-6651-4164-8466-42bb64054cd9","pe-section","file"
"a49bea2b-b664-4221-8ab7-642e5aab588a",10481,"Payload delivery","sha1","0642a66de21c204dda5ac19aacb0717068c12e72","",1,1727105918,"sha1","","65aa9b27-6651-4164-8466-42bb64054cd9","pe-section","file"
"b3f33a03-0d57-4b78-a14b-e404b8f915c6",10481,"Payload delivery","sha256","8d80004988f9a0ec5e1d00c2f0d1155bdbaf0fe0ee7c14237f572eace11dfa23","",1,1727105918,"sha256","","65aa9b27-6651-4164-8466-42bb64054cd9","pe-section","file"
"8e0c9a9a-ef09-4243-b686-8e9f829dcdff",10481,"Other","size-in-bytes",25088,"",0,1727105918,"size-in-bytes","","65aa9b27-6651-4164-8466-42bb64054cd9","pe-section","file"
"03cba089-1970-4b0f-af0b-72053242424b",10481,"Other","float",4.78662,"",0,1727105918,"entropy","","65aa9b27-6651-4164-8466-42bb64054cd9","pe-section","file"
"8d749a25-aced-4be6-93fe-ec6176e2a427",10481,"Other","text",".data","",0,1727105918,"name","","3446fab2-2477-4777-a1b0-37cf82251aea","pe-section","file"
"05a83227-7dff-4c97-aa12-a55a593753bc",10481,"Payload delivery","md5","1f4cc86b6735a74429c9d1feb93e2871","",1,1727105918,"md5","","3446fab2-2477-4777-a1b0-37cf82251aea","pe-section","file"
"e0a9a483-18b0-4a7d-941a-cf14f8d64e72",10481,"Payload delivery","sha1","861fc35925471a609902d4fd925c68aad2a2d676","",1,1727105918,"sha1","","3446fab2-2477-4777-a1b0-37cf82251aea","pe-section","file"
