uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"01cd30d0-094b-482d-baf9-6788b6563b31",7246,"Payload delivery","filename","38_1647766833_362.exe","",0,1647893043,"","","","",""
"02fdc5e1-7e91-426b-8270-2318a6e97209",7246,"Payload delivery","md5","24bb9dde2e81228ac522a9737f37ab71","",1,1647893043,"","","","",""
"8dcdaf64-881e-4d75-a58f-73adbe71f5be",7246,"Payload delivery","sha1","5b667d59f3a17634de40ea1c75937f1daeb6eb89","",1,1647893043,"","","","",""
"d35b627a-944b-4e0a-9d42-20a97efa8e21",7246,"Payload delivery","sha256","0edb9cf6ee168a3e62e29140044461b376f0a49bca70413eea80f5488633db05","",1,1647893043,"","","","",""
"81dc93f2-3b0a-4ec5-99dc-f0f8b7c9bcfb",7246,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386 Mono/.Net assembly, for MS Windows","",0,1647893043,"","","","",""
"3239ac7e-2741-4f6a-95f6-1cb18d4d50e0",7246,"Payload delivery","imphash","f34d5f2d4577ed6d9ceec516c1f5a744","",0,1647893043,"","","","",""
"f305d300-a4fa-48ef-9537-dcc6919c9c79",7246,"Network activity","url","http://file-coin-coin-10.com/files/38_1647766833_362.exe","",1,1647893043,"","","","",""
"e4939db8-6acd-4d39-a96b-82f25f687e2d",7246,"Network activity","domain","file-coin-coin-10.com","",1,1647893043,"","","","",""
"5d3c7d5b-3d07-4267-9069-e060550f4baa",7246,"Other","text",".text","",0,1647893044,"name","","95b38ec1-c76b-48b3-a5a8-5d9f3836683b","pe-section","file"
"6739ea57-6d8a-4601-bbe7-25ce4abc5d9d",7246,"Payload delivery","md5","90a19894a5340e51f2093bf16b65c208","",1,1647893044,"md5","","95b38ec1-c76b-48b3-a5a8-5d9f3836683b","pe-section","file"
"912d2c8f-ecc8-45ca-bdf5-e06fe084eeef",7246,"Payload delivery","sha1","0529ee7229b496c6b2ae83afd8e744288ad7b825","",1,1647893044,"sha1","","95b38ec1-c76b-48b3-a5a8-5d9f3836683b","pe-section","file"
