uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"a81b6b90-2a5b-4792-8fea-3e4e3103c4d4",3054,"Payload delivery","filename","sora.x86","",0,1687503125,"","","","",""
"8b54bc25-7c5f-4685-8562-5ca1e9e88763",3054,"Payload delivery","md5","6f12470757adea5fb599ddd33be3b52b","",1,1687503125,"","","","",""
"2e45775b-d206-4bea-93df-c001cb03c6dc",3054,"Payload delivery","sha1","a4da3ce7acb60ceda6c559879504eed45d001886","",1,1687503125,"","","","",""
"c49aa1d7-8965-4f49-8f12-ccdff7e5a3d9",3054,"Payload delivery","sha256","5e87374ee15938f3677a0e0b66ab342a178230e58c521b88156d138532bf4faa","",1,1687503125,"","","","",""
"eede0df5-ab56-4f4e-a843-97149c96e93d",3054,"Payload delivery","mime-type","application/x-executable","",0,1687503125,"","","","",""
"db571bed-174e-4487-b8da-d53bfdbb29bc",3054,"Network activity","url","http://193.35.18.62/bins/sora.x86","",1,1687503125,"","","","",""
"74b23310-456c-4a25-8f98-bdacd077e3ef",3054,"Network activity","ip-dst","193.35.18.62","",1,1687503125,"","","","",""
"f7c7143f-0b63-4713-bf8c-5a37d4e4f63e",3054,"External analysis","link","https://www.virustotal.com/gui/file/5e87374ee15938f3677a0e0b66ab342a178230e58c521b88156d138532bf4faa/detection","",0,1687503125,"permalink","","6eb154d1-4335-4603-8c8b-a8e347ac8df6","virustotal-report","misc"
"6025e453-0cd0-4f9f-a458-6ae1580e51a7",3054,"Other","datetime","2023-06-23T06:07:41.000000+0000","",0,1687503125,"last-submission","","6eb154d1-4335-4603-8c8b-a8e347ac8df6","virustotal-report","misc"
"6d80a05c-272d-4461-bb81-def4a3a87e11",3054,"Other","text","29/62","",0,1687503125,"detection-ratio","","6eb154d1-4335-4603-8c8b-a8e347ac8df6","virustotal-report","misc"

