uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"d890fbf3-3f8b-4978-8940-97fa52346d3d",50801,"Payload delivery","filename","task.exe","",0,1616425612,"","","","",""
"d28bf26b-867b-455e-a70b-b9cc5efd3078",50801,"Payload delivery","md5","0938924f02dd026b77b615a79dde3ccc","",1,1616425612,"","","","",""
"c85145ad-0c81-43f0-9314-35d5641cc670",50801,"Payload delivery","sha1","60f809f49addc2e10c53781fce1ce7c1cb92cbb6","",1,1616425612,"","","","",""
"5be470f7-d343-462a-aacb-a09dca331dd5",50801,"Payload delivery","sha256","a677db1e19ef0ff96a19fb973e8505296ca98d69c2eb7f97c18f097b6786f9b7","",1,1616425612,"","","","",""
"990d2f7a-7ad3-42c7-864d-7dd7f1504569",50801,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386 Mono/.Net assembly, for MS Windows","",0,1616425612,"","","","",""
"41dc5265-2f4a-4d6e-8d4c-5e740131a05c",50801,"Payload delivery","imphash","f34d5f2d4577ed6d9ceec516c1f5a744","",0,1616425612,"","","","",""
"f983bb97-3088-4c98-b7bd-e23e5783eae1",50801,"Network activity","url","http://185.219.133.122/task.exe","",1,1616425612,"","","","",""
"20fbf98d-f82c-489c-bab4-f5af537808ef",50801,"Network activity","ip-dst","185.219.133.122","",1,1616425612,"","","","",""
"572e7f54-1365-47d5-8a1b-59924a0fe40f",50801,"Other","text",".text","",0,1616425612,"name","","f6f3c97b-ef46-4265-90d1-50b8e5698213","pe-section","file"
"65e16be3-c9c4-44fe-b7e5-2d2153d58840",50801,"Payload delivery","md5","537238ffb773893f23a86a443c496eee","",1,1616425612,"md5","","f6f3c97b-ef46-4265-90d1-50b8e5698213","pe-section","file"
"431e7e03-5716-4760-bc58-0d4573bab5c0",50801,"Payload delivery","sha1","cfe399f1cd4dc80448a9e9e270437836cbc90e33","",1,1616425612,"sha1","","f6f3c97b-ef46-4265-90d1-50b8e5698213","pe-section","file"
"f850dc9b-a7e0-486f-a885-5ad8c89eec01",50801,"Payload delivery","sha256","a66eecd829e192f9f3dbad73e52c11d3953e57f95241d31bcfbf72a0a25bd9d8","",1,1616425612,"sha256","","f6f3c97b-ef46-4265-90d1-50b8e5698213","pe-section","file"
"bb7df7d1-41a7-448d-8be9-a5398cff4040",50801,"Other","size-in-bytes",1703424,"",0,1616425613,"size-in-bytes","","f6f3c97b-ef46-4265-90d1-50b8e5698213","pe-section","file"
"f7818645-ccc4-4397-b095-e3f0557deaeb",50801,"Other","float",6.42051,"",0,1616425613,"entropy","","f6f3c97b-ef46-4265-90d1-50b8e5698213","pe-section","file"
"fa3ad236-0f85-4e3d-ab57-aab5da81a481",50801,"Other","text",".rsrc","",0,1616425613,"name","","bff97b10-a3b3-4d47-9768-43f1cdb1cf08","pe-section","file"
"2099cbb5-3573-486d-b02e-b23656e2c01e",50801,"Payload delivery","md5","1eb887300731347874119741cc80f7e6","",1,1616425613,"md5","","bff97b10-a3b3-4d47-9768-43f1cdb1cf08","pe-section","file"
"02662d39-f312-4096-b753-6000fa8ea68b",50801,"Payload delivery","sha1","e1588ce110b2daefbcf4685831b10e23d61aca36","",1,1616425613,"sha1","","bff97b10-a3b3-4d47-9768-43f1cdb1cf08","pe-section","file"
"588f4884-b2a0-414f-94c2-f418a2b274c8",50801,"Payload delivery","sha256","916af2512f05300f9e48c51dc4048abb166f2d557a733c5e7da200159e2986c3","",1,1616425613,"sha256","","bff97b10-a3b3-4d47-9768-43f1cdb1cf08","pe-section","file"
"5f6ff282-a26d-4e42-afd1-18743125770a",50801,"Other","size-in-bytes",1536,"",0,1616425613,"size-in-bytes","","bff97b10-a3b3-4d47-9768-43f1cdb1cf08","pe-section","file"
"79b13c1a-1033-4cb0-8f05-727004a56fc4",50801,"Other","float",4.21319,"",0,1616425614,"entropy","","bff97b10-a3b3-4d47-9768-43f1cdb1cf08","pe-section","file"
"977ec700-cbcd-4bbf-b505-683c14e6935b",50801,"Other","text",".reloc","",0,1616425614,"name","","4afb512d-cf46-45fa-acce-b4c450f390b6","pe-section","file"
"4e0f47ef-74c3-46c8-ba3a-104ef9d55ce7",50801,"Payload delivery","md5","cf202e95fa363f4b81d0bebcbefcbf33","",1,1616425614,"md5","","4afb512d-cf46-45fa-acce-b4c450f390b6","pe-section","file"
"e78db9e5-bc3f-46f1-bd68-764e04d83e05",50801,"Payload delivery","sha1","586919b1c862ab65631d0936e36d199e2b352c26","",1,1616425614,"sha1","","4afb512d-cf46-45fa-acce-b4c450f390b6","pe-section","file"
"74182791-a948-42e4-a7d7-8a1a34587188",50801,"Payload delivery","sha256","95aa98c5d1afda51a99d3467d1200c67722f3ee467dd8018e53c17f8be41a6f5","",1,1616425614,"sha256","","4afb512d-cf46-45fa-acce-b4c450f390b6","pe-section","file"
"32d86818-c50f-48ca-96e9-93e1f498fc42",50801,"Other","size-in-bytes",512,"",0,1616425614,"size-in-bytes","","4afb512d-cf46-45fa-acce-b4c450f390b6","pe-section","file"
"c8d7eab7-f294-4b1a-8be8-88b95ac4437b",50801,"Other","float",0.10191,"",0,1616425614,"entropy","","4afb512d-cf46-45fa-acce-b4c450f390b6","pe-section","file"
"436522c6-6b6c-499e-b2c8-4f5f1ab9de55",50801,"External analysis","link","https://www.virustotal.com/gui/file/a677db1e19ef0ff96a19fb973e8505296ca98d69c2eb7f97c18f097b6786f9b7/detection","",0,1616425616,"permalink","","05a38664-e222-4cbb-849c-ec3de5111d87","virustotal-report","misc"
"200fc861-47f5-42f3-b5d1-3b2a6f739cb8",50801,"Other","datetime","2021-03-22T14:30:32.000000+0000","",0,1616425616,"last-submission","","05a38664-e222-4cbb-849c-ec3de5111d87","virustotal-report","misc"
"1e1e8a1c-5a7d-4afe-8d9d-9f388bbc72fa",50801,"Other","text","30/71","",0,1616425616,"detection-ratio","","05a38664-e222-4cbb-849c-ec3de5111d87","virustotal-report","misc"

