uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"6a288424-aacb-45c9-a1f2-8aa5cccf7314",63588,"Payload delivery","filename","jew.ppc","",0,1633996208,"","","","",""
"009649e9-20bf-4fbe-bfa8-7eafa41eb869",63588,"Payload delivery","md5","5a59e3abf2bb5ec88d73c65b959a2d3a","",1,1633996208,"","","","",""
"d4994271-6280-44f4-83c8-29aad2830a16",63588,"Payload delivery","sha1","b7aceee198e66eacdd0d2e5b3a93c8f87675387e","",1,1633996208,"","","","",""
"e6aa1880-af29-4d65-99fe-60ecbead0583",63588,"Payload delivery","sha256","4d948a3046695f51f398de1ee37d200375c6cea197cf27a061f5483fca37e9aa","",1,1633996208,"","","","",""
"575dbf82-61c1-4847-9753-975370bd963d",63588,"Payload delivery","mime-type","ELF 32-bit MSB executable, PowerPC or cisco 4500, version 1 (SYSV), statically linked, stripped","",0,1633996208,"","","","",""
"ff4fcc28-94ea-4a26-91d6-5a55f4bc9915",63588,"Network activity","url","http://137.184.131.249/bins/jew.ppc","",1,1633996208,"","","","",""
"d7b38c74-9530-41a8-8861-d2475a94a7be",63588,"Network activity","ip-dst","137.184.131.249","",1,1633996208,"","","","",""
"ce603bb1-6b43-4f2e-ab1b-d5a9487d1e8c",63588,"External analysis","link","https://www.virustotal.com/gui/file/4d948a3046695f51f398de1ee37d200375c6cea197cf27a061f5483fca37e9aa/detection","",0,1633996209,"permalink","","467e4d70-4f9e-4067-a899-01261eae050c","virustotal-report","misc"
"75bf06ec-3df7-4308-bae5-1ca3a165719f",63588,"Other","datetime","2021-10-11T22:31:10.000000+0000","",0,1633996209,"last-submission","","467e4d70-4f9e-4067-a899-01261eae050c","virustotal-report","misc"
"2eb7b087-f9b0-41f7-828d-926f84ba11d0",63588,"Other","text","30/60","",0,1633996209,"detection-ratio","","467e4d70-4f9e-4067-a899-01261eae050c","virustotal-report","misc"

