uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"c8e4cb72-222a-4dd3-8072-c3474bbac32e",17416,"Payload delivery","filename","emptyfilename.tmp","",0,1655106604,"","","","",""
"f71f39a7-c9b1-4459-a275-ffd09c1b7bcb",17416,"Payload delivery","md5","63b11ae46b636e1e84efd52493c9a931","",1,1655106604,"","","","",""
"1696337c-4043-40fd-a2b1-a0b6bfe3242e",17416,"Payload delivery","sha1","78a7d9fb5fd9c8f145a5e2e6e7934cca211a3e1c","",1,1655106604,"","","","",""
"ed84ff63-718a-4890-a96a-51d84e37526a",17416,"Payload delivery","sha256","306015f46634d2009c704c244e9dd186b2f3ca985c55ee4153830f9a15251a27","",1,1655106604,"","","","",""
"a4559d65-921d-4520-8837-c12a3e0070ad",17416,"Payload delivery","mime-type","PE32+ executable (DLL) (GUI) x86-64, for MS Windows","",0,1655106604,"","","","",""
"55dc202b-a68d-4600-aea0-59a160943678",17416,"Payload delivery","imphash","0328f71498488999af54dd9b22b15d24","",0,1655106604,"","","","",""
"ac1e27de-6d84-4f21-9b3e-944336f360e9",17416,"Network activity","url","http://kbmpti.filkom.ub.ac.id/config/LdgfVAaCy/","",1,1655106604,"","","","",""
"ef5a4a3c-de41-4671-8608-fbc64cfc2ae8",17416,"Network activity","domain","kbmpti.filkom.ub.ac.id","",1,1655106605,"","","","",""
"f35a1373-258a-46e5-b47c-95508e03bb39",17416,"Other","text",".text","",0,1655106605,"name","","1bb0ac29-3add-43d4-91bc-8c7b13b09641","pe-section","file"
"bbf3001d-721d-4562-9110-89959e99702b",17416,"Payload delivery","md5","9826195024fa4577d72986d84dc1a860","",1,1655106605,"md5","","1bb0ac29-3add-43d4-91bc-8c7b13b09641","pe-section","file"
"82b191ae-7931-4f62-9ec8-81ccf92ae9b4",17416,"Payload delivery","sha1","fd45b884faf93431fde9d69e8b87c72b7be99ecd","",1,1655106605,"sha1","","1bb0ac29-3add-43d4-91bc-8c7b13b09641","pe-section","file"
"9355c2d5-146a-427e-9a3b-e80bdbbf3d68",17416,"Payload delivery","sha256","84ef2e39404b5385fa70de719f0b2d7db8b5cc8950361f9d598222b9f82e142c","",1,1655106605,"sha256","","1bb0ac29-3add-43d4-91bc-8c7b13b09641","pe-section","file"
"c0022531-0140-41c8-a217-a17b64153302",17416,"Other","size-in-bytes",201216,"",0,1655106605,"size-in-bytes","","1bb0ac29-3add-43d4-91bc-8c7b13b09641","pe-section","file"
"45248d49-a685-4eed-996c-bf75cfa7c342",17416,"Other","float",6.52785,"",0,1655106605,"entropy","","1bb0ac29-3add-43d4-91bc-8c7b13b09641","pe-section","file"
"a77223cb-29c5-492c-9970-182b33c051f6",17416,"Other","text",".rdata","",0,1655106605,"name","","6ca1ad93-37fa-4bd2-b271-a988baf0d551","pe-section","file"
"c79edea2-04d0-4125-83ed-9c4459159b2b",17416,"Payload delivery","md5","fef71d56b2d35bb2f41dfe4bfa14280c","",1,1655106605,"md5","","6ca1ad93-37fa-4bd2-b271-a988baf0d551","pe-section","file"
"ce825e9c-59b9-4d75-b4e9-da461d328a0a",17416,"Payload delivery","sha1","94a0fba7d2e15f8db2cc858bcec7d4410dc5a3cd","",1,1655106605,"sha1","","6ca1ad93-37fa-4bd2-b271-a988baf0d551","pe-section","file"
"44f21c2f-e862-4456-8ce4-5cf52c31d9e8",17416,"Payload delivery","sha256","cac145b221065a6a8cc1da7cf65e700607f5445a5240c9a71033fa90fce9fc85","",1,1655106605,"sha256","","6ca1ad93-37fa-4bd2-b271-a988baf0d551","pe-section","file"
"1b78486d-7615-42f4-8de9-5dad1399e4b2",17416,"Other","size-in-bytes",87040,"",0,1655106605,"size-in-bytes","","6ca1ad93-37fa-4bd2-b271-a988baf0d551","pe-section","file"
"714ad16a-ae96-4c8e-ba4c-61ba98777ab7",17416,"Other","float",5.252,"",0,1655106605,"entropy","","6ca1ad93-37fa-4bd2-b271-a988baf0d551","pe-section","file"
"4538d2ed-807a-4ac5-8264-335db2ba2a14",17416,"Other","text",".data","",0,1655106606,"name","","b6b8858e-b929-4d11-a7a2-f766a9b4ad73","pe-section","file"
"14ade372-e52f-4434-b17c-2bb416f8a80c",17416,"Payload delivery","md5","448281d717eee98c059b81a02a628fb3","",1,1655106606,"md5","","b6b8858e-b929-4d11-a7a2-f766a9b4ad73","pe-section","file"
"8ce0bc39-86dc-47d1-a4a1-7c7ec621eacf",17416,"Payload delivery","sha1","7a9fbb814a41773c0f057f3684f7e9ae2c2aa9f9","",1,1655106606,"sha1","","b6b8858e-b929-4d11-a7a2-f766a9b4ad73","pe-section","file"
"be339352-c86a-4184-926f-c0dcd08ebfcf",17416,"Payload delivery","sha256","3ab8889af915c0f3e9dfe54ad5f0b96d624872d1f00a2a959d5b23bba10a001c","",1,1655106606,"sha256","","b6b8858e-b929-4d11-a7a2-f766a9b4ad73","pe-section","file"
"68224db2-74b8-4fff-b67b-5f37359bc9ab",17416,"Other","size-in-bytes",4608,"",0,1655106606,"size-in-bytes","","b6b8858e-b929-4d11-a7a2-f766a9b4ad73","pe-section","file"
"987f830b-ac3c-4742-bb1e-ffd5eac206be",17416,"Other","float",2.83818,"",0,1655106606,"entropy","","b6b8858e-b929-4d11-a7a2-f766a9b4ad73","pe-section","file"
"8fc3e960-12bb-4e72-8c8a-a82c38c1df84",17416,"Other","text",".pdata","",0,1655106606,"name","","274720d8-f362-4517-a1eb-d6e2321fbe28","pe-section","file"
"00e55998-dc17-411c-9f5c-bc2a8860da75",17416,"Payload delivery","md5","bfdf5a13cb57144b7c6ed523ee769248","",1,1655106606,"md5","","274720d8-f362-4517-a1eb-d6e2321fbe28","pe-section","file"
"1fc7f4e3-0e8b-44bb-96fe-d2cb7f01e80e",17416,"Payload delivery","sha1","ccd59598121847dcf34ea1d8f78a554d095a047b","",1,1655106606,"sha1","","274720d8-f362-4517-a1eb-d6e2321fbe28","pe-section","file"
"e741a0dd-8d92-4dfd-9b68-96be81dc0ea9",17416,"Payload delivery","sha256","ee8831fb1d659f4e56b92b543f2dd776a12d709478e9f7c2334a143ee7b39757","",1,1655106606,"sha256","","274720d8-f362-4517-a1eb-d6e2321fbe28","pe-section","file"
"4f692a0a-6d57-4fc4-9a10-88b168cd95cf",17416,"Other","size-in-bytes",9728,"",0,1655106606,"size-in-bytes","","274720d8-f362-4517-a1eb-d6e2321fbe28","pe-section","file"
"2712ee3d-20d8-492d-8d80-ad6b67e651ea",17416,"Other","float",5.238,"",0,1655106606,"entropy","","274720d8-f362-4517-a1eb-d6e2321fbe28","pe-section","file"
"96874552-57da-4450-9832-4428066d8f69",17416,"Other","text","_RDATA","",0,1655106606,"name","","a713e538-2e12-4714-bd12-0ccd6b32330d","pe-section","file"
