uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"bf7aa2c8-9470-45a9-a008-2a2dbdeab51f",34527,"Payload delivery","filename","Mozi.m","",0,1602315366,"","","","",""
"2a09a5c5-1c7e-4c55-a546-0250a9d4e2bf",34527,"Payload delivery","md5","6d7ef9987abcc230c42ecf389fe0cce4","",1,1602315367,"","","","",""
"3b69c668-678e-47e7-bcad-fbe12dfe5b52",34527,"Payload delivery","sha1","d644ea676d8933d11b00eecbfc830b3ed14ebd1a","",1,1602315367,"","","","",""
"2b80125b-6774-40d3-87f4-a127ca2dfcc8",34527,"Payload delivery","sha256","b332790209bf1ab15450699e5a0b9f31fc7dbd17e4c75a4ecf644e22b7ad9adc","",1,1602315367,"","","","",""
"720192ff-7c08-41f0-bd19-c30d31e6fa77",34527,"Payload delivery","mime-type","ELF 32-bit MSB executable, MIPS, MIPS-I version 1 (SYSV), statically linked, no section header","",0,1602315367,"","","","",""
"6275de8a-23e0-49fb-8b5a-b263d39c24c5",34527,"Network activity","url","http://39.79.95.113:53700/Mozi.m","",1,1602315367,"","","","",""
"a7deacfa-7fa0-4958-b205-8f3beee9026c",34527,"Network activity","ip-dst","39.79.95.113","",1,1602315367,"","","","",""
"388cd870-d19a-499a-afe0-c2e757d3403e",34527,"Payload delivery","filename","i","",0,1604022146,"","","","",""
"16f02871-a69e-48b2-b45a-dbcbcbd488fc",34527,"Network activity","url","http://115.55.131.23:38756/Mozi.m","",1,1604022146,"","","","",""
"b18bfe07-94b5-48c0-aea5-5c1af7a692dd",34527,"Network activity","ip-dst","115.55.131.23","",1,1604022146,"","","","",""
"52a5edd0-9489-4b40-baf6-8175f3b9e98a",34527,"Network activity","url","http://182.117.70.199:55765/i","",1,1604324971,"","","","",""
"67ab3543-d80d-43ee-92a2-d471190dcbf3",34527,"Network activity","ip-dst","182.117.70.199","",1,1604324973,"","","","",""
"1707b2ec-6e5e-40ad-b67d-c5aa7046becf",34527,"External analysis","link","https://www.virustotal.com/gui/file/b332790209bf1ab15450699e5a0b9f31fc7dbd17e4c75a4ecf644e22b7ad9adc/detection","",0,1604003075,"permalink","","3241059c-f388-4e86-bb3e-5eaf5b2eec23","virustotal-report","misc"
"2020f935-935f-48ad-8167-53b1f363d223",34527,"Other","datetime","2020-10-17T15:55:24.000000+0000","",0,1604003075,"last-submission","","3241059c-f388-4e86-bb3e-5eaf5b2eec23","virustotal-report","misc"
"4cfd07b8-3dfc-476f-bdc5-4de02836d5c7",34527,"Other","text","11/60","",0,1604003075,"detection-ratio","","3241059c-f388-4e86-bb3e-5eaf5b2eec23","virustotal-report","misc"

