uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"f1dfc0e7-bce4-43e7-935c-f22b3d802a31",60238,"Payload delivery","filename","sPEC45.mpsl","",0,1630307766,"","","","",""
"1e6e31b4-3489-40b7-b153-87ca7dfa2540",60238,"Payload delivery","md5","0b948820193a6cf61422cd346334f388","",1,1630307766,"","","","",""
"17e2115c-0b92-4445-b4c1-036180bd51c7",60238,"Payload delivery","sha1","6dff06a871403a1a37f02d134d95981c4f8373bb","",1,1630307766,"","","","",""
"0cc8b951-a3c0-432e-ad02-479c82e6037c",60238,"Payload delivery","sha256","df1b6a758c9bc888f83982a7b9460d8896e2ac0672703fa838bea75a904f2bac","",1,1630307766,"","","","",""
"e9aa9bfd-832e-4e3d-9e21-d6cc0b6aa35f",60238,"Payload delivery","mime-type","ELF 32-bit LSB executable, MIPS, MIPS-I version 1 (SYSV), statically linked, no section header","",0,1630307766,"","","","",""
"f0d8e905-be60-4a02-9408-e4fcacf6872e",60238,"Network activity","url","http://45.14.224.97/.D4ax/sPEC45.mpsl","",1,1630307766,"","","","",""
"601091e7-3a3f-4793-a44f-582bc2c00ba6",60238,"Network activity","ip-dst","45.14.224.97","",1,1630307766,"","","","",""
"2838e40a-dcf4-473b-81ca-3abe27263db6",60238,"External analysis","link","https://www.virustotal.com/gui/file/df1b6a758c9bc888f83982a7b9460d8896e2ac0672703fa838bea75a904f2bac/detection","",0,1630307767,"permalink","","0bee4f83-fa99-4650-99ca-b995e4e6bf73","virustotal-report","misc"
"e312d638-f45e-4eb6-9e41-e6847b6e6e98",60238,"Other","datetime","2021-08-30T04:21:36.000000+0000","",0,1630307767,"last-submission","","0bee4f83-fa99-4650-99ca-b995e4e6bf73","virustotal-report","misc"
"2b8a85ca-8e34-42d7-abb1-51903cd6f3be",60238,"Other","text","16/59","",0,1630307767,"detection-ratio","","0bee4f83-fa99-4650-99ca-b995e4e6bf73","virustotal-report","misc"

