uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"2e69281a-2419-4d81-8501-efd2c0da2c14",34466,"Payload delivery","filename","emptyfilename.tmp","",0,1602076326,"","","","",""
"7f336fdf-7a90-4a79-8072-06fd960e1846",34466,"Payload delivery","md5","1e69f53af44d24fb44ebe12975f4a191","",1,1602076326,"","","","",""
"5c7567e1-f46e-4cab-bfa3-13353177ba33",34466,"Payload delivery","sha1","61a408a9d4eefc413fecf70f78f35ccfb8410ccc","",1,1602076326,"","","","",""
"e144273f-c176-491f-aec9-e1eb2b379197",34466,"Payload delivery","sha256","50067b34f57ae6946c02c0697d029d746b860d356e80d6403805747bc05b7a51","",1,1602076326,"","","","",""
"cdc84687-c580-4a78-8826-5a5cfbceac57",34466,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1602076326,"","","","",""
"209ac59a-ee56-4700-8abe-c780a3e2d379",34466,"Payload delivery","imphash","beb5959bb1e83e2e3f4789da7e63bdcd","",0,1602076326,"","","","",""
"ca97124d-c9f8-45bd-8ea0-c4dc7656d049",34466,"Network activity","url","https://manhtien.net/wp-includes/Tw3/","",1,1602076326,"","","","",""
"c7537546-8d7f-4b49-bc3b-4f4631fd7e9c",34466,"Network activity","domain","manhtien.net","",1,1602076326,"","","","",""
"481a28b0-51ba-4561-a74f-1d1eb67e6950",34466,"Other","text",".text","",0,1602076326,"name","","ac2361bd-0a6c-4aa4-b01d-713824c24b57","pe-section","file"
"c6c4f869-216d-40bf-8482-bc440dfe6197",34466,"Payload delivery","md5","5ef78c57438d99813350d90a5fe50e77","",1,1602076326,"md5","","ac2361bd-0a6c-4aa4-b01d-713824c24b57","pe-section","file"
"0006011d-d625-433a-9d50-ef9ef4fed447",34466,"Payload delivery","sha1","fc18deff30cb6a3f1511b2600bfc37c33ae1b85a","",1,1602076326,"sha1","","ac2361bd-0a6c-4aa4-b01d-713824c24b57","pe-section","file"
"ddd8aec2-7984-4002-841d-984fc5166e9c",34466,"Payload delivery","sha256","04d03cd84b60ebcdc86a2c85bc7fad5cff8c5a3e7b8961b549986f4d999de1fd","",1,1602076326,"sha256","","ac2361bd-0a6c-4aa4-b01d-713824c24b57","pe-section","file"
