uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"c79d8b00-9a8a-4aab-85dd-c92b061d5e7c",5213,"Payload delivery","filename","sora.sh4","",0,1689461343,"","","","",""
"5137c55d-35fc-4ba6-a871-af8759c60862",5213,"Payload delivery","md5","a63bb1bc4a0d583201759456b68fd719","",1,1689461343,"","","","",""
"ccb5f6e9-2c70-465a-a80d-15629f90fd26",5213,"Payload delivery","sha1","6f8707734d0821c60861f4f0033c5eb5347696b4","",1,1689461343,"","","","",""
"76603500-18e5-4ac1-84ae-160c8e7b09f5",5213,"Payload delivery","sha256","39f61bb54268ac1f2907f2dd50b8890bd56527cb0685d0913fadb48814db3168","",1,1689461343,"","","","",""
"b1fb4d59-35c6-4bbd-9e60-5b4e72b9b2bc",5213,"Payload delivery","mime-type","application/x-executable","",0,1689461343,"","","","",""
"65a3b29e-7793-40c2-95ca-f94d1b3f37c0",5213,"Network activity","url","http://193.233.18.179/bins/sora.sh4","",1,1689461343,"","","","",""
"1f9b9e31-0e74-48e4-8ad3-6ab09c9647a6",5213,"Network activity","ip-dst","193.233.18.179","",1,1689461343,"","","","",""
"9706fb17-1907-4ae8-afa8-ada9be021c89",5213,"External analysis","link","https://www.virustotal.com/gui/file/39f61bb54268ac1f2907f2dd50b8890bd56527cb0685d0913fadb48814db3168/detection","",0,1689461344,"permalink","","6d37ccf9-8747-45b0-a3ea-c83dd7887970","virustotal-report","misc"
"b050ef0b-b38e-4081-85d9-3c85ca130337",5213,"Other","datetime","2023-07-15T22:35:05.000000+0000","",0,1689461344,"last-submission","","6d37ccf9-8747-45b0-a3ea-c83dd7887970","virustotal-report","misc"
"8426617e-de2b-4b61-ba12-9e50f63c8362",5213,"Other","text","40/61","",0,1689461344,"detection-ratio","","6d37ccf9-8747-45b0-a3ea-c83dd7887970","virustotal-report","misc"

