uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"db0e9fd3-b320-4181-a341-d42c206e2707",27127,"Payload delivery","filename","Chron.exe","",0,1666940537,"","","","",""
"aa6c47ac-cc04-4988-afd9-a8a3722ee580",27127,"Payload delivery","md5","f87135178fe6abd26406c9a9d026894a","",1,1666940537,"","","","",""
"9433530e-e702-446a-9670-23a90313e595",27127,"Payload delivery","sha1","dfcea258c1e56097601f7a5e7fb4e4f9a6aec3eb","",1,1666940537,"","","","",""
"b5404839-ec67-4a3c-813f-a895943b5777",27127,"Payload delivery","sha256","4905ecda46a5a03e0d6c5a8144ec47063109fc2eb5fbb5e06722080e63eb7394","",1,1666940537,"","","","",""
"664c3cbe-d31e-4983-a052-8fbfa6504155",27127,"Payload delivery","mime-type","PE32+ executable (GUI) x86-64 Mono/.Net assembly, for MS Windows","",0,1666940537,"","","","",""
"19de63bf-dedf-4a2a-add4-cb18943cd55c",27127,"Payload delivery","imphash","f34d5f2d4577ed6d9ceec516c1f5a744","",0,1666940537,"","","","",""
"1c4b69b7-73a9-46e1-aa6b-86cc754150fd",27127,"Network activity","url","http://31.41.244.183/Chron.exe","",1,1666940537,"","","","",""
"b7b256d9-aea2-4e5e-b3cd-14ec960da767",27127,"Network activity","ip-dst","31.41.244.183","",1,1666940537,"","","","",""
"2bc4d2f6-42a3-40e1-ae08-7f1619877373",27127,"Other","text",".text","",0,1666940537,"name","","5919627a-17f0-408f-93c7-859a851af7b9","pe-section","file"
"ee9af0da-7c70-4e9d-9614-a0b840b4ab47",27127,"Payload delivery","md5","84e704cc2d9ea704a7ada925ea0ec93f","",1,1666940537,"md5","","5919627a-17f0-408f-93c7-859a851af7b9","pe-section","file"
"9af0146c-4ae7-456d-bbf8-08543eaca4cb",27127,"Payload delivery","sha1","6823e36661c6c672ebc74d01a7d17345e28fb6c2","",1,1666940537,"sha1","","5919627a-17f0-408f-93c7-859a851af7b9","pe-section","file"
"0def6a41-8572-43f9-9f9a-c0ded0d37b28",27127,"Payload delivery","sha256","58aa4517ecc50053acff10a8c14d51f35d21e7ece7c830e86db11dfd9350f418","",1,1666940537,"sha256","","5919627a-17f0-408f-93c7-859a851af7b9","pe-section","file"
"0a23ce23-f984-47a8-9cba-a379a33846e5",27127,"Other","size-in-bytes",473088,"",0,1666940537,"size-in-bytes","","5919627a-17f0-408f-93c7-859a851af7b9","pe-section","file"
"2470832d-7dd8-48cb-bcb1-6c20b9fe30fc",27127,"Other","float",6.67365,"",0,1666940537,"entropy","","5919627a-17f0-408f-93c7-859a851af7b9","pe-section","file"
"4ffff1e2-0ebd-422a-86b0-226d520b910c",27127,"Other","text",".rsrc","",0,1666940537,"name","","8d6f978a-487a-49f1-b462-1d6a71861021","pe-section","file"
"02bfb442-7001-421a-b112-8c960b48b615",27127,"Payload delivery","md5","8ed37ac7fa0cf1293203a7c298de4c9f","",1,1666940537,"md5","","8d6f978a-487a-49f1-b462-1d6a71861021","pe-section","file"
"ad3dfb10-a91a-4985-bd21-e1b28378caad",27127,"Payload delivery","sha1","aef5226ce821bf70fb4ad9daf7354c856a175494","",1,1666940537,"sha1","","8d6f978a-487a-49f1-b462-1d6a71861021","pe-section","file"
"ed787cbf-b178-4937-9818-592e3cb9925d",27127,"Payload delivery","sha256","f4f48d440ea98464964d2262a48172ced4c30e3ef2cf3d457e397a3141716433","",1,1666940537,"sha256","","8d6f978a-487a-49f1-b462-1d6a71861021","pe-section","file"
"66c81067-fa19-4eaf-bcec-1f880efbdad0",27127,"Other","size-in-bytes",27648,"",0,1666940537,"size-in-bytes","","8d6f978a-487a-49f1-b462-1d6a71861021","pe-section","file"
"2de82d46-ec4e-426e-9800-ef5b78629b2b",27127,"Other","float",5.72417,"",0,1666940537,"entropy","","8d6f978a-487a-49f1-b462-1d6a71861021","pe-section","file"
"b2766420-9930-4dd8-b62a-c3a2a81d57a6",27127,"Other","text",".reloc","",0,1666940538,"name","","ce31a459-f147-4272-a149-97d9dfeb886e","pe-section","file"
"837faf4a-5bae-4382-aec5-92f30cf2f2c2",27127,"Payload delivery","md5","86387f23003097aa2a4718b63e58f8bb","",1,1666940538,"md5","","ce31a459-f147-4272-a149-97d9dfeb886e","pe-section","file"
"69b5428f-7203-4341-a534-ef3aa26f418d",27127,"Payload delivery","sha1","bd5dddf33255e7e326a2886015556add6235e333","",1,1666940538,"sha1","","ce31a459-f147-4272-a149-97d9dfeb886e","pe-section","file"
"ba01ca13-b7d2-45fd-9198-8fccdffd7a72",27127,"Payload delivery","sha256","f5a2b78c9413c77168d15eb0593694ae727a5c596b7e7e58b692a43b6f7bb53e","",1,1666940538,"sha256","","ce31a459-f147-4272-a149-97d9dfeb886e","pe-section","file"
"0198b595-eb0a-4502-acb6-47fae66b9000",27127,"Other","size-in-bytes",512,"",0,1666940538,"size-in-bytes","","ce31a459-f147-4272-a149-97d9dfeb886e","pe-section","file"
"d8aa0737-6403-4a82-8dbd-dbc5f8680f9c",27127,"Other","float",0.10191,"",0,1666940538,"entropy","","ce31a459-f147-4272-a149-97d9dfeb886e","pe-section","file"
"48e5a138-0cb3-4006-8a0d-99e25015508c",27127,"External analysis","link","https://www.virustotal.com/gui/file/4905ecda46a5a03e0d6c5a8144ec47063109fc2eb5fbb5e06722080e63eb7394/detection","",0,1666940538,"permalink","","f7377cb0-490d-4326-8664-a2ed419558c3","virustotal-report","misc"
"4f95b72d-31f1-41e2-9cf4-6978841ee6ca",27127,"Other","datetime","2022-10-25T16:28:21.000000+0000","",0,1666940538,"last-submission","","f7377cb0-490d-4326-8664-a2ed419558c3","virustotal-report","misc"
"1ec6e3b5-cc77-454c-90e2-b9a01fee1c7c",27127,"Other","text","41/71","",0,1666940538,"detection-ratio","","f7377cb0-490d-4326-8664-a2ed419558c3","virustotal-report","misc"

