uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"3c6651e2-8999-46d2-b887-925594b15d9d",10815,"Payload delivery","filename","x86_64","",0,1650338643,"","","","",""
"3c64300b-8cae-49f3-9037-e7acd56d580e",10815,"Payload delivery","md5","3c0cfcaee68aeca97cf8b589413e12c7","",1,1650338643,"","","","",""
"f4081387-2592-4008-bc6b-8149e32cc060",10815,"Payload delivery","sha1","964eb1aaa089bdb187e0af59385f118dd3fd8bdc","",1,1650338643,"","","","",""
"4a6fd358-db9e-4d92-87da-c5151df46776",10815,"Payload delivery","sha256","968af4a7dad7fff77086b8498c6ac8ea930243378e0220a8f3b954f25f0a949a","",1,1650338643,"","","","",""
"0543aca7-4d2a-48d6-a7c6-db9b4f7d353b",10815,"Payload delivery","mime-type","ELF 64-bit LSB executable, x86-64, version 1 (SYSV), statically linked, stripped","",0,1650338643,"","","","",""
"68df0230-127c-4a28-9be3-e4e8c10683a0",10815,"Network activity","url","http://2.56.57.98/x86_64","",1,1650338643,"","","","",""
"2d440b7d-db1b-4437-8ca0-e81cbbe8d4e0",10815,"Network activity","ip-dst","2.56.57.98","",1,1650338643,"","","","",""
"b49ab60a-9608-4285-9b0b-ba210a820fbc",10815,"External analysis","link","https://www.virustotal.com/gui/file/968af4a7dad7fff77086b8498c6ac8ea930243378e0220a8f3b954f25f0a949a/detection","",0,1650338643,"permalink","","82a36dbf-d13d-4ec0-9b3f-dd34c53b6eec","virustotal-report","misc"
"2943a40d-fa27-472d-b9d8-e29a14ca0c54",10815,"Other","datetime","2022-04-17T07:18:48.000000+0000","",0,1650338643,"last-submission","","82a36dbf-d13d-4ec0-9b3f-dd34c53b6eec","virustotal-report","misc"
"4b40b946-24b7-4390-8af4-e8444a213036",10815,"Other","text","20/61","",0,1650338643,"detection-ratio","","82a36dbf-d13d-4ec0-9b3f-dd34c53b6eec","virustotal-report","misc"

