uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"36d320a1-632f-4225-bf2b-55e0d57808ce",20592,"Payload delivery","filename","bluezx.exe","",0,1658730187,"","","","",""
"1c03d03f-4242-479d-b4cb-f1ddb4f02c30",20592,"Payload delivery","md5","dfda813df165e9dc5b484d7e2f11a9a7","",1,1658730187,"","","","",""
"4587f300-e302-43a6-b68a-82cfa3c2b76c",20592,"Payload delivery","sha1","7bdbc3e938f4e4e34f6f934886692dba8d539b94","",1,1658730187,"","","","",""
"077181bb-7cff-429a-b547-2c241e2b3090",20592,"Payload delivery","sha256","3845cb20ec33d67319ad79f3b198596f756bd6997c91c573a560329c843539c5","",1,1658730187,"","","","",""
"d08ded35-a53f-4047-9f44-81f2ab1380e1",20592,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386 Mono/.Net assembly, for MS Windows","",0,1658730187,"","","","",""
"2cac8ba5-05e4-4e1b-a1ef-c682adff277b",20592,"Payload delivery","imphash","f34d5f2d4577ed6d9ceec516c1f5a744","",0,1658730187,"","","","",""
"85470591-9ea7-4000-a420-f9382c923884",20592,"Network activity","url","http://208.67.105.179/bluezx.exe","",1,1658730187,"","","","",""
"0320e392-5f61-475b-912f-d4b4d704f143",20592,"Network activity","ip-dst","208.67.105.179","",1,1658730187,"","","","",""
"180d5819-f2c1-4919-b008-7460c21d328c",20592,"Other","text",".text","",0,1658730187,"name","","a043e229-99d2-4036-89ad-491ef847c373","pe-section","file"
"ce1cfbd9-c334-40d6-a631-175707399775",20592,"Payload delivery","md5","50064a9f7c14368d731ed38d42083844","",1,1658730187,"md5","","a043e229-99d2-4036-89ad-491ef847c373","pe-section","file"
"f14c336d-9f92-4fa4-bd39-20fb3b18cf38",20592,"Payload delivery","sha1","74055ec807f9e363d2e50b69d44e7e94b0605e5b","",1,1658730187,"sha1","","a043e229-99d2-4036-89ad-491ef847c373","pe-section","file"
"098875b8-b929-439e-ab58-ed0e5dfb3789",20592,"Payload delivery","sha256","bc91b76df8ba05fa74887e4fb22681ae5fdbcd3ff228962c2850df0d8ef05fdf","",1,1658730187,"sha256","","a043e229-99d2-4036-89ad-491ef847c373","pe-section","file"
"7be9ccf7-4046-4527-bb22-689631eed418",20592,"Other","size-in-bytes",838656,"",0,1658730187,"size-in-bytes","","a043e229-99d2-4036-89ad-491ef847c373","pe-section","file"
"4540ce38-271b-483a-af32-fe31054f66bd",20592,"Other","float",7.95798,"",0,1658730187,"entropy","","a043e229-99d2-4036-89ad-491ef847c373","pe-section","file"
"f97aa8c0-0378-400d-b606-75f351d0a919",20592,"Other","text",".rsrc","",0,1658730187,"name","","fd12b66c-803b-4bda-a7ee-41fefbab45a6","pe-section","file"
"805ea2b7-a0eb-4358-9791-2c49c8763fa8",20592,"Payload delivery","md5","514736de7319ce310a15d0dab133f535","",1,1658730187,"md5","","fd12b66c-803b-4bda-a7ee-41fefbab45a6","pe-section","file"
"06fcc87e-b90d-4227-a7f9-e14826bac2f7",20592,"Payload delivery","sha1","4b5138d36fe394aa0b0aa4ee6162e8e72731365c","",1,1658730187,"sha1","","fd12b66c-803b-4bda-a7ee-41fefbab45a6","pe-section","file"
"1125263f-8b6b-4f4c-bb22-9c0427fb628f",20592,"Payload delivery","sha256","e16fb0e842bc2468bf955225cc5bdd9ce11731311884a92e257f525474eddb59","",1,1658730187,"sha256","","fd12b66c-803b-4bda-a7ee-41fefbab45a6","pe-section","file"
"405cf8c7-a590-41b1-a44d-795fc98bb80b",20592,"Other","size-in-bytes",1024,"",0,1658730187,"size-in-bytes","","fd12b66c-803b-4bda-a7ee-41fefbab45a6","pe-section","file"
"d9995049-380b-41fe-a48c-954fa3880af9",20592,"Other","float",2.81754,"",0,1658730187,"entropy","","fd12b66c-803b-4bda-a7ee-41fefbab45a6","pe-section","file"
"c1b45725-4e7e-4c74-9366-03ac4bc886df",20592,"Other","text",".reloc","",0,1658730188,"name","","1920eae4-1e9e-470c-a153-7c1ae617eb5a","pe-section","file"
"1fc737b8-ecd0-4b72-908d-c896a6484928",20592,"Payload delivery","md5","518e4c5225ebb66e856cf49981ef8d97","",1,1658730188,"md5","","1920eae4-1e9e-470c-a153-7c1ae617eb5a","pe-section","file"
"12ec72fc-b969-4c4d-8d49-1778be862c3d",20592,"Payload delivery","sha1","6b54c420b94261350bf3c529358e6ab8f3c19617","",1,1658730188,"sha1","","1920eae4-1e9e-470c-a153-7c1ae617eb5a","pe-section","file"
"7e510277-b980-4bad-85bb-79ad76238885",20592,"Payload delivery","sha256","4a80f6cb92463006eec594f291a9a65d6f48b45cc551d6a16e0acbf73b360d2e","",1,1658730188,"sha256","","1920eae4-1e9e-470c-a153-7c1ae617eb5a","pe-section","file"
"cc8eeaa2-8b30-4769-bccf-ea81fe374405",20592,"Other","size-in-bytes",512,"",0,1658730188,"size-in-bytes","","1920eae4-1e9e-470c-a153-7c1ae617eb5a","pe-section","file"
"7d2fa702-75b5-40ef-90b1-0fd982167ec5",20592,"Other","float",0.0980042,"",0,1658730188,"entropy","","1920eae4-1e9e-470c-a153-7c1ae617eb5a","pe-section","file"
"22910369-bfbc-48f2-99af-82ad7bc6b42d",20592,"External analysis","link","https://www.virustotal.com/gui/file/3845cb20ec33d67319ad79f3b198596f756bd6997c91c573a560329c843539c5/detection","",0,1658730188,"permalink","","52375ec2-1c99-4b9d-ad2a-56f034ee31ab","virustotal-report","misc"
"c66c8817-f26e-45cc-9695-79a8eeb4193a",20592,"Other","datetime","2022-07-23T20:08:13.000000+0000","",0,1658730188,"last-submission","","52375ec2-1c99-4b9d-ad2a-56f034ee31ab","virustotal-report","misc"
"8294c17d-bd15-4b4b-abf2-2e3cf65d0c8f",20592,"Other","text","39/71","",0,1658730188,"detection-ratio","","52375ec2-1c99-4b9d-ad2a-56f034ee31ab","virustotal-report","misc"

