uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"744dfb34-777c-43a7-9010-624a0c560fb5",48045,"Payload delivery","filename","janomo_FaIsIoOzgK55.bin","",0,1613505065,"","","","",""
"ed111cfe-68cc-47dd-aeba-abf12c2cde94",48045,"Payload delivery","md5","05ef8a8bc45d9c07ea64904e891c1108","",1,1613505065,"","","","",""
"205d8ce6-a857-4f61-b59a-cf2ef8f479c4",48045,"Payload delivery","sha1","c3dae4028941f82842d51629ec96ca35d978d8cd","",1,1613505065,"","","","",""
"cdd4af80-0ce4-44c7-acd4-86d0860cd1d9",48045,"Payload delivery","sha256","ac6cdbbe2e97c2caf5e6364b1fe1f792a25aa178f6b2cc3dcfa34ea1414cbe3a","",1,1613505065,"","","","",""
"07410927-72b2-4d35-b9e6-4a87c9f43929",48045,"Payload delivery","mime-type","data","",0,1613505065,"","","","",""
"c1ca7461-e353-4e0f-b0ea-ea312159d4d6",48045,"Network activity","url","https://victoragboifo.com/mx/janomo_FaIsIoOzgK55.bin","",1,1613505065,"","","","",""
"be15d577-4401-4569-8f5b-3a389fa9ebaa",48045,"Network activity","domain","victoragboifo.com","",1,1613505065,"","","","",""
"b0336f7f-16d6-4980-a04e-2de3d84ab15e",48045,"External analysis","link","https://www.virustotal.com/gui/file/ac6cdbbe2e97c2caf5e6364b1fe1f792a25aa178f6b2cc3dcfa34ea1414cbe3a/detection","",0,1613505065,"permalink","","43cadc3a-7c9a-4cad-92be-44627f161cd9","virustotal-report","misc"
"de8105b4-892f-4152-8e16-3558f214ab19",48045,"Other","datetime","2021-02-16T19:02:54.000000+0000","",0,1613505065,"last-submission","","43cadc3a-7c9a-4cad-92be-44627f161cd9","virustotal-report","misc"
"17b853f9-05b3-4980-bfd6-f8cde07f3149",48045,"Other","text","0/58","",0,1613505065,"detection-ratio","","43cadc3a-7c9a-4cad-92be-44627f161cd9","virustotal-report","misc"

