uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"2f613e1f-186f-4d4c-8daf-24d586f4bc14",4420,"Payload delivery","filename","Zinckeds.exe","",0,1716722593,"","","","",""
"4564a391-5e00-46fa-be06-49f30fe3f777",4420,"Payload delivery","md5","8eb3c7bc1ad38ae064eda594deed070b","",1,1716722593,"","","","",""
"fa15de0d-5f36-425e-b130-45e8e70fb18a",4420,"Payload delivery","sha1","58d2d8baa9a14ece4ae12b6cd3260e79c7003059","",1,1716722593,"","","","",""
"97b9ccd1-2c29-473a-8321-4ba0cb817a32",4420,"Payload delivery","sha256","f04cb1b8a8beb6a51b0beb2867d18dc6df2352afb67a3c85233a7383c1ce3617","",1,1716722593,"","","","",""
"9ea745f5-7ba4-4147-8237-65bed83ce104",4420,"Payload delivery","mime-type","application/x-dosexec","",0,1716722593,"","","","",""
"33c72879-b1f0-437b-91bc-670857b8bdc3",4420,"Payload delivery","imphash","b52109efdb3a4c9e783d60533258ffa2","",0,1716722593,"","","","",""
"f9353aa1-0c39-4986-9a4a-ec5e9a0b740b",4420,"Network activity","url","https://raw.githubusercontent.com/Elio1204/JS6/master/Zinckeds.exe","",1,1716722593,"","","","",""
"07f9f034-88d9-43c3-8efc-271eab9c39de",4420,"Network activity","domain","raw.githubusercontent.com","Domain listed as False Positive in OSINT.DigitalSide.IT whitelist",0,1716722593,"","","","",""
"8046dc9c-7974-4e51-9034-a8afb1e80139",4420,"Other","text",".text","",0,1716722593,"name","","86227b51-e243-4537-9a78-f2e10399e5d8","pe-section","file"
"9464096e-cb16-4269-a0fa-b7f6552d0f6d",4420,"Payload delivery","md5","3ef364608456c5f47011fd4871423f88","",1,1716722593,"md5","","86227b51-e243-4537-9a78-f2e10399e5d8","pe-section","file"
"8bcf28f7-a3af-4353-87b6-f9b380a7794c",4420,"Payload delivery","sha1","8ff86e7b7373d800bc96eea84c22f70d6eabbaa1","",1,1716722593,"sha1","","86227b51-e243-4537-9a78-f2e10399e5d8","pe-section","file"
"a204b6ae-93b2-4c64-8a37-cadb53623d0e",4420,"Payload delivery","sha256","cd67ee8588ce3ffc7f58d34be4c9095a707dd3a19db55fe59d10f3bfb85ab19e","",1,1716722593,"sha256","","86227b51-e243-4537-9a78-f2e10399e5d8","pe-section","file"
"40652a25-5215-4945-aade-6bec34d17954",4420,"Other","size-in-bytes",527360,"",0,1716722593,"size-in-bytes","","86227b51-e243-4537-9a78-f2e10399e5d8","pe-section","file"
"de79a015-6064-47cb-b30d-d695d25cbe3a",4420,"Other","float",6.67142,"",0,1716722593,"entropy","","86227b51-e243-4537-9a78-f2e10399e5d8","pe-section","file"
"372e7138-76ff-4e9c-9aa7-18864f3949e1",4420,"Other","text",".bsS","",0,1716722593,"name","","abed80f1-78ff-4e13-a4e9-86604e353024","pe-section","file"
"2cbbc6c3-a9ea-450a-9931-481737fcec1a",4420,"Payload delivery","md5","ead6499208a638f23ec01459f11a06ed","",1,1716722593,"md5","","abed80f1-78ff-4e13-a4e9-86604e353024","pe-section","file"
"f2dfefe9-bb94-4dca-b40d-ca1dd94d05c7",4420,"Payload delivery","sha1","44476ed69780167515561497beca8f52a400a609","",1,1716722593,"sha1","","abed80f1-78ff-4e13-a4e9-86604e353024","pe-section","file"
"820a8efb-6df4-4ff5-96fe-b1a30aefb221",4420,"Payload delivery","sha256","428169f0c080d5da856223cdefc30ee324e505ac8a4d72bfd073657884b2b20a","",1,1716722593,"sha256","","abed80f1-78ff-4e13-a4e9-86604e353024","pe-section","file"
"10fa1c57-9831-4f44-8435-64ddc86ddf3f",4420,"Other","size-in-bytes",1024,"",0,1716722593,"size-in-bytes","","abed80f1-78ff-4e13-a4e9-86604e353024","pe-section","file"
