uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"a742b8fa-b2c5-4458-89ae-c06ccfea540b",27879,"Payload delivery","filename","emptyfilename.tmp","",0,1667843334,"","","","",""
"7be68884-6f40-4a66-8510-759118e41feb",27879,"Payload delivery","md5","51abaab28f586acf76751967d787345c","",1,1667843334,"","","","",""
"1fb7d73b-4d36-4ee8-8f74-414d66a87bf6",27879,"Payload delivery","sha1","4ec3bebb153c875df1674c4d004a8ded34196eb2","",1,1667843334,"","","","",""
"73806d72-d3cc-467e-94ea-108e3bdde260",27879,"Payload delivery","sha256","414dc46170f14f094609c39dbf5be729175a605f918bc116384a975eac129869","",1,1667843334,"","","","",""
"1e498951-56a8-4039-87cb-49ebfc6477f3",27879,"Payload delivery","mime-type","PE32+ executable (DLL) (GUI) x86-64, for MS Windows","",0,1667843334,"","","","",""
"ba619006-154d-4ceb-89af-d3a89f276ed3",27879,"Payload delivery","imphash","6931934f7ab9b3eecee3b27fd5894384","",0,1667843334,"","","","",""
"c1a10caf-a2a0-4780-af26-f3d450c91b80",27879,"Network activity","url","https://caimari.com/wp-includes/E3/","",1,1667843334,"","","","",""
"300c1b5d-561a-4e80-a4f2-5d35e8346514",27879,"Network activity","domain","caimari.com","",1,1667843334,"","","","",""
"1072848b-4d94-41e3-8310-85e66d54ad7b",27879,"Other","text",".text","",0,1667843335,"name","","c3c12256-5d36-445a-a0c2-b0ff7eb221f1","pe-section","file"
"2381a257-75fa-49c8-b483-270f2d2e3432",27879,"Payload delivery","md5","5e072f28006f93d3921c3880a436945a","",1,1667843335,"md5","","c3c12256-5d36-445a-a0c2-b0ff7eb221f1","pe-section","file"
"43b22e43-c4ea-4116-8e85-a39e67e8189a",27879,"Payload delivery","sha1","e23e9e46f52a331a24f2e5b4d71dca9bbe10dc13","",1,1667843335,"sha1","","c3c12256-5d36-445a-a0c2-b0ff7eb221f1","pe-section","file"
"387da3ca-0966-4f1f-8bfa-03d7cd594f8f",27879,"Payload delivery","sha256","b517a8ff662aae17f56c75711c1db68a1b1e767b2cb11105fce73b0c313a7fb9","",1,1667843335,"sha256","","c3c12256-5d36-445a-a0c2-b0ff7eb221f1","pe-section","file"
"7c339117-d5c6-48ee-bd59-c485b8fafe09",27879,"Other","size-in-bytes",357376,"",0,1667843335,"size-in-bytes","","c3c12256-5d36-445a-a0c2-b0ff7eb221f1","pe-section","file"
"936ac182-d3b4-46a1-8dc9-b2df8672265c",27879,"Other","float",6.34924,"",0,1667843335,"entropy","","c3c12256-5d36-445a-a0c2-b0ff7eb221f1","pe-section","file"
