uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"d9424e62-fec1-4400-9698-e5830e095508",5134,"Payload delivery","filename","fuckjewishpeople.arm6","",0,1642753511,"","","","",""
"8db5b4b0-af03-4d5f-8543-d381a839141d",5134,"Payload delivery","md5","3cb08428c383887381a8adbfb2cc35af","",1,1642753511,"","","","",""
"8c7fe47d-fb00-4e3d-8532-4f7157505457",5134,"Payload delivery","sha1","63e051d4e15ab274a3522240f0e00943c76b0e62","",1,1642753511,"","","","",""
"02683d0d-9950-46e0-85f7-2cb1f6761d89",5134,"Payload delivery","sha256","ff2f8d288108f34e9d1c29fee8d1709ef132421ab3bab98f965e02abf8b33648","",1,1642753511,"","","","",""
"95790746-c9f7-40c1-b7bf-a64e67859601",5134,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, EABI4 version 1 (SYSV), statically linked, with debug_info, not stripped","",0,1642753511,"","","","",""
"69f26fcb-f438-454f-badc-60c0b6ebf7bf",5134,"Network activity","url","http://78.47.230.250/fuckjewishpeople.arm6","",1,1642753511,"","","","",""
"75ac4234-960c-4625-b674-00ed291953dc",5134,"Network activity","ip-dst","78.47.230.250","",1,1642753511,"","","","",""
"9189bfea-6756-45c6-8a37-9e781b456c4d",5134,"External analysis","link","https://www.virustotal.com/gui/file/ff2f8d288108f34e9d1c29fee8d1709ef132421ab3bab98f965e02abf8b33648/detection","",0,1642753512,"permalink","","172093d0-73b8-4ada-8183-ab89c9aa4787","virustotal-report","misc"
"4ebde9a9-32fb-4f89-9b3f-c7c234fb9540",5134,"Other","datetime","2022-01-21T06:53:09.000000+0000","",0,1642753512,"last-submission","","172093d0-73b8-4ada-8183-ab89c9aa4787","virustotal-report","misc"
"04420269-ab5e-4c13-b480-27bdd02feee2",5134,"Other","text","33/61","",0,1642753512,"detection-ratio","","172093d0-73b8-4ada-8183-ab89c9aa4787","virustotal-report","misc"

