uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"180efdf1-257f-491f-83e5-e71471ad2e89",24780,"Payload delivery","filename","409cddst.exe","",0,1596664783,"","","","",""
"e82f94a8-f82f-42c2-8543-024fe9ebcc5b",24780,"Payload delivery","md5","2b16ecc03b4bfe653cecedd7464d3bba","",1,1596664783,"","","","",""
"8a010dfe-a933-45fa-a921-bd0d99509887",24780,"Payload delivery","sha1","2b88654cc6b2a55b9501b785b673ab8b8ff23cfb","",1,1596664783,"","","","",""
"3db1c5f4-e1bf-42cf-b3fa-558083e10917",24780,"Payload delivery","sha256","f9c6d3425bd1895ee75f838a7c5a9c54fa3dee9875147ced8e1307a13df7175e","",1,1596664783,"","","","",""
"348095fb-df00-43b3-9246-e925515b195d",24780,"Payload delivery","mime-type","PE32 executable (console) Intel 80386, for MS Windows","",0,1596664783,"","","","",""
"964bac12-20eb-4ec3-bcec-add95bf3cdc8",24780,"Payload delivery","imphash","4a8c5544cd24df05aabef0164d767361","",0,1596664783,"","","","",""
"772a2c26-a385-414c-82dd-6f6ad8cd0df7",24780,"Network activity","url","http://kiwizon.com/junkreps/409cddst.exe","",1,1596664783,"","","","",""
"b5e5ba8c-320f-4bbb-81e9-58e0386ce089",24780,"Network activity","domain","kiwizon.com","",1,1596664783,"","","","",""
"70be870c-198a-4e8d-ab8f-cef9f64bbe11",24780,"Other","text",".text","",0,1596664783,"name","","115c526d-b022-4a13-bc85-4a6d08807ddb","pe-section","file"
"86e19ea5-7a7b-494b-8ca4-cc0e4ada28a5",24780,"Payload delivery","md5","c2737d577f1c4ff4b4bcd18c24538827","",1,1596664783,"md5","","115c526d-b022-4a13-bc85-4a6d08807ddb","pe-section","file"
"22ff6d45-9365-41d4-adfa-30cb0c852ba1",24780,"Payload delivery","sha1","56df9742b0e301db4619f2b3e423b73bd58fd092","",1,1596664783,"sha1","","115c526d-b022-4a13-bc85-4a6d08807ddb","pe-section","file"
"a7d65638-0ab2-430e-93eb-3fe7485b41b0",24780,"Payload delivery","sha256","f8e441f3d9ea3bd3e7af79a8b45ca8fc7366b47fedc4477ebe2ccba38a090d41","",1,1596664783,"sha256","","115c526d-b022-4a13-bc85-4a6d08807ddb","pe-section","file"
"86e13baa-ff2d-42dc-97f9-e23553887cd8",24780,"Other","size-in-bytes",6144,"",0,1596664783,"size-in-bytes","","115c526d-b022-4a13-bc85-4a6d08807ddb","pe-section","file"
"6ef4fc2d-215a-4e14-9653-91e3a79a79cc",24780,"Other","float",6.10599,"",0,1596664783,"entropy","","115c526d-b022-4a13-bc85-4a6d08807ddb","pe-section","file"
"f8c5004e-824c-4c47-87ec-cec7e7376a4f",24780,"Other","text",".rdata","",0,1596664784,"name","","b79a0c0a-16c3-48c1-b2bc-caa6c9fc389a","pe-section","file"
"43457a46-2ca5-458b-ab01-335274d7b3c3",24780,"Payload delivery","md5","a757d43f12ffbb757b1201388c2299b1","",1,1596664784,"md5","","b79a0c0a-16c3-48c1-b2bc-caa6c9fc389a","pe-section","file"
"19cada34-d536-47f9-95bf-2ce50fdf21d4",24780,"Payload delivery","sha1","7751cffbba8465f346a1d74b631e0200e3a7971e","",1,1596664784,"sha1","","b79a0c0a-16c3-48c1-b2bc-caa6c9fc389a","pe-section","file"
"ed02d340-faf4-4708-a6fe-6aaa98b9820e",24780,"Payload delivery","sha256","3cbd6367aefc15844e3ef68a0bdec34b332ae3fac50e19b86f9a951f664ac6c8","",1,1596664784,"sha256","","b79a0c0a-16c3-48c1-b2bc-caa6c9fc389a","pe-section","file"
"e448ab5d-7d30-4148-a276-21aeb2670fb4",24780,"Other","size-in-bytes",4096,"",0,1596664784,"size-in-bytes","","b79a0c0a-16c3-48c1-b2bc-caa6c9fc389a","pe-section","file"
"52083195-4083-42a7-b115-036862a4fb52",24780,"Other","float",5.2693,"",0,1596664784,"entropy","","b79a0c0a-16c3-48c1-b2bc-caa6c9fc389a","pe-section","file"
"246f7c5e-6da6-4c37-8d21-fe2a33415bd1",24780,"Other","text",".data","",0,1596664784,"name","","a5f9fc92-2094-4458-a15d-833fa37db063","pe-section","file"
"8596591e-a2d7-4684-a9de-6a424d57a409",24780,"Payload delivery","md5","3900e95ec5ddf49746291421547a21a8","",1,1596664784,"md5","","a5f9fc92-2094-4458-a15d-833fa37db063","pe-section","file"
"1be025e5-f873-49ba-bf6e-a9ee4fe625d4",24780,"Payload delivery","sha1","cc5c045887f8fcca7bd969d95488fd8fc0cd2aa8","",1,1596664784,"sha1","","a5f9fc92-2094-4458-a15d-833fa37db063","pe-section","file"
"7eb55686-51a3-4870-9b4f-220cb76e8efc",24780,"Payload delivery","sha256","44f5710a0815a68d02df24b4b8f92f94c0086c1b8c0d06765ee9012a1e08d4bc","",1,1596664784,"sha256","","a5f9fc92-2094-4458-a15d-833fa37db063","pe-section","file"
"eb618a5d-002d-4878-b742-e314ce91e3fb",24780,"Other","size-in-bytes",512,"",0,1596664784,"size-in-bytes","","a5f9fc92-2094-4458-a15d-833fa37db063","pe-section","file"
"6490d910-55d5-426a-9bc4-bc5ee1e83710",24780,"Other","float",0.46113,"",0,1596664784,"entropy","","a5f9fc92-2094-4458-a15d-833fa37db063","pe-section","file"
"6fa415b2-95ac-469d-9138-a51bb77e4f75",24780,"Other","text",".rsrc","",0,1596664785,"name","","33043163-cad8-466e-af50-8fddc6ff3421","pe-section","file"
"fe009244-85b1-4b16-9f85-570f1ac31696",24780,"Payload delivery","md5","9fa9142217f16c55a568f2f1141214ab","",1,1596664785,"md5","","33043163-cad8-466e-af50-8fddc6ff3421","pe-section","file"
"59c9cbdc-071e-43a2-899d-08d41457499f",24780,"Payload delivery","sha1","db915667fba980a327e67ddbd009b7149a2306c4","",1,1596664785,"sha1","","33043163-cad8-466e-af50-8fddc6ff3421","pe-section","file"
