uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"907d3643-ce83-4ea3-871a-1a0ba3ea2dc7",16616,"Payload delivery","filename","x86","",0,1654559883,"","","","",""
"0a0e7571-3f5b-4b3c-80c3-ba474eca44bc",16616,"Payload delivery","md5","dd0eab7290ba1a2bf7826a431556cd61","",1,1654559883,"","","","",""
"fc967fbb-d270-4eb6-a937-80fde7c88030",16616,"Payload delivery","sha1","abbb3ac19abac2406524cc496dd86ca63cf6d861","",1,1654559883,"","","","",""
"2cc5bca9-82ce-4251-a009-73380146a22b",16616,"Payload delivery","sha256","73db2527722d4ab06c4cf4d52be2864478a456a6198ffd6f984d32e2becfb33b","",1,1654559883,"","","","",""
"5a6d650c-5d09-4594-b14e-6b5464be4a09",16616,"Payload delivery","mime-type","ELF 32-bit LSB executable, Intel 80386, version 1 (GNU/Linux), statically linked, no section header","",0,1654559883,"","","","",""
"e3940893-8be3-40d5-8298-99761afbf264",16616,"Network activity","url","http://172.105.16.194/SBIDIOT/x86","",1,1654559883,"","","","",""
"0691a5c5-00cd-4b04-b896-d3ee01d517a2",16616,"Network activity","ip-dst","172.105.16.194","",1,1654559883,"","","","",""
"a2d0e093-3e0f-4f16-99c0-e77c42871161",16616,"External analysis","link","https://www.virustotal.com/gui/file/73db2527722d4ab06c4cf4d52be2864478a456a6198ffd6f984d32e2becfb33b/detection","",0,1654559883,"permalink","","995f21c7-99f9-43ae-9584-740996f404f9","virustotal-report","misc"
"b4985b57-7d32-484c-b374-cf35fabb6b73",16616,"Other","datetime","2022-06-06T23:51:32.000000+0000","",0,1654559883,"last-submission","","995f21c7-99f9-43ae-9584-740996f404f9","virustotal-report","misc"
"199e34db-ed03-4458-a67b-c05884b3716e",16616,"Other","text","14/58","",0,1654559883,"detection-ratio","","995f21c7-99f9-43ae-9584-740996f404f9","virustotal-report","misc"

