uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"203b873d-4fa4-49e8-988f-0ec89a625b3e",27140,"Payload delivery","filename","200Oogfism.exe","",0,1598296810,"","","","",""
"db3b8927-d2b4-41d5-bb50-2b4d3c8114b4",27140,"Payload delivery","md5","f0ff3f75470f80d4b04a20e60d259508","",1,1598296810,"","","","",""
"fedd30da-a39d-441c-8a78-01a34921f8d8",27140,"Payload delivery","sha1","2cf9280a4479fe97e01050430f7a1a945b05d8d4","",1,1598296810,"","","","",""
"2fbab7d6-668f-477d-9573-e62dc325d29f",27140,"Payload delivery","sha256","5c75ca8f23cd3df2b742b87766322b337ae208f7aec7acf3a818fa4d48768df2","",1,1598296810,"","","","",""
"bd965261-3668-4283-9ab8-c3856329ac5e",27140,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1598296810,"","","","",""
"16174413-6852-4fc9-9aa3-fe3848acf73b",27140,"Payload delivery","imphash","a7d1aa369712d60e985a3977f1030bf9","",0,1598296810,"","","","",""
"0131a9f9-eb46-484d-a99e-b9a2e651a952",27140,"Network activity","url","https://yektairon.com/brands/200Oogfism.exe","",1,1598296810,"","","","",""
"2e35010f-fcdb-498f-8d03-abd218ce87c2",27140,"Network activity","domain","yektairon.com","",1,1598296811,"","","","",""
"8aa4d95b-41d0-454d-80c7-cf6ba089fd79",27140,"Payload delivery","filename","563Oogfism.exe","",0,1598307006,"","","","",""
"12118841-2e6e-460d-9ed5-6d630a0bf8b9",27140,"Other","text",".text","",0,1598296811,"name","","c8c8de12-f40a-40ef-bd3b-0b8edba45da4","pe-section","file"
"70c9ede6-02f0-4547-a9f6-29809e8c3dec",27140,"Payload delivery","md5","a836de3b7554dbf8be02eba5c5fda39a","",1,1598296811,"md5","","c8c8de12-f40a-40ef-bd3b-0b8edba45da4","pe-section","file"
"3aa6722d-0974-420c-95c6-d5d43d5a1263",27140,"Payload delivery","sha1","5d2c5b59f699ac2dd1837d5cd4f83c74165f8976","",1,1598296811,"sha1","","c8c8de12-f40a-40ef-bd3b-0b8edba45da4","pe-section","file"
"14e215b7-34c3-4c20-95a4-a2445d06976a",27140,"Payload delivery","sha256","bc746a09d87ebdd827f81a8bf034bf7257c3699d1c2eafc2758f9c439844a77c","",1,1598296811,"sha256","","c8c8de12-f40a-40ef-bd3b-0b8edba45da4","pe-section","file"
"ca395257-eeb1-4b16-8803-97b8ed55de00",27140,"Other","size-in-bytes",245760,"",0,1598296811,"size-in-bytes","","c8c8de12-f40a-40ef-bd3b-0b8edba45da4","pe-section","file"
"9db5fec6-1964-4c6b-aea5-cc9c4eea7018",27140,"Other","float",6.37908,"",0,1598296811,"entropy","","c8c8de12-f40a-40ef-bd3b-0b8edba45da4","pe-section","file"
"63c86dc1-e4b0-41c9-a22d-ef1bc2899b60",27140,"Other","text",".data","",0,1598296812,"name","","aa769897-11f9-42b1-b2ad-2619061c09c9","pe-section","file"
"9e8cd089-8f2d-4a48-a4e5-15196c7e36ff",27140,"Payload delivery","md5","620f0b67a91f7f74151bc5be745b7110","",1,1598296812,"md5","","aa769897-11f9-42b1-b2ad-2619061c09c9","pe-section","file"
"87053c34-4390-4623-97e9-a38bc67549af",27140,"Payload delivery","sha1","1ceaf73df40e531df3bfb26b4fb7cd95fb7bff1d","",1,1598296813,"sha1","","aa769897-11f9-42b1-b2ad-2619061c09c9","pe-section","file"
"e9a7afc1-b0e7-4812-a2ff-d39f0c5dca2f",27140,"Payload delivery","sha256","ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7","",1,1598296813,"sha256","","aa769897-11f9-42b1-b2ad-2619061c09c9","pe-section","file"
"4d576dcf-6eac-4687-9adb-0934b1805010",27140,"Other","size-in-bytes",4096,"",0,1598296813,"size-in-bytes","","aa769897-11f9-42b1-b2ad-2619061c09c9","pe-section","file"
"c679bc09-c513-4528-a66a-798a92bf3443",27140,"Other","float",0.0,"",0,1598296813,"entropy","","aa769897-11f9-42b1-b2ad-2619061c09c9","pe-section","file"
"0a7a06f6-b55d-4c76-baec-5ec0bad24461",27140,"Other","text",".rsrc","",0,1598296813,"name","","ffea06bb-b91b-4db1-ac55-5ebef029a89c","pe-section","file"
"e8d27585-3e36-4d20-b14f-5ee4eeb62518",27140,"Payload delivery","md5","a10fa55be9db3d382a0407e592d21b87","",1,1598296813,"md5","","ffea06bb-b91b-4db1-ac55-5ebef029a89c","pe-section","file"
"0d0aa831-0516-406a-a9d8-7ee996c89919",27140,"Payload delivery","sha1","2fcfdce10dc71faae92e7ed5bf269ab1be2bf8be","",1,1598296813,"sha1","","ffea06bb-b91b-4db1-ac55-5ebef029a89c","pe-section","file"
"ed7883da-7407-418f-b332-bd389d934c0f",27140,"Payload delivery","sha256","291036aaa6608a77f104f1ced2229775e102a809a635a199eb842e22134ba511","",1,1598296813,"sha256","","ffea06bb-b91b-4db1-ac55-5ebef029a89c","pe-section","file"
"7d74fa83-bead-4683-9eb1-41051adf9338",27140,"Other","size-in-bytes",327680,"",0,1598296813,"size-in-bytes","","ffea06bb-b91b-4db1-ac55-5ebef029a89c","pe-section","file"
"80abd225-fa74-45d8-a080-297c1d0d5448",27140,"Other","float",5.90396,"",0,1598296813,"entropy","","ffea06bb-b91b-4db1-ac55-5ebef029a89c","pe-section","file"
"26da7f10-4d34-460a-9f67-b1ee2f62d41e",27140,"External analysis","link","https://www.virustotal.com/gui/file/5c75ca8f23cd3df2b742b87766322b337ae208f7aec7acf3a818fa4d48768df2/detection","",0,1598296814,"permalink","","a2889c1f-9de5-4a29-87d1-bbc0fc14b5d4","virustotal-report","misc"
"31fe6823-84c1-477b-8517-7cd202df6ccb",27140,"Other","datetime","2020-08-24T17:24:40.000000+0000","",0,1598296814,"last-submission","","a2889c1f-9de5-4a29-87d1-bbc0fc14b5d4","virustotal-report","misc"
"d5590599-42c2-4be1-97e4-19ddaa396dfd",27140,"Other","text","25/66","",0,1598296814,"detection-ratio","","a2889c1f-9de5-4a29-87d1-bbc0fc14b5d4","virustotal-report","misc"

