uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"b308ab83-39ef-43ba-b7a4-483bf9f82142",40489,"Payload delivery","filename","Mozi.m","",0,1607941936,"","","","",""
"c8ad4242-5099-44d5-95cd-6e1637715a72",40489,"Payload delivery","md5","14d3d246e7bbb3d210934992572b41f6","",1,1607941936,"","","","",""
"56ef52aa-210f-4892-99d6-6e8b0adf2c55",40489,"Payload delivery","sha1","b6601eb3c7bd7c1d5ea2759253299a4400e2d003","",1,1607941936,"","","","",""
"c4ea5012-6e9e-48b5-ac03-10ecf1f49e04",40489,"Payload delivery","sha256","90c110ee1d40dd414cf2e543192f3bc462d962d04ea2a7344e091c8ea17c6ca3","",1,1607941936,"","","","",""
"24051855-0e06-4d04-a030-794c27d22622",40489,"Payload delivery","mime-type","ELF 32-bit MSB executable, MIPS, MIPS-I version 1 (SYSV), statically linked, no section header","",0,1607941936,"","","","",""
"909632cd-f065-4ca6-b6b2-b3717cf6f4df",40489,"Network activity","url","http://117.192.224.171:34597/Mozi.m","",1,1607941936,"","","","",""
"61dca919-2131-4c65-b1c7-ed184d1736d9",40489,"Network activity","ip-dst","117.192.224.171","",1,1607941936,"","","","",""
"4096b8e5-8d1f-48dd-9400-67b9c390f9e9",40489,"External analysis","link","https://www.virustotal.com/gui/file/90c110ee1d40dd414cf2e543192f3bc462d962d04ea2a7344e091c8ea17c6ca3/detection","",0,1607941936,"permalink","","ba5a0f6a-54c8-41f6-a61a-9425f87c44a9","virustotal-report","misc"
"3e71f62a-60fd-4077-b10b-023078d69793",40489,"Other","datetime","2020-12-14T09:51:09.000000+0000","",0,1607941936,"last-submission","","ba5a0f6a-54c8-41f6-a61a-9425f87c44a9","virustotal-report","misc"
"0192d067-ed26-4ba2-acef-8ff80cce2ad2",40489,"Other","text","28/61","",0,1607941936,"detection-ratio","","ba5a0f6a-54c8-41f6-a61a-9425f87c44a9","virustotal-report","misc"

