uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"b1b1a7d1-5369-437a-b8ca-bca5c3f1465d",11985,"Payload delivery","filename","Tsunami.mips","",0,1651309864,"","","","",""
"adb55e7e-6fc9-44e9-bf90-4fdf9cc6f26c",11985,"Payload delivery","md5","ed396f888195ebd78823d63d8c0f78af","",1,1651309864,"","","","",""
"215ecbc2-ebd9-4ad0-bebc-1e6d4cc61dfa",11985,"Payload delivery","sha1","8119ce4f464c0a3d588ae65ebabc2a22e6dba687","",1,1651309864,"","","","",""
"d39ea919-4663-466b-9885-1fbc9b0529b0",11985,"Payload delivery","sha256","32262f5316cc2e853e5d102e5f149429f0cf439016dfd1b58c3105d5982804f8","",1,1651309864,"","","","",""
"88e822f4-9f80-4b43-80d4-b48e7960efc7",11985,"Payload delivery","mime-type","ELF 32-bit MSB executable, MIPS, MIPS-I version 1 (SYSV), statically linked, no section header","",0,1651309864,"","","","",""
"06ae24a6-3553-4cb9-b5dc-1fb2a4e1e5c8",11985,"Network activity","url","http://107.173.148.8/bins/Tsunami.mips","",1,1651309864,"","","","",""
"954b1dfe-a518-4797-8824-3a5b55fc04db",11985,"Network activity","ip-dst","107.173.148.8","",1,1651309864,"","","","",""
"a2eb4ef5-d037-4bac-8be3-ebed123f7b26",11985,"External analysis","link","https://www.virustotal.com/gui/file/32262f5316cc2e853e5d102e5f149429f0cf439016dfd1b58c3105d5982804f8/detection","",0,1651309865,"permalink","","656a18a4-97a8-451d-ba0c-ff0c55b1e80c","virustotal-report","misc"
"9647ce99-150c-4903-a993-20de64668b2f",11985,"Other","datetime","2022-04-30T08:46:00.000000+0000","",0,1651309865,"last-submission","","656a18a4-97a8-451d-ba0c-ff0c55b1e80c","virustotal-report","misc"
"cd95a1d8-0f33-4be6-bd37-85094dffe757",11985,"Other","text","16/60","",0,1651309865,"detection-ratio","","656a18a4-97a8-451d-ba0c-ff0c55b1e80c","virustotal-report","misc"

