uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"c7897119-e4be-4cf2-b759-7ee7fb4f6528",64710,"Payload delivery","filename","177.exe","",0,1635737710,"","","","",""
"267db52f-8018-44dc-b343-d9eb7d38333c",64710,"Payload delivery","md5","6093a7ccaec758a86ee4fb3bd81636db","",1,1635737710,"","","","",""
"6b15bb7f-3ffb-4822-b6e1-f8b6d8f41518",64710,"Payload delivery","sha1","4f5241fd9c93ad4fb7fb41894e38beb7c6a10898","",1,1635737710,"","","","",""
"9c4f5f17-e5a8-494a-96ab-68ac57602fde",64710,"Payload delivery","sha256","8f53c08791f32eee7f1f078a3038f9a9a928551e5fc0d98321e5d177fe5c7d15","",1,1635737710,"","","","",""
"6cb7f367-b341-40a9-9e89-22f954d57a00",64710,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386 Mono/.Net assembly, for MS Windows","",0,1635737710,"","","","",""
"42a106c8-54fa-4375-a8d6-9d99fc03bf31",64710,"Payload delivery","imphash","f34d5f2d4577ed6d9ceec516c1f5a744","",0,1635737710,"","","","",""
"cd8c1756-37ed-4397-91e6-fa16b5d5dab7",64710,"Network activity","url","http://5.181.132.165/myblog/posts/177.exe","",1,1635737710,"","","","",""
"b6b3b459-488c-40ea-b82f-17262b958004",64710,"Network activity","ip-dst","5.181.132.165","",1,1635737710,"","","","",""
"faa97236-4663-450c-be60-0bd0b2fae3d4",64710,"Other","text",".text","",0,1635737710,"name","","d2b21bf3-4f35-4c7a-9418-e48214c39bdc","pe-section","file"
"b2cbda28-f9d8-4e76-9fbc-63b9e45d4db3",64710,"Payload delivery","md5","c14796be0b7bfc63a13312a8b0b1b4ef","",1,1635737710,"md5","","d2b21bf3-4f35-4c7a-9418-e48214c39bdc","pe-section","file"
"5f6b79e8-04db-4f66-bc20-26e5042f8af7",64710,"Payload delivery","sha1","c6548df08943ae502b2eff2a943b131dd5572c90","",1,1635737710,"sha1","","d2b21bf3-4f35-4c7a-9418-e48214c39bdc","pe-section","file"
"9328cef7-2f00-4156-95a8-7f1b0a05a560",64710,"Payload delivery","sha256","b319f10916acd063b45cce1cc7a899d16da06941f3afd93fa39b68982343c78e","",1,1635737710,"sha256","","d2b21bf3-4f35-4c7a-9418-e48214c39bdc","pe-section","file"
"075a1ba2-5745-44d1-b763-1a8b013c0df7",64710,"Other","size-in-bytes",435200,"",0,1635737710,"size-in-bytes","","d2b21bf3-4f35-4c7a-9418-e48214c39bdc","pe-section","file"
"3632570c-2d7c-4215-88cc-ea5471db49a4",64710,"Other","float",6.32713,"",0,1635737710,"entropy","","d2b21bf3-4f35-4c7a-9418-e48214c39bdc","pe-section","file"
"f54d9341-a87b-482c-9d04-ae0636b296bd",64710,"Other","text",".rsrc","",0,1635737711,"name","","922b99ad-2eac-4bb8-9f26-431d4cb7d4bd","pe-section","file"
