uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"bed4162c-3de1-4d3b-9596-658beb3273b9",45041,"Payload delivery","filename","apep.arm5","",0,1611651437,"","","","",""
"e84605f2-9f5d-4bb8-b09c-b949440cf632",45041,"Payload delivery","md5","67af01b57827123f947f81556b36d87b","",1,1611651438,"","","","",""
"8f4a95c7-0bc4-43af-ba26-1a9358ebde13",45041,"Payload delivery","sha1","3ed8c87c40a10ae3670ef04aac6f73f6f80b273c","",1,1611651439,"","","","",""
"a11f3daf-bf63-4c0d-b9f7-db504b5cc9d4",45041,"Payload delivery","sha256","07f44561805ccf64dc882eb16969946335997d2a161b573f5b31e195339c125b","",1,1611651439,"","","","",""
"dc05b342-9e8b-464f-bdf3-ae05a58f7207",45041,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, version 1 (ARM), statically linked, no section header","",0,1611651439,"","","","",""
"11478f44-4119-4aa4-81b6-b51525b393ee",45041,"Network activity","url","http://5.189.168.116/lx/apep.arm5","",1,1611651439,"","","","",""
"671bfefe-34e8-48ea-936d-b9c6147a5107",45041,"Network activity","ip-dst","5.189.168.116","",1,1611651439,"","","","",""
"77544de0-379a-4dba-b0dc-343280f76787",45041,"External analysis","link","https://www.virustotal.com/gui/file/07f44561805ccf64dc882eb16969946335997d2a161b573f5b31e195339c125b/detection","",0,1611651439,"permalink","","30fab422-bfbb-4623-8c19-9bebc5cfa1d2","virustotal-report","misc"
"cd22965a-cab2-4c33-a78a-0d7643e85360",45041,"Other","datetime","2021-01-26T08:01:36.000000+0000","",0,1611651439,"last-submission","","30fab422-bfbb-4623-8c19-9bebc5cfa1d2","virustotal-report","misc"
"268c384e-8e51-468f-b478-d4a20bb9fa32",45041,"Other","text","21/62","",0,1611651439,"detection-ratio","","30fab422-bfbb-4623-8c19-9bebc5cfa1d2","virustotal-report","misc"

