uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"f680c5b2-5a70-47f9-a407-9830ba43b761",19403,"Payload delivery","filename","fw3.exe","",0,1657349704,"","","","",""
"f5d93d2d-f0a0-4940-a094-9c099427549f",19403,"Payload delivery","md5","f2b8510e94f469fcd31c7a29a71ed6dc","",1,1657349704,"","","","",""
"ff137382-91a3-4775-af9f-2f013f1261b0",19403,"Payload delivery","sha1","71198c293e0d062a4e4f2352c5fbe7086f00be49","",1,1657349704,"","","","",""
"5fd15d5a-fc79-417e-a951-809cf5fad208",19403,"Payload delivery","sha256","bc89c62067d445d93903abecb4de2a95b9e907eca3da27e6a8c364fab45de5c7","",1,1657349704,"","","","",""
"90e3a224-b0c7-411d-a2e4-11aca1a61e35",19403,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1657349704,"","","","",""
"ec4e520e-3ae6-4376-afa4-55cf968e8885",19403,"Payload delivery","imphash","074b3a3da0ad88b8f5e6b04e69ad9edd","",0,1657349704,"","","","",""
"867cabb3-9977-494d-8b1e-ee0ee24e1f54",19403,"Network activity","url","http://virutca.com/classified/fw3.exe","",1,1657349704,"","","","",""
"258274b2-b7a3-408a-af45-a37639c208be",19403,"Network activity","domain","virutca.com","",1,1657349704,"","","","",""
"e43d21a9-b4de-49c0-8bd6-ce5b44516397",19403,"Other","text",".text","",0,1657349705,"name","","d7ace2df-a820-4de2-9693-3374355404d1","pe-section","file"
"ac39c1c6-c388-40cc-861c-09dba2753858",19403,"Payload delivery","md5","8c48169d20ef3e6651b4509116f85c5e","",1,1657349705,"md5","","d7ace2df-a820-4de2-9693-3374355404d1","pe-section","file"
"9516a7d8-9bfe-4299-a9e0-ef1946ea5a42",19403,"Payload delivery","sha1","886138591c7ebdd0f010f2884d11db97d70b3dba","",1,1657349705,"sha1","","d7ace2df-a820-4de2-9693-3374355404d1","pe-section","file"
"6de27fb1-cc82-45e5-a084-dbfa18816fc9",19403,"Payload delivery","sha256","f89d5608da9ca380dc27ecb698e1dc3f5e15e050e2758fe12158df78b51d734e","",1,1657349705,"sha256","","d7ace2df-a820-4de2-9693-3374355404d1","pe-section","file"
"40c5e71d-ba1f-495a-95eb-153b45f0dc41",19403,"Other","size-in-bytes",53760,"",0,1657349705,"size-in-bytes","","d7ace2df-a820-4de2-9693-3374355404d1","pe-section","file"
"d9f27037-3aae-49bc-aa6b-814500f43fbf",19403,"Other","float",6.6428,"",0,1657349705,"entropy","","d7ace2df-a820-4de2-9693-3374355404d1","pe-section","file"
"33356cc6-b20e-4e59-a2a7-ee3412622a01",19403,"Other","text",".rdata","",0,1657349705,"name","","860694f9-4d59-4466-a726-eb286cb84bb3","pe-section","file"
"e544c90f-bd67-46be-9f6f-3ad24a6cb313",19403,"Payload delivery","md5","a69c8d26e23435da644acfb11b6373b6","",1,1657349705,"md5","","860694f9-4d59-4466-a726-eb286cb84bb3","pe-section","file"
"ad83f2ca-8b83-4899-adaf-659a3b1dd497",19403,"Payload delivery","sha1","2f2215b8ab11ec1cfa4ce1d89222cfb5266141e2","",1,1657349705,"sha1","","860694f9-4d59-4466-a726-eb286cb84bb3","pe-section","file"
"c581807f-26b9-4edc-8e3a-ebbb3a6e6368",19403,"Payload delivery","sha256","5dd212f203875a4c48448abe52a3446abae27dffabd886550f52300f2d507e74","",1,1657349705,"sha256","","860694f9-4d59-4466-a726-eb286cb84bb3","pe-section","file"
"51d84c87-9f81-4b7b-95dd-d555d1714e2b",19403,"Other","size-in-bytes",156160,"",0,1657349705,"size-in-bytes","","860694f9-4d59-4466-a726-eb286cb84bb3","pe-section","file"
"09a1a406-1610-407e-b890-f336e657f74c",19403,"Other","float",7.77042,"",0,1657349705,"entropy","","860694f9-4d59-4466-a726-eb286cb84bb3","pe-section","file"
"3ce4bd63-cc1f-42b2-840c-e0c65f8907a5",19403,"Other","text",".data","",0,1657349705,"name","","fc12d8c9-3078-4d1d-acb3-b978cf328b59","pe-section","file"
"69d73a69-e441-478b-b66d-f4b4958382dc",19403,"Payload delivery","md5","7dce3bb5a893589649349cc4049ec440","",1,1657349705,"md5","","fc12d8c9-3078-4d1d-acb3-b978cf328b59","pe-section","file"
"8d388bfc-91cf-4d8e-b9ab-15d1c1d8f7ba",19403,"Payload delivery","sha1","0fb14f1f24afe678cec30350ad22096ad6f0b997","",1,1657349705,"sha1","","fc12d8c9-3078-4d1d-acb3-b978cf328b59","pe-section","file"
"97e33f82-4b04-4479-9833-a0a4ff6f1c49",19403,"Payload delivery","sha256","077104568c3f5f799892873271a746755c95842a0ddae8fdb316be45b74f0eb1","",1,1657349705,"sha256","","fc12d8c9-3078-4d1d-acb3-b978cf328b59","pe-section","file"
"396300dd-4157-481c-b77a-4c8bf5936776",19403,"Other","size-in-bytes",2560,"",0,1657349705,"size-in-bytes","","fc12d8c9-3078-4d1d-acb3-b978cf328b59","pe-section","file"
"dc750d1c-3a9d-45f6-a120-33cf2882b099",19403,"Other","float",2.3568,"",0,1657349705,"entropy","","fc12d8c9-3078-4d1d-acb3-b978cf328b59","pe-section","file"
"b8f8a11b-e363-45d4-ae00-518e284b0b38",19403,"Other","text",".rsrc","",0,1657349706,"name","","9237956b-e8f7-4420-babd-21c47cae4c42","pe-section","file"
"bf6ce75e-6af0-4308-b092-0fa36cb814f0",19403,"Payload delivery","md5","d5cda79f75db9c13ea144db44d6f82eb","",1,1657349706,"md5","","9237956b-e8f7-4420-babd-21c47cae4c42","pe-section","file"
"090dcbcb-1b88-4436-919f-ebc87e71c58d",19403,"Payload delivery","sha1","9bf0317a7f11e304d05db16b51d981c3540a32d0","",1,1657349706,"sha1","","9237956b-e8f7-4420-babd-21c47cae4c42","pe-section","file"
"0ee8350e-48e5-4245-b537-8c400dd9f342",19403,"Payload delivery","sha256","41ed08b97e3c37b5967fe23d5cdb59f58725be0879df7af62c494ca3d2c2d434","",1,1657349706,"sha256","","9237956b-e8f7-4420-babd-21c47cae4c42","pe-section","file"
"58af8c40-d4e9-4e2d-816c-4f8dba862c7b",19403,"Other","size-in-bytes",512,"",0,1657349706,"size-in-bytes","","9237956b-e8f7-4420-babd-21c47cae4c42","pe-section","file"
"22e9f664-8ab7-4f8f-a490-9090d2c1abac",19403,"Other","float",4.7123,"",0,1657349706,"entropy","","9237956b-e8f7-4420-babd-21c47cae4c42","pe-section","file"
"72fcad20-28a7-4226-bc5f-924efda0ad64",19403,"Other","text",".reloc","",0,1657349706,"name","","d29bbfb8-f87c-4411-9694-ec870c2a685e","pe-section","file"
"f06715a8-24b8-40b7-bb75-be315962a35f",19403,"Payload delivery","md5","b250a1feeec2288949653996178982ef","",1,1657349706,"md5","","d29bbfb8-f87c-4411-9694-ec870c2a685e","pe-section","file"
"19a8958e-86aa-46b8-af77-156185106fc8",19403,"Payload delivery","sha1","d15eec1065d250c4684ceb4f2afe1a0508ef29ff","",1,1657349706,"sha1","","d29bbfb8-f87c-4411-9694-ec870c2a685e","pe-section","file"
"d82be767-f46f-4e48-ad21-410b627ff63b",19403,"Payload delivery","sha256","a927ba537dbb23ee5a356a34e87e9faaae3072eb92d8baccaaf9321442e2de71","",1,1657349706,"sha256","","d29bbfb8-f87c-4411-9694-ec870c2a685e","pe-section","file"
"47998b51-fa4e-404d-8388-8015fce70ef9",19403,"Other","size-in-bytes",4096,"",0,1657349706,"size-in-bytes","","d29bbfb8-f87c-4411-9694-ec870c2a685e","pe-section","file"
"f7e4742e-9582-4ff8-a510-7fd0c8811eda",19403,"Other","float",6.42175,"",0,1657349706,"entropy","","d29bbfb8-f87c-4411-9694-ec870c2a685e","pe-section","file"
"ec57532a-15d3-4b69-839e-45d13da06d0d",19403,"External analysis","link","https://www.virustotal.com/gui/file/bc89c62067d445d93903abecb4de2a95b9e907eca3da27e6a8c364fab45de5c7/detection","",0,1657349706,"permalink","","2c59bfcc-91e2-4fa1-95aa-f993d151e234","virustotal-report","misc"
"79b011c6-53b5-4e8f-85c2-8788619561c2",19403,"Other","datetime","2022-07-07T05:09:26.000000+0000","",0,1657349706,"last-submission","","2c59bfcc-91e2-4fa1-95aa-f993d151e234","virustotal-report","misc"
"ea8e67a5-c16c-449a-9415-7e141e7ef9df",19403,"Other","text","26/69","",0,1657349706,"detection-ratio","","2c59bfcc-91e2-4fa1-95aa-f993d151e234","virustotal-report","misc"

