uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"76145665-0145-4fcb-a508-ca9182fbe6bd",11666,"Payload delivery","filename","doxbin.spc","",0,1698357383,"","","","",""
"54dde20c-f454-46d3-9008-449134a20867",11666,"Payload delivery","md5","e73bfc59a73c41914781e994543becf0","",1,1698357383,"","","","",""
"f6872c11-663c-4e6d-be6b-32dca0ab37d8",11666,"Payload delivery","sha1","afa0f1c20243c2168e246fcb48c46794c7a51bb4","",1,1698357383,"","","","",""
"e355b4a2-d99e-4d10-9b0d-b1eeb728a612",11666,"Payload delivery","sha256","14d4dc1bedf5c64abb28fedcbd196ce8aca55fdf1e18449ddbb9afe1b694dedd","",1,1698357383,"","","","",""
"50baf555-58da-4b7d-8db8-99fdcce63209",11666,"Payload delivery","mime-type","application/x-executable","",0,1698357383,"","","","",""
"23f3ac59-2f79-46b7-b00b-0feac548ce69",11666,"Network activity","url","http://141.98.10.55/binz/doxbin.spc","",1,1698357383,"","","","",""
"42d91bb4-148e-4dbd-a3e3-e6c68d72b136",11666,"Network activity","ip-dst","141.98.10.55","",1,1698357383,"","","","",""
"698bc8ef-0b91-4522-b616-ee8f7e4fa60d",11666,"External analysis","link","https://www.virustotal.com/gui/file/14d4dc1bedf5c64abb28fedcbd196ce8aca55fdf1e18449ddbb9afe1b694dedd/detection","",0,1698357383,"permalink","","12117385-5d26-48a3-9b56-ac50c552dce7","virustotal-report","misc"
"92fdb30c-639a-4a1f-8a65-d0e3c5b15af9",11666,"Other","datetime","2023-10-25T07:33:03.000000+0000","",0,1698357383,"last-submission","","12117385-5d26-48a3-9b56-ac50c552dce7","virustotal-report","misc"
"4e3c7630-bfb4-4c13-a248-e6ced87541f1",11666,"Other","text","39/62","",0,1698357383,"detection-ratio","","12117385-5d26-48a3-9b56-ac50c552dce7","virustotal-report","misc"

