uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"4fc0f9c6-7f71-4a36-b3b2-eaceaac5870c",33691,"Payload delivery","filename","a-r.m-6.ISIS","",0,1677368408,"","","","",""
"8679e4ab-cbb7-4928-8eba-4c9666791f4a",33691,"Payload delivery","md5","62528c18992ea7a4d8f82f727f424952","",1,1677368408,"","","","",""
"95a735e6-2b33-4567-a550-48b7cda256af",33691,"Payload delivery","sha1","1561f5fd09e540cf1bcdff056d7ef4df5e60ee28","",1,1677368408,"","","","",""
"d6cfdedb-5377-4bc2-9177-6aa87141455f",33691,"Payload delivery","sha256","310e8bc6684701443291a9c951828f7098485e40c5cba18059a98f371553ba5c","",1,1677368408,"","","","",""
"0c9571f7-b550-43a5-99b5-4a0265186ede",33691,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, EABI4 version 1 (SYSV), statically linked, with debug_info, not stripped","",0,1677368408,"","","","",""
"1a7f3b43-ed18-43ba-be7d-7f8a83d5d6a6",33691,"Network activity","url","http://179.61.251.89/a-r.m-6.ISIS","",1,1677368408,"","","","",""
"e3b3c525-d96b-4eee-a17f-3ccd89625f85",33691,"Network activity","ip-dst","179.61.251.89","",1,1677368408,"","","","",""
"acd730d9-f08e-427e-8b51-78bfc82d97e6",33691,"External analysis","link","https://www.virustotal.com/gui/file/310e8bc6684701443291a9c951828f7098485e40c5cba18059a98f371553ba5c/detection","",0,1677368408,"permalink","","680f5220-9884-46a1-8629-92884e725e21","virustotal-report","misc"
"b108a9af-ac55-463f-8405-2aab7b4eea92",33691,"Other","datetime","2023-02-16T06:06:14.000000+0000","",0,1677368408,"last-submission","","680f5220-9884-46a1-8629-92884e725e21","virustotal-report","misc"
"79d81b43-5307-4d52-89c0-11801c7e6608",33691,"Other","text","37/56","",0,1677368408,"detection-ratio","","680f5220-9884-46a1-8629-92884e725e21","virustotal-report","misc"

