uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"edcda3d7-d2d5-473a-9e1e-42080a05751b",29641,"Payload delivery","filename","2-0_2022-12-03_04-24.exe","",0,1670039646,"","","","",""
"0ddc291e-d759-43a9-b097-b3213eaa0062",29641,"Payload delivery","md5","2a728aad63774f44138cde9309364816","",1,1670039646,"","","","",""
"0bb7ff0a-5928-49bd-a540-a7a4a4e1c4f3",29641,"Payload delivery","sha1","b42cee63571416e135793c4e2f69530809cf8865","",1,1670039646,"","","","",""
"b44dc86b-302f-4f05-b357-d20d2ec64e4f",29641,"Payload delivery","sha256","63bd78626bdc182ce8a281eb406bb08f5c3aed0ef766bb399e4e04c9fc3ebdac","",1,1670039646,"","","","",""
"883bd553-b9e9-4db4-a144-429f17657147",29641,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1670039646,"","","","",""
"6ae5f3b8-9e68-41a1-86e1-6e098c6f6ff6",29641,"Payload delivery","imphash","620e6f74b803df61a14fdd0777d3f37b","",0,1670039646,"","","","",""
"fa9fdb10-ba58-4e88-9883-b218f015ec0e",29641,"Network activity","url","https://transfer.sh/get/tL2Rqh/2-0_2022-12-03_04-24.exe","",1,1670039646,"","","","",""
"f010f7b6-637f-467d-aaef-0db45a658c63",29641,"Network activity","domain","transfer.sh","",1,1670039646,"","","","",""
"a4bf431e-d72f-4d8a-9d22-3619e0029ce9",29641,"Other","text",".text","",0,1670039646,"name","","974ace86-4c84-401f-a755-807e55115ca5","pe-section","file"
"6c5f7d60-6109-44c6-ba6c-33e3c5f8978e",29641,"Payload delivery","md5","c9d55e4b046ca63093c4ca1324cf08f2","",1,1670039646,"md5","","974ace86-4c84-401f-a755-807e55115ca5","pe-section","file"
"3d970fba-6c8a-4ea4-8b7a-d464e81e39f3",29641,"Payload delivery","sha1","c1eef1ca91c21cd99bd8f321918ce7150665129f","",1,1670039646,"sha1","","974ace86-4c84-401f-a755-807e55115ca5","pe-section","file"
"98bdc715-b34f-41da-82b8-a36ab8d5ba22",29641,"Payload delivery","sha256","15b0b2406013aab6a44cca0dc1f0c92a0141df2337d09ae5d61df32e50f4fc09","",1,1670039646,"sha256","","974ace86-4c84-401f-a755-807e55115ca5","pe-section","file"
"97efcccb-18cf-46f9-8051-00892606a968",29641,"Other","size-in-bytes",79360,"",0,1670039646,"size-in-bytes","","974ace86-4c84-401f-a755-807e55115ca5","pe-section","file"
"0f6f82f2-967c-425a-a058-8f83e2a5b45c",29641,"Other","float",6.74883,"",0,1670039646,"entropy","","974ace86-4c84-401f-a755-807e55115ca5","pe-section","file"
"36791993-d4d7-47c0-aabe-906df99b63a4",29641,"Other","text",".data","",0,1670039646,"name","","f50367ce-08eb-4048-92d5-8316f73ab997","pe-section","file"
"2f04d115-4c63-40cb-a994-15752315b3a4",29641,"Payload delivery","md5","022db90babcbd159ade2683e456e8dea","",1,1670039646,"md5","","f50367ce-08eb-4048-92d5-8316f73ab997","pe-section","file"
"c0f510e2-2c4e-463f-89a2-191bb1ec03d4",29641,"Payload delivery","sha1","1d49e40cc1ad7bcb99a9fd1c5d964b83f7f4a461","",1,1670039646,"sha1","","f50367ce-08eb-4048-92d5-8316f73ab997","pe-section","file"
"6f3dcc36-bb6b-4f9b-bd70-9c609f26ab46",29641,"Payload delivery","sha256","8af46361ce6a05407ec849903b0fe9de9a7aa354aba91df81216efb6aa7051b5","",1,1670039646,"sha256","","f50367ce-08eb-4048-92d5-8316f73ab997","pe-section","file"
"a55c82ce-1db0-4746-ae5b-41bad09e76e3",29641,"Other","size-in-bytes",176640,"",0,1670039646,"size-in-bytes","","f50367ce-08eb-4048-92d5-8316f73ab997","pe-section","file"
"62878ba8-fd5f-47d6-9dfc-13707531d375",29641,"Other","float",4.84049,"",0,1670039646,"entropy","","f50367ce-08eb-4048-92d5-8316f73ab997","pe-section","file"
"99a7f0c5-bb60-46b7-9afc-a3fad3697d44",29641,"Other","text",".kota","",0,1670039647,"name","","efb6b69b-bb3d-4624-8735-fa06e6702a62","pe-section","file"
"56464641-6a8c-4fa8-a481-89c6bcb08caa",29641,"Payload delivery","md5","d2a70550489de356a2cd6bfc40711204","",1,1670039647,"md5","","efb6b69b-bb3d-4624-8735-fa06e6702a62","pe-section","file"
"cff1e199-0cfd-4457-a26e-0ae0d5409a65",29641,"Payload delivery","sha1","02ec1f60b2e76741dd9848ac432057ff9d58d750","",1,1670039647,"sha1","","efb6b69b-bb3d-4624-8735-fa06e6702a62","pe-section","file"
"ab66dbf6-ab14-429d-952f-2da3ab3a008f",29641,"Payload delivery","sha256","e80232b4d18d0bb7e794be263ba937626f383f9917d4b8a737ba893a8f752293","",1,1670039647,"sha256","","efb6b69b-bb3d-4624-8735-fa06e6702a62","pe-section","file"
"3a7bd83b-2507-4b53-b186-a5eabdaddec7",29641,"Other","size-in-bytes",3072,"",0,1670039647,"size-in-bytes","","efb6b69b-bb3d-4624-8735-fa06e6702a62","pe-section","file"
"d0544a21-8f74-44c3-bb47-a2112207a967",29641,"Other","float",0,"",0,1670039647,"entropy","","efb6b69b-bb3d-4624-8735-fa06e6702a62","pe-section","file"
"5095dd25-4b47-4e99-a79d-8b9b3465d5c3",29641,"Other","text",".rsrc","",0,1670039647,"name","","8ac5da66-cb0e-4ab2-933b-e5b7d88ef757","pe-section","file"
"33d45c66-1b50-4322-bbef-b8e00df49d9d",29641,"Payload delivery","md5","02e762f3f19680007ca2b362463ce647","",1,1670039647,"md5","","8ac5da66-cb0e-4ab2-933b-e5b7d88ef757","pe-section","file"
"8369fb5f-6ff9-48c8-bfae-6920d03de11c",29641,"Payload delivery","sha1","7ca89f20920e0d207c1dc71c878d0ee35bd16f4f","",1,1670039647,"sha1","","8ac5da66-cb0e-4ab2-933b-e5b7d88ef757","pe-section","file"
"4bf5bf74-91cb-45fb-8bd3-769e5243ad52",29641,"Payload delivery","sha256","9a2f6e2ad0eb9c11f7caada8f2c199f1c358a446cfd5daa3db92976248929d70","",1,1670039647,"sha256","","8ac5da66-cb0e-4ab2-933b-e5b7d88ef757","pe-section","file"
"12676659-fdaa-40a2-bea8-c7841f8c8992",29641,"Other","size-in-bytes",92160,"",0,1670039647,"size-in-bytes","","8ac5da66-cb0e-4ab2-933b-e5b7d88ef757","pe-section","file"
"13ee6ae0-645e-43f7-aec9-ec874bab8ff3",29641,"Other","float",6.3612,"",0,1670039647,"entropy","","8ac5da66-cb0e-4ab2-933b-e5b7d88ef757","pe-section","file"
"4a917661-0f1c-4065-ba01-72b63a3fbef7",29641,"Other","text",".reloc","",0,1670039647,"name","","995006e7-bc4a-4317-93c9-aaf929cfa030","pe-section","file"
"8932d0af-bd3b-448f-86d8-3abd948cc4b1",29641,"Payload delivery","md5","c3ea7f531055cd2b91e42ca648b53550","",1,1670039647,"md5","","995006e7-bc4a-4317-93c9-aaf929cfa030","pe-section","file"
"45b776bc-e98b-40f2-b342-a26e1e30857a",29641,"Payload delivery","sha1","be647684d7d27cf3655c0f502e9b795e1be673ee","",1,1670039647,"sha1","","995006e7-bc4a-4317-93c9-aaf929cfa030","pe-section","file"
"947213be-6710-4639-9c7e-912dbbb23267",29641,"Payload delivery","sha256","19e6481ebb419ed456eec08b87b3924157557a0ec50cfc70ff9d9a1b7dfcb209","",1,1670039647,"sha256","","995006e7-bc4a-4317-93c9-aaf929cfa030","pe-section","file"
"d0c6bd5b-399f-4272-be19-15d495d10c0b",29641,"Other","size-in-bytes",6656,"",0,1670039647,"size-in-bytes","","995006e7-bc4a-4317-93c9-aaf929cfa030","pe-section","file"
"4b0a3316-6b13-403a-9a3c-6729146b1dc9",29641,"Other","float",3.94981,"",0,1670039647,"entropy","","995006e7-bc4a-4317-93c9-aaf929cfa030","pe-section","file"

