uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"73dd6be1-fac2-4dad-8976-cacb47bbdcaf",31835,"Payload delivery","filename","cutie.sh4","",0,1674057963,"","","","",""
"ee660ac3-b28d-4935-a1b1-60df96d1886d",31835,"Payload delivery","md5","4798524445cf8a7f3910571c00841f72","",1,1674057963,"","","","",""
"36d3cc19-fd42-4737-b2a3-874906f0ce1c",31835,"Payload delivery","sha1","1d9aedddf97757b6d71545b6a2d7a0534ea88f17","",1,1674057963,"","","","",""
"82a2bfca-b8c8-4fc4-b204-69449c787b50",31835,"Payload delivery","sha256","d8d342f46c84d575242e1ef5ecf806d4b9d19d2491238a5462d2fe025ff37813","",1,1674057963,"","","","",""
"aa64a6d6-1817-4240-9823-14eeac66835b",31835,"Payload delivery","mime-type","ELF 32-bit LSB executable, Renesas SH, version 1 (SYSV), statically linked, stripped","",0,1674057963,"","","","",""
"1ad9a9a4-6f05-440c-93be-a1368e6cafc3",31835,"Network activity","url","http://195.133.40.29/pedalcheta/cutie.sh4","",1,1674057963,"","","","",""
"70029b68-9b5b-4586-ba33-3490ae71ffa6",31835,"Network activity","ip-dst","195.133.40.29","",1,1674057963,"","","","",""
"9eb8d8e6-5c94-4981-a953-e5e50d0d43c3",31835,"External analysis","link","https://www.virustotal.com/gui/file/d8d342f46c84d575242e1ef5ecf806d4b9d19d2491238a5462d2fe025ff37813/detection","",0,1674057964,"permalink","","3a3bc428-161f-4b47-b0d9-268dc403de18","virustotal-report","misc"
"588aae16-77b5-4bea-b293-adfcc2576ab5",31835,"Other","datetime","2023-01-18T15:49:53.000000+0000","",0,1674057964,"last-submission","","3a3bc428-161f-4b47-b0d9-268dc403de18","virustotal-report","misc"
"7fb0337f-ec63-478f-8e0f-db102c87d239",31835,"Other","text","27/60","",0,1674057964,"detection-ratio","","3a3bc428-161f-4b47-b0d9-268dc403de18","virustotal-report","misc"

