uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"fcc82728-0b56-4d18-8d33-1a9f6e264597",3648,"Payload delivery","filename","0xh0roxxnavebusyoo.i486","",0,1716151863,"","","","",""
"bf966206-b9af-4249-abcd-33556046213f",3648,"Payload delivery","md5","45c29fac79d18dceed815d40f6288848","",1,1716151863,"","","","",""
"821cb1c6-c8eb-4e0c-9531-2282cfeda6e2",3648,"Payload delivery","sha1","b0114f9824276a7f15e798d7d93887ead9946ae1","",1,1716151863,"","","","",""
"24fd83ed-abbf-4748-8081-e6a1ac53630f",3648,"Payload delivery","sha256","45880024d24910b2f92e76212c4354ac3abae3ff6eda5c8c03cb250d2d980286","",1,1716151863,"","","","",""
"a8a68103-2369-4d20-8a9f-2607251599d0",3648,"Payload delivery","mime-type","application/x-executable","",0,1716151863,"","","","",""
"72566267-c5a6-44bc-aab2-9be16b722085",3648,"Network activity","url","http://oepz3iov3ycdiu7lnsrnpe9i2yxdl1ng6760527951839536392332869280909.one/f2q2kke5aadloo4aasdjjjfirbmw/0xh0roxxnavebusyoo.i486","",1,1716151863,"","","","",""
"23009127-f64e-492a-b305-be1864e65bb2",3648,"Network activity","domain","oepz3iov3ycdiu7lnsrnpe9i2yxdl1ng6760527951839536392332869280909.one","",1,1716151863,"","","","",""
"81c8ff9d-a694-433a-9fca-dfae5179b8e0",3648,"External analysis","link","https://www.virustotal.com/gui/file/45880024d24910b2f92e76212c4354ac3abae3ff6eda5c8c03cb250d2d980286/detection","",0,1716151864,"permalink","","105e4dcd-57e2-4888-b5c2-01bbdc9d05f7","virustotal-report","misc"
"c131c47f-daf5-40e2-9ffe-70ef0b93c0a0",3648,"Other","datetime","2024-05-19T20:01:08.000000+0000","",0,1716151864,"last-submission","","105e4dcd-57e2-4888-b5c2-01bbdc9d05f7","virustotal-report","misc"
"3342fdb0-8ccc-4050-9f49-e2379ac858d1",3648,"Other","text","42/66","",0,1716151864,"detection-ratio","","105e4dcd-57e2-4888-b5c2-01bbdc9d05f7","virustotal-report","misc"

