uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"cb06a66f-7053-4b98-9c6e-6a8f4eadcd09",19086,"Payload delivery","filename",5,"",0,1710238452,"","","","",""
"f0578c71-c513-407e-b98d-ddb6e84cfb92",19086,"Payload delivery","md5","02d41aa95dabc56ee4ba74aec95e54e5","",1,1710238452,"","","","",""
"7ebadfbc-8b46-4a05-935c-ac19c47cd08f",19086,"Payload delivery","sha1","11e4d5c1fd06926a1254bbb40ff0509b0ce4e1fc","",1,1710238452,"","","","",""
"80a807c2-6231-40cc-8dff-927ae0207753",19086,"Payload delivery","sha256","7ad9623c6f8dc291523e606284d5313030f8d869b8e18b80a917ba2995335a95","",1,1710238452,"","","","",""
"ae3e9619-07d6-4767-a0f8-0b7fa3c13795",19086,"Payload delivery","mime-type","application/x-dosexec","",0,1710238452,"","","","",""
"a1b35e3b-ee53-4dc2-97ac-aa2ef79ed7ee",19086,"Payload delivery","imphash","606435991ad7a726f5027386af3a3f17","",0,1710238452,"","","","",""
"7fec91bd-47f6-4a09-aec3-1b61b923edda",19086,"Network activity","url","http://91.92.254.233/5","",1,1710238452,"","","","",""
"794b822f-d77d-405a-b9ee-18a29d8d2274",19086,"Network activity","ip-dst","91.92.254.233","",1,1710238452,"","","","",""
"34da968c-6a13-4f2c-bfc4-83601425ab88",19086,"Network activity","url","http://94.156.69.180/5","",1,1710238804,"","","","",""
"afa65ef9-f6c4-449d-ab01-5f5ff1040ec7",19086,"Network activity","ip-dst","94.156.69.180","",1,1710238804,"","","","",""
"ac1d6886-4b76-4012-b851-9cc43f126de0",19086,"Network activity","url","http://94.156.69.176/5","",1,1710239104,"","","","",""
"4ab646c5-ede6-439c-a023-e7331d82316b",19086,"Network activity","ip-dst","94.156.69.176","",1,1710239104,"","","","",""
"54b2dbe3-a3e5-417f-8f4a-51572ff7068b",19086,"Other","text",".text","",0,1710238453,"name","","c614685c-2bc9-45f7-a410-b0de97d99b7f","pe-section","file"
"6e886e53-8685-485d-a7f2-b01fa50824cb",19086,"Payload delivery","md5","731573e9428944b7486aaccda7597e62","",1,1710238453,"md5","","c614685c-2bc9-45f7-a410-b0de97d99b7f","pe-section","file"
"37548889-5835-47b1-8f53-564f6c49e392",19086,"Payload delivery","sha1","4816c88b31fddfa044cbc2e963312c83a846c179","",1,1710238453,"sha1","","c614685c-2bc9-45f7-a410-b0de97d99b7f","pe-section","file"
"fce2eeea-39c5-4960-b9fe-5e846f3c1f46",19086,"Payload delivery","sha256","65f42fa08fd8b3a1ddfcd9136521c7b7df443b6e7fece3d903af298fbdcf1766","",1,1710238453,"sha256","","c614685c-2bc9-45f7-a410-b0de97d99b7f","pe-section","file"
"115d00f3-c179-4dff-a35c-ee7b6eb07c2e",19086,"Other","size-in-bytes",220672,"",0,1710238453,"size-in-bytes","","c614685c-2bc9-45f7-a410-b0de97d99b7f","pe-section","file"
"8595734a-d2bd-4940-a6c2-f30151af3c6e",19086,"Other","float",6.67039,"",0,1710238453,"entropy","","c614685c-2bc9-45f7-a410-b0de97d99b7f","pe-section","file"
"bd3bdf87-b9f8-46e4-8000-e690f7b07f0e",19086,"Other","text",".rdata","",0,1710238453,"name","","a75d8ed6-c78f-4cce-b190-fa79f2ef4069","pe-section","file"
"d15691d3-0b2d-4d4e-a614-3589a651742b",19086,"Payload delivery","md5","0032ba348c8cb594a503041dd052f29b","",1,1710238453,"md5","","a75d8ed6-c78f-4cce-b190-fa79f2ef4069","pe-section","file"
"75aa6814-7c98-4409-beb4-8b9dae60fd7e",19086,"Payload delivery","sha1","5bb3af302ce9d00be6fa51445c430b5643142ffd","",1,1710238453,"sha1","","a75d8ed6-c78f-4cce-b190-fa79f2ef4069","pe-section","file"
"aa0b5912-acc5-4a9f-be79-52fd01ca61ca",19086,"Payload delivery","sha256","e8c340ecc11a4d78c1926d03a1caa14abfbfaa4f36288a2cbed66b24437bfad0","",1,1710238453,"sha256","","a75d8ed6-c78f-4cce-b190-fa79f2ef4069","pe-section","file"
"8bf97969-ee8f-4dd4-9040-e8199dd203d7",19086,"Other","size-in-bytes",62464,"",0,1710238453,"size-in-bytes","","a75d8ed6-c78f-4cce-b190-fa79f2ef4069","pe-section","file"
"484d8989-76f2-4211-8e06-be82529507a6",19086,"Other","float",5.55854,"",0,1710238453,"entropy","","a75d8ed6-c78f-4cce-b190-fa79f2ef4069","pe-section","file"
"02e4febf-aa17-4e50-b4a7-ecf5cf86ec84",19086,"Other","text",".data","",0,1710238454,"name","","e9ed5e3c-f9a0-4bfb-8a7a-9bc1cd34d7e0","pe-section","file"
"d8ad7d24-a33d-4a6d-afd5-93bb74708066",19086,"Payload delivery","md5","1ad89faaaeb0830fa2a57b46bc057c9b","",1,1710238454,"md5","","e9ed5e3c-f9a0-4bfb-8a7a-9bc1cd34d7e0","pe-section","file"
"9cabcc27-1404-4cca-8b62-ac44ca08f2f1",19086,"Payload delivery","sha1","31220448b3390e14be64ddad41dce6737cb63693","",1,1710238454,"sha1","","e9ed5e3c-f9a0-4bfb-8a7a-9bc1cd34d7e0","pe-section","file"
"7fcd2a71-d532-4766-8610-f48937bd051f",19086,"Payload delivery","sha256","a2f8f06a7600b3cb21f68f723b5fd2d778c9e9688ed323847edacf94edd7a020","",1,1710238454,"sha256","","e9ed5e3c-f9a0-4bfb-8a7a-9bc1cd34d7e0","pe-section","file"
"9090daf3-7c72-44ee-97ed-4cdd563577c2",19086,"Other","size-in-bytes",5120,"",0,1710238454,"size-in-bytes","","e9ed5e3c-f9a0-4bfb-8a7a-9bc1cd34d7e0","pe-section","file"
"57a59cd2-3adf-4d98-bd0f-448d3ce2d7c4",19086,"Other","float",3.34749,"",0,1710238454,"entropy","","e9ed5e3c-f9a0-4bfb-8a7a-9bc1cd34d7e0","pe-section","file"
"146e13f1-8d0d-4f21-af19-01598afdd4fd",19086,"Other","text",".reloc","",0,1710238454,"name","","d13e7649-1eff-4687-8ec9-4421fe103817","pe-section","file"
"d99ef862-2002-4a48-8524-8212e310e9d1",19086,"Payload delivery","md5","ed304bb3e2077c1a07f7ce36a1643b60","",1,1710238454,"md5","","d13e7649-1eff-4687-8ec9-4421fe103817","pe-section","file"
"455b4e89-6ea9-4fa4-9939-f32690d2ee37",19086,"Payload delivery","sha1","bb3e70e14ec59546282c1448b68ce16a973e41b3","",1,1710238454,"sha1","","d13e7649-1eff-4687-8ec9-4421fe103817","pe-section","file"
"51464ea1-2c93-46d2-b636-db6329c97247",19086,"Payload delivery","sha256","f8c03540305142feb4466af8b7ac17f16ec82a907710f15f424b5957cef0ee72","",1,1710238454,"sha256","","d13e7649-1eff-4687-8ec9-4421fe103817","pe-section","file"
"c9e8d83c-dabd-475f-8d6b-aedbde65cd25",19086,"Other","size-in-bytes",9728,"",0,1710238454,"size-in-bytes","","d13e7649-1eff-4687-8ec9-4421fe103817","pe-section","file"
"09874f81-cc26-4559-b19b-c530c8e04eaf",19086,"Other","float",6.55363,"",0,1710238454,"entropy","","d13e7649-1eff-4687-8ec9-4421fe103817","pe-section","file"

