uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"970ec360-6e6d-4e66-a538-bc43bb151d38",21997,"Payload delivery","filename","7400o9dudttc.exe","",0,1595376352,"","","","",""
"fcaf0c9e-3c2b-42b5-94d2-7810afe4dd0d",21997,"Payload delivery","md5","d05cf3384f744fb7c58189efe60075a6","",1,1595376352,"","","","",""
"96a80e76-adf4-4107-928b-82d2883caa7c",21997,"Payload delivery","sha1","6d6b04c9bb704d4c4bcbc150c06e455b55dcbc37","",1,1595376352,"","","","",""
"e4cffaf3-5e32-43c0-8eee-51a9bfc2928a",21997,"Payload delivery","sha256","a52e3b2dc0b26c386fa95773784329b129b8b39dea11ab31cd75abacfcfd6a2b","",1,1595376352,"","","","",""
"e41f106b-c171-4b45-96e1-14fcebb19eff",21997,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1595376352,"","","","",""
"1979fe8e-444a-4676-a67e-75acf51a363d",21997,"Payload delivery","imphash","eac14a3b805ec7ce3f4759f2fcfb40c4","",0,1595376352,"","","","",""
"a75b92eb-240b-4028-93c5-12987f8222ef",21997,"Network activity","url","http://afboxmarket.com/antoniostart/7400o9dudttc.exe","",1,1595376352,"","","","",""
"cb4f7433-21b3-49e7-8755-6fdb24ebef49",21997,"Network activity","domain","afboxmarket.com","",1,1595376352,"","","","",""
"76462bce-c3a8-477c-a29e-5776c365f1ca",21997,"Other","text",".text","",0,1595376353,"name","","a5e58196-c7dd-4530-8531-6c5d168ba895","pe-section","file"
"5d72e43e-d27f-4f89-8df1-e5b09ea0d573",21997,"Payload delivery","md5","18d1c999ff9eeb48fe10b97b268a37f4","",1,1595376353,"md5","","a5e58196-c7dd-4530-8531-6c5d168ba895","pe-section","file"
"52ece1ef-3a9c-4507-81b0-391cdf353dfb",21997,"Payload delivery","sha1","14d69e357ab2dda2d1aecbefd7b20ba4a08f7323","",1,1595376353,"sha1","","a5e58196-c7dd-4530-8531-6c5d168ba895","pe-section","file"
"eda1c656-ce9f-4a79-8949-b1930211b04b",21997,"Payload delivery","sha256","fab63e9393370c1e95e856b74ea246265da8a2c0a3af7e768cdd4525b748de06","",1,1595376353,"sha256","","a5e58196-c7dd-4530-8531-6c5d168ba895","pe-section","file"
"0a9e849a-0bdc-4582-a795-a1f975e885a2",21997,"Other","size-in-bytes",245760,"",0,1595376353,"size-in-bytes","","a5e58196-c7dd-4530-8531-6c5d168ba895","pe-section","file"
"2aa87d54-2bde-4f50-8707-3392a11c6de8",21997,"Other","float",6.81164,"",0,1595376353,"entropy","","a5e58196-c7dd-4530-8531-6c5d168ba895","pe-section","file"
"7b0ba9e2-b507-48c0-9ee5-95fb0b86aff9",21997,"Other","text",".data","",0,1595376353,"name","","451d71e7-664d-4def-a742-0596fefc3c3f","pe-section","file"
"403ac381-4202-4e1f-be29-44180914ec83",21997,"Payload delivery","md5","620f0b67a91f7f74151bc5be745b7110","",1,1595376353,"md5","","451d71e7-664d-4def-a742-0596fefc3c3f","pe-section","file"
"59db9ac1-c100-4578-b11e-e9d70719caf8",21997,"Payload delivery","sha1","1ceaf73df40e531df3bfb26b4fb7cd95fb7bff1d","",1,1595376353,"sha1","","451d71e7-664d-4def-a742-0596fefc3c3f","pe-section","file"
"770059b7-38ea-4cf6-a0f5-aad691e7f076",21997,"Payload delivery","sha256","ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7","",1,1595376353,"sha256","","451d71e7-664d-4def-a742-0596fefc3c3f","pe-section","file"
"7be08d63-a5da-4f6d-8164-edf25517ee25",21997,"Other","size-in-bytes",4096,"",0,1595376353,"size-in-bytes","","451d71e7-664d-4def-a742-0596fefc3c3f","pe-section","file"
