uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"b4c607ff-798f-4012-891c-d02110a67c0c",59263,"Payload delivery","filename","KiffApp1.exe","",0,1627687629,"","","","",""
"c322dd8f-9891-4344-9804-17488155b04c",59263,"Payload delivery","md5","5bff83844d2b08ee169f2ad76cd5957b","",1,1627687629,"","","","",""
"e76e84bb-4e3e-43b3-8e8f-b53f7767a693",59263,"Payload delivery","sha1","84f97a7697fe63196d6c993c493a2b58766a6986","",1,1627687629,"","","","",""
"416d5893-6e78-4a75-85da-10e4b7944306",59263,"Payload delivery","sha256","071a2916bfc5cc49bd2af982841523dd0cebd9623797377f8fd50dcb740438e1","",1,1627687629,"","","","",""
"0789e1f7-e7a4-4b6d-bcc7-881a9be7af64",59263,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386 Mono/.Net assembly, for MS Windows","",0,1627687629,"","","","",""
"a91aefb9-3794-4d43-ba2c-55e26cea449f",59263,"Payload delivery","imphash","f34d5f2d4577ed6d9ceec516c1f5a744","",0,1627687629,"","","","",""
"5e07c70e-e087-403e-97d3-7593dc040a13",59263,"Network activity","url","https://kiff.store/builds/KiffApp1.exe","",1,1627687629,"","","","",""
"41dc9b59-20e3-4fa4-ada6-4cfa524f9607",59263,"Network activity","domain","kiff.store","",1,1627687629,"","","","",""
"b7c98663-1356-43a8-acf7-903761b277d3",59263,"Other","text",".text","",0,1627687630,"name","","baf44af2-fd69-483b-8b84-261d4071d0ca","pe-section","file"
"4c372027-0660-4b75-844b-0608bb4b456f",59263,"Payload delivery","md5","05f91c4b7433de4143a35349ee29490c","",1,1627687630,"md5","","baf44af2-fd69-483b-8b84-261d4071d0ca","pe-section","file"
"89328068-8afa-4df5-a848-2a582f26dbb1",59263,"Payload delivery","sha1","1bd84f584758070dd7191dc67f2e8eb6aa601d08","",1,1627687630,"sha1","","baf44af2-fd69-483b-8b84-261d4071d0ca","pe-section","file"
"ccba09bd-9e54-4a2d-b039-963a22a9144b",59263,"Payload delivery","sha256","0db077ea381b1a1a74f640fdbe6322b04e6c97fbc0508d10f781aded8f2c1cf8","",1,1627687630,"sha256","","baf44af2-fd69-483b-8b84-261d4071d0ca","pe-section","file"
"91127b0a-6271-459c-9247-5f0437b732b4",59263,"Other","size-in-bytes",71680,"",0,1627687630,"size-in-bytes","","baf44af2-fd69-483b-8b84-261d4071d0ca","pe-section","file"
"348929fd-7ba3-44a5-abc8-1c6e6208bb73",59263,"Other","float",6.88461,"",0,1627687630,"entropy","","baf44af2-fd69-483b-8b84-261d4071d0ca","pe-section","file"
"9efba049-013a-4377-bb2b-0ea63c332b2a",59263,"Other","text",".rsrc","",0,1627687630,"name","","e9a76641-37f5-421c-9336-65e83b260643","pe-section","file"
"0b8c1907-1f46-4e69-98d1-438ad21ee8a1",59263,"Payload delivery","md5","f9a001cc14397c0c2959d2d70c330549","",1,1627687630,"md5","","e9a76641-37f5-421c-9336-65e83b260643","pe-section","file"
"ff31f562-afea-42e9-aad8-daaca92f1a64",59263,"Payload delivery","sha1","c6c40e836556b17d291675468ec94b3f7ceb2c6b","",1,1627687630,"sha1","","e9a76641-37f5-421c-9336-65e83b260643","pe-section","file"
"6b083a3d-3473-4558-b130-2a9e2f0d6cb2",59263,"Payload delivery","sha256","493483150ed25bacce337886aa037c60ea4fc79a4302220763e06747dba61ae1","",1,1627687630,"sha256","","e9a76641-37f5-421c-9336-65e83b260643","pe-section","file"
"93cfc01c-53a5-405b-a666-ade62d8418db",59263,"Other","size-in-bytes",12288,"",0,1627687630,"size-in-bytes","","e9a76641-37f5-421c-9336-65e83b260643","pe-section","file"
"276b1feb-ccc6-41a7-b21b-98d340053312",59263,"Other","float",1.71935,"",0,1627687630,"entropy","","e9a76641-37f5-421c-9336-65e83b260643","pe-section","file"
"0da0f51b-455b-4c02-a354-dff52dd703b2",59263,"Other","text",".reloc","",0,1627687631,"name","","b8ed589a-b4b0-4d9b-9edd-8dc9317d1071","pe-section","file"
"5f2c1f36-e125-42ca-b515-fe5944843e15",59263,"Payload delivery","md5","b8efbf5c553434b3861e1d3299eeedf9","",1,1627687631,"md5","","b8ed589a-b4b0-4d9b-9edd-8dc9317d1071","pe-section","file"
"f41abc66-df3d-4c23-8631-2177780a4530",59263,"Payload delivery","sha1","7de9cd09fc7dfe5ad0928779c8f059c21fef9cd4","",1,1627687631,"sha1","","b8ed589a-b4b0-4d9b-9edd-8dc9317d1071","pe-section","file"
"bee830c0-6562-4e33-a573-0c46be35f856",59263,"Payload delivery","sha256","2d9e731127b02d3e1f4b41798657aeb959cdef8bcfff89a35fe022c61fac3e3b","",1,1627687631,"sha256","","b8ed589a-b4b0-4d9b-9edd-8dc9317d1071","pe-section","file"
"3672e9f8-7d6a-4768-8f0d-219d9181d4a9",59263,"Other","size-in-bytes",512,"",0,1627687631,"size-in-bytes","","b8ed589a-b4b0-4d9b-9edd-8dc9317d1071","pe-section","file"
"66557a27-2feb-4147-b81e-2a67c6ef48e4",59263,"Other","float",0.10191,"",0,1627687631,"entropy","","b8ed589a-b4b0-4d9b-9edd-8dc9317d1071","pe-section","file"
"b0d9f95a-a3c5-46a3-b77a-62d47a0e0e0f",59263,"External analysis","link","https://www.virustotal.com/gui/file/071a2916bfc5cc49bd2af982841523dd0cebd9623797377f8fd50dcb740438e1/detection","",0,1627687631,"permalink","","972bd33d-7c7c-4d61-a28a-12a8a21962a5","virustotal-report","misc"
"56910a74-63c8-45ba-a07a-ce7143aedd15",59263,"Other","datetime","2021-07-30T21:06:10.000000+0000","",0,1627687631,"last-submission","","972bd33d-7c7c-4d61-a28a-12a8a21962a5","virustotal-report","misc"
"9d37124c-8520-41da-99bd-936df532309f",59263,"Other","text","7/69","",0,1627687631,"detection-ratio","","972bd33d-7c7c-4d61-a28a-12a8a21962a5","virustotal-report","misc"

