uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"4545c589-91c4-4ed2-a04a-8cbf3822f626",19119,"Payload delivery","filename","arm4","",0,1710247805,"","","","",""
"4402a48a-f0d4-494c-a7b7-a2f8b68fafb0",19119,"Payload delivery","md5","498708c26b65e9d66364a84f4f63798d","",1,1710247805,"","","","",""
"29b93c05-116a-4185-a43e-f142470435fc",19119,"Payload delivery","sha1","d601ad82d9de31c67ecd50862693e599ac4ae8af","",1,1710247805,"","","","",""
"d8600fa0-9ac9-4ffc-b910-6ca04fedc528",19119,"Payload delivery","sha256","611840f286992698e05e1c01e1eb5c8207d8fc816f895f73fbcdee25b8f7f328","",1,1710247805,"","","","",""
"a99b261f-343a-4e68-9427-11ed53439145",19119,"Payload delivery","mime-type","application/x-executable","",0,1710247805,"","","","",""
"0f7a310c-2d65-4eaa-8e72-9f0e1838e9e9",19119,"Network activity","url","http://45.14.244.89/arm4","",1,1710247805,"","","","",""
"b694e138-d07b-4889-93bb-a68f92541ee2",19119,"Network activity","ip-dst","45.14.244.89","",1,1710247805,"","","","",""
"7d4f032c-a249-4aee-967c-fe536507f6a0",19119,"Payload delivery","filename","arm4?ddos","",0,1710248163,"","","","",""
"078cc41a-6c09-48fa-bd4c-4492584e14b5",19119,"Network activity","url","http://45.14.245.157/arm4","",1,1711320303,"","","","",""
"0bf4ef4b-e960-4ebc-9ba4-48e427bc6f67",19119,"Network activity","ip-dst","45.14.245.157","",1,1711320303,"","","","",""
"481a47d6-9647-41b6-8b55-90ccf8b61e66",19119,"Network activity","url","http://95.164.23.111/arm4","",1,1711455542,"","","","",""
"20b4eec8-b154-4ed1-84ba-93799a2cbc05",19119,"Network activity","ip-dst","95.164.23.111","",1,1711455542,"","","","",""

