uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"10e4183a-4897-4cf3-ad9b-8edac23c5425",59630,"Payload delivery","filename","file1.exe","",0,1629471062,"","","","",""
"14cb0ae5-1095-4081-9a09-7c8eb575c256",59630,"Payload delivery","md5","fb05824f223c928ba39e91fe17364438","",1,1629471062,"","","","",""
"641deedc-bce8-4821-b2f8-0ee0028c31a3",59630,"Payload delivery","sha1","88c1f712f00ab3bb533b2e9e3c778f50e2147204","",1,1629471062,"","","","",""
"dfa664cd-d213-40a0-80bf-fcf9e22e12fd",59630,"Payload delivery","sha256","fad0ca06bacf9f247ac03d9366abd3ac41415e56af0ea16bdff70f6ca77ed41a","",1,1629471062,"","","","",""
"6239a867-d365-460f-801a-b5db16c44149",59630,"Payload delivery","mime-type","PE32 executable (console) Intel 80386 Mono/.Net assembly, for MS Windows","",0,1629471062,"","","","",""
"e3307a86-1325-41ae-aaef-c888b05e7b6f",59630,"Payload delivery","imphash","f34d5f2d4577ed6d9ceec516c1f5a744","",0,1629471062,"","","","",""
"159d7619-d9d8-4dbe-9575-8a229fc37576",59630,"Network activity","url","http://37.0.10.214/WW/file1.exe","",1,1629471062,"","","","",""
"a6b3116a-903a-48ec-828a-33a55ac22540",59630,"Network activity","ip-dst","37.0.10.214","",1,1629471062,"","","","",""
"60aacf17-8989-4fae-84ab-21794da3cdc9",59630,"Other","text",".text","",0,1629471063,"name","","bacaa98c-8a9e-4923-b84c-40175cefc4a2","pe-section","file"
"60f1985f-ecad-4580-8a3a-e2b2359899ac",59630,"Payload delivery","md5","7e150c9f62f01a91f7ff3dcc5f9323c4","",1,1629471063,"md5","","bacaa98c-8a9e-4923-b84c-40175cefc4a2","pe-section","file"
"5987eae3-d458-485c-ac46-201102b92e8c",59630,"Payload delivery","sha1","fc05dddbc6decdbaf61c35228a5a5045cefdddd6","",1,1629471063,"sha1","","bacaa98c-8a9e-4923-b84c-40175cefc4a2","pe-section","file"
"d79f4519-28c9-46d1-acb1-d3a409f05819",59630,"Payload delivery","sha256","8d82401c0d2a113fd8c9e5c3f589d182a868cb30e898d665ab5fbf26ee581cc9","",1,1629471063,"sha256","","bacaa98c-8a9e-4923-b84c-40175cefc4a2","pe-section","file"
"2ff07fa6-fb60-453f-89de-036892e8ebdc",59630,"Other","size-in-bytes",98304,"",0,1629471063,"size-in-bytes","","bacaa98c-8a9e-4923-b84c-40175cefc4a2","pe-section","file"
"fe5436aa-0936-4e7c-8d0c-abd40a9a09c4",59630,"Other","float",5.97004,"",0,1629471063,"entropy","","bacaa98c-8a9e-4923-b84c-40175cefc4a2","pe-section","file"
"52e1a59b-b835-44a0-a4ee-7b96af936d12",59630,"Other","text",".rsrc","",0,1629471063,"name","","5a336a72-7c6f-4150-b48d-b15a5675f404","pe-section","file"
"348c8636-c4f7-4793-8a34-f22f3d28a424",59630,"Payload delivery","md5","1aa444352eed88ac74e22120c363637a","",1,1629471063,"md5","","5a336a72-7c6f-4150-b48d-b15a5675f404","pe-section","file"
