uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"00229f8a-5307-47b7-9059-16c2d108602b",6852,"Payload delivery","filename","bin.sh","",0,1693186810,"","","","",""
"1c01694b-250b-4139-b8e0-94d75f4eb354",6852,"Payload delivery","md5","2079408770a499851d67bb0fc29bc158","",1,1693186810,"","","","",""
"1b5bdd5f-11ba-4943-8f54-4e1be42ec3eb",6852,"Payload delivery","sha1","8c4aa2973675b10cc5708d1d9fa351153feb66a9","",1,1693186810,"","","","",""
"e3da3137-3e16-42c5-8890-d52cab46bbb7",6852,"Payload delivery","sha256","31349f818ca07284baf864a8cc09d00c6615332a08a6e49fd9b2f8c6584379dd","",1,1693186810,"","","","",""
"c45a6497-fc38-41f3-9879-aa6b4603f058",6852,"Payload delivery","mime-type","application/x-executable","",0,1693186810,"","","","",""
"1c109294-ebcc-4e68-b136-23aaf858b220",6852,"Network activity","url","http://77.107.41.58:35558/bin.sh","",1,1693186810,"","","","",""
"fe7f9582-e5d9-4dd0-b442-df5fee8a93cf",6852,"Network activity","ip-dst","77.107.41.58","",1,1693186810,"","","","",""
"dc5d3b9b-8e3a-4c00-bd78-cf9051b641bd",6852,"External analysis","link","https://www.virustotal.com/gui/file/31349f818ca07284baf864a8cc09d00c6615332a08a6e49fd9b2f8c6584379dd/detection","",0,1693186811,"permalink","","3251bb38-3b92-421d-96fc-4f71a7cb29c2","virustotal-report","misc"
"598f2c0f-da8f-4dc9-a96c-103e8773d35d",6852,"Other","datetime","2020-12-27T08:43:28.000000+0000","",0,1693186811,"last-submission","","3251bb38-3b92-421d-96fc-4f71a7cb29c2","virustotal-report","misc"
"26edea53-ac0c-40e2-9f16-ac9ec9f9dde6",6852,"Other","text","20/61","",0,1693186811,"detection-ratio","","3251bb38-3b92-421d-96fc-4f71a7cb29c2","virustotal-report","misc"

