uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"017bc5bc-9ff8-4bda-b971-232fbb227e97",40263,"Payload delivery","filename","phantom.spc","",0,1683787564,"","","","",""
"9e9a588e-5840-40fe-9480-8b25e936dd5a",40263,"Payload delivery","md5","3f607f79bccf819a97711b619925fd54","",1,1683787564,"","","","",""
"dd428b78-1b81-4d81-bbdf-220ac5aaf1e9",40263,"Payload delivery","sha1","041a0baf4344b10035739de6c8d5b3dddad28bf1","",1,1683787564,"","","","",""
"3e35bdcf-79b2-4319-a721-5558127f560e",40263,"Payload delivery","sha256","46a2cf463eef1e7c361a594e71caf9b48fef671e781f3dfa16118e7e96f760b9","",1,1683787564,"","","","",""
"6ac0bbb6-c58c-4453-9189-41241daa4e19",40263,"Payload delivery","mime-type","ELF 32-bit MSB executable, SPARC, version 1 (SYSV), statically linked, stripped","",0,1683787564,"","","","",""
"5d62b95f-718b-4e35-9b4d-673a6d831021",40263,"Network activity","url","http://15.235.33.231/bins/phantom.spc","",1,1683787564,"","","","",""
"1c5e59f1-3032-43c9-b1cb-251ea6c0e898",40263,"Network activity","ip-dst","15.235.33.231","",1,1683787564,"","","","",""
"7ea2afb9-5ed4-4548-b4f9-61cd1c47d2b4",40263,"External analysis","link","https://www.virustotal.com/gui/file/46a2cf463eef1e7c361a594e71caf9b48fef671e781f3dfa16118e7e96f760b9/detection","",0,1683787564,"permalink","","f1189557-5a41-40a5-bd01-6c7eb6435a7b","virustotal-report","misc"
"57e0b2c2-96ed-4a87-9333-741ef6711185",40263,"Other","datetime","2023-05-10T18:56:23.000000+0000","",0,1683787564,"last-submission","","f1189557-5a41-40a5-bd01-6c7eb6435a7b","virustotal-report","misc"
"d72e4094-f09f-47cc-946a-8d039275a6b0",40263,"Other","text","35/60","",0,1683787564,"detection-ratio","","f1189557-5a41-40a5-bd01-6c7eb6435a7b","virustotal-report","misc"

