uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"936434b6-07ac-4afd-877d-441eed658012",52664,"Payload delivery","filename","meth.arm7","",0,1617704241,"","","","",""
"d8e0266e-67ef-435e-916f-552e321c5f31",52664,"Payload delivery","md5","1d02d8e34b1423ca1b3ee6773baaa197","",1,1617704241,"","","","",""
"d9d4c2af-e461-4689-8295-bb2f9edb5990",52664,"Payload delivery","sha1","365ba3304d85bd31250fccd95f20a3347663ad16","",1,1617704241,"","","","",""
"a586ac63-8bfa-47dc-bb19-7e293e066932",52664,"Payload delivery","sha256","5535c01b53f20f8aae14cf99df5de7e62f727cc31a98d68616b89e16f1c58716","",1,1617704241,"","","","",""
"9ba38437-2037-4933-bf38-ae684a4d61fc",52664,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, EABI4 version 1 (SYSV), statically linked, with debug_info, not stripped","",0,1617704241,"","","","",""
"f507abc4-9ec2-4161-ab5f-01ea616843c6",52664,"Network activity","url","http://179.43.176.41/1a9zxq/meth.arm7","",1,1617704241,"","","","",""
"cb8b964e-70b4-49fa-994b-f15c143557d8",52664,"Network activity","ip-dst","179.43.176.41","",1,1617704241,"","","","",""
"fbf22a20-8563-4398-980b-9c50adc2b9ce",52664,"External analysis","link","https://www.virustotal.com/gui/file/5535c01b53f20f8aae14cf99df5de7e62f727cc31a98d68616b89e16f1c58716/detection","",0,1617704241,"permalink","","9930b64c-b255-4bfc-bb52-c2538e70d953","virustotal-report","misc"
"8bc39dc8-e909-423a-b7f0-7553016ada97",52664,"Other","datetime","2021-04-06T08:46:39.000000+0000","",0,1617704241,"last-submission","","9930b64c-b255-4bfc-bb52-c2538e70d953","virustotal-report","misc"
"c83e45b5-92e0-402f-9a24-14e87b074de3",52664,"Other","text","29/61","",0,1617704241,"detection-ratio","","9930b64c-b255-4bfc-bb52-c2538e70d953","virustotal-report","misc"

