uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"554f8859-e737-493d-80d6-1f8ded33ba9c",43775,"Payload delivery","filename","Gbotbins.sh","",0,1610895129,"","","","",""
"767dd712-b1f7-4406-9720-30e328f897d1",43775,"Payload delivery","md5","1366dce5ec19c01c19ea37d0054c6a76","",1,1610895129,"","","","",""
"e3163570-5d39-4830-972f-783588145d09",43775,"Payload delivery","sha1","b534f85f7c596cfbe1bfa3c18a61b08624148b57","",1,1610895129,"","","","",""
"f94c26dc-54df-4a2e-b22f-042ddd296f00",43775,"Payload delivery","sha256","f900435b44e4ddf48439d912c78be440de4435e5356cf80bc1424341643b534b","",1,1610895129,"","","","",""
"386be513-2eea-487c-9d22-84dba9594196",43775,"Payload delivery","mime-type","Bourne-Again shell script, ASCII text executable","",0,1610895129,"","","","",""
"becbe91b-5fe8-4e4f-9d99-15bceb081376",43775,"Network activity","url","http://198.98.48.137/Gbotbins.sh","",1,1610895129,"","","","",""
"0183f274-4b02-4387-8359-91e9b1f99be3",43775,"Network activity","ip-dst","198.98.48.137","",1,1610895129,"","","","",""
"1599adb0-e80f-43df-b4b9-19a2d479ec7f",43775,"External analysis","link","https://www.virustotal.com/gui/file/f900435b44e4ddf48439d912c78be440de4435e5356cf80bc1424341643b534b/detection","",0,1610895129,"permalink","","b43ecba6-c0f3-4058-a7af-4f26062c0a1b","virustotal-report","misc"
"9bab9c3f-9f18-42a6-a630-9dd4ac5fda48",43775,"Other","datetime","2021-01-17T13:50:25.000000+0000","",0,1610895129,"last-submission","","b43ecba6-c0f3-4058-a7af-4f26062c0a1b","virustotal-report","misc"
"21e9a0dd-8ad0-4f6e-b998-c5f05896d276",43775,"Other","text","34/60","",0,1610895129,"detection-ratio","","b43ecba6-c0f3-4058-a7af-4f26062c0a1b","virustotal-report","misc"

