uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"0c0313e9-52f6-41fb-a75a-236b49368786",35266,"Payload delivery","filename","w6auj9ii3rp.exe","",0,1679079437,"","","","",""
"4ef5de3f-1658-4a8b-aa00-2b5caf56643f",35266,"Payload delivery","md5","57e3fc905b5cb1811f155ec4aef82795","",1,1679079437,"","","","",""
"bf9922d8-e49a-43fb-bca2-5d25066c9a64",35266,"Payload delivery","sha1","2ca77867f751067d96d1eb27828de238b403e414","",1,1679079437,"","","","",""
"36997508-0a24-465d-939a-c61b2ce41d75",35266,"Payload delivery","sha256","a8509b53acec11ea8c6ca3845a9110d0c3477a60f4ca418f7dfd1a29f320765d","",1,1679079437,"","","","",""
"c5dfaa42-2f11-47c9-bd89-6cf41dd3b0f4",35266,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1679079437,"","","","",""
"6a81bc1b-872c-4b12-8579-20a3053d021c",35266,"Payload delivery","imphash","ad9a9e653c662aac447a2ff29709f237","",0,1679079437,"","","","",""
"b175cf70-cafb-46d4-a112-60dfc895abcb",35266,"Network activity","url","http://62.204.41.88/lend/w6auj9ii3rp.exe","",1,1679079437,"","","","",""
"3ff96e44-cbc0-4919-ae24-020ac77b2c46",35266,"Network activity","ip-dst","62.204.41.88","",1,1679079437,"","","","",""
"287fbda7-af42-4cf6-a3b5-a7e0b07aecce",35266,"Other","text",".text","",0,1679079437,"name","","38a088e2-3fd2-4eff-b8f5-4b0dc864cb47","pe-section","file"
"b991a8f1-72c5-4f0d-ba58-fdef306955dd",35266,"Payload delivery","md5","7f7208be9fca410e98b41722856b9a37","",1,1679079437,"md5","","38a088e2-3fd2-4eff-b8f5-4b0dc864cb47","pe-section","file"
"99758026-1e0e-410d-8edb-64798b6bc931",35266,"Payload delivery","sha1","e8e3fcc18a7444c53d0317f1226d5ef1fc7f065a","",1,1679079437,"sha1","","38a088e2-3fd2-4eff-b8f5-4b0dc864cb47","pe-section","file"
"2103d2ec-9aa3-460a-b1b4-d55c132c22f4",35266,"Payload delivery","sha256","b25a706f56079903bca4238686b3fbdc1c2e41c1b39b09e087913227c0ec2e4b","",1,1679079437,"sha256","","38a088e2-3fd2-4eff-b8f5-4b0dc864cb47","pe-section","file"
"97576c40-3236-496d-8fc6-43b6d11a90d5",35266,"Other","size-in-bytes",146432,"",0,1679079437,"size-in-bytes","","38a088e2-3fd2-4eff-b8f5-4b0dc864cb47","pe-section","file"
"3dc80466-7cda-42b2-940c-4ca1251d53f2",35266,"Other","float",6.65713,"",0,1679079437,"entropy","","38a088e2-3fd2-4eff-b8f5-4b0dc864cb47","pe-section","file"
"05b2a682-c8b0-493e-a674-74689996e0bc",35266,"Other","text",".rdata","",0,1679079437,"name","","d588dab2-b705-4c99-8238-81df879bbcd9","pe-section","file"
"d5b6390e-6c3f-4f78-8b9d-58fab3e0d8c1",35266,"Payload delivery","md5","423a403d5a6f981555d82dc76db38a6a","",1,1679079437,"md5","","d588dab2-b705-4c99-8238-81df879bbcd9","pe-section","file"
"1860bcc1-4ec1-4289-b77c-1796f1f8ac27",35266,"Payload delivery","sha1","c204e5ff4ee7a4f51b9f06e2166604db600c2899","",1,1679079437,"sha1","","d588dab2-b705-4c99-8238-81df879bbcd9","pe-section","file"
"d8ecc0ca-85fd-4d6c-941f-5b5be5329b1e",35266,"Payload delivery","sha256","13be25489acf46f43adf2077b091006bf1b9116f39e0963e83f42d985d0b0038","",1,1679079437,"sha256","","d588dab2-b705-4c99-8238-81df879bbcd9","pe-section","file"
"d29e51a6-0539-47ae-965e-0c4611f49f02",35266,"Other","size-in-bytes",61952,"",0,1679079437,"size-in-bytes","","d588dab2-b705-4c99-8238-81df879bbcd9","pe-section","file"
"73a0590a-9b57-4562-a64a-4f6cc005f877",35266,"Other","float",5.81229,"",0,1679079437,"entropy","","d588dab2-b705-4c99-8238-81df879bbcd9","pe-section","file"
"dc7672f4-7043-485a-9cfb-fd5776c06950",35266,"Other","text",".data","",0,1679079437,"name","","fe70987b-760e-42b6-b195-fb659085bd2e","pe-section","file"
"3edb6d41-fa13-4702-9882-93a12afdbf2b",35266,"Payload delivery","md5","894c60e08e76c19022f41425149262fe","",1,1679079437,"md5","","fe70987b-760e-42b6-b195-fb659085bd2e","pe-section","file"
"04321284-41ba-410d-8cc8-ba0e905e429a",35266,"Payload delivery","sha1","b7aa8c979fa8e863f2ec7a3ed23ffe19f859387c","",1,1679079437,"sha1","","fe70987b-760e-42b6-b195-fb659085bd2e","pe-section","file"
"56e456dc-d114-4c4b-9d1f-d54434a41987",35266,"Payload delivery","sha256","e2e3bdc41f2b682b67899de9d1ec1423fe51b642f8cf6718a31fb960b05e2b19","",1,1679079437,"sha256","","fe70987b-760e-42b6-b195-fb659085bd2e","pe-section","file"
"75b67c4f-9241-4eff-9fcf-2cdce5daa0cc",35266,"Other","size-in-bytes",183296,"",0,1679079437,"size-in-bytes","","fe70987b-760e-42b6-b195-fb659085bd2e","pe-section","file"
"ad376df2-dab8-4510-a32c-aaf5037b8a90",35266,"Other","float",7.97959,"",0,1679079437,"entropy","","fe70987b-760e-42b6-b195-fb659085bd2e","pe-section","file"
"3e96122b-2f59-42c7-a44a-84d6c068ec28",35266,"Other","text",".reloc","",0,1679079438,"name","","3c832a0f-eab8-413a-beaa-69859b8ace79","pe-section","file"
"bdbe3d5f-a8a5-4785-bf2f-3e384784f738",35266,"Payload delivery","md5","f26642df53676c5b7d47d05254ec9508","",1,1679079438,"md5","","3c832a0f-eab8-413a-beaa-69859b8ace79","pe-section","file"
"d3826a18-ee2a-40c9-b099-4c616782b0f7",35266,"Payload delivery","sha1","7c15b92bd0618c002b5298e16361550ab8d002bf","",1,1679079438,"sha1","","3c832a0f-eab8-413a-beaa-69859b8ace79","pe-section","file"
"707d6afa-f509-465f-928c-39da85d84bbc",35266,"Payload delivery","sha256","42af8c9ef27623f237e42707b21b44bf73599366ae4ee80e47ee77cee5e278cf","",1,1679079438,"sha256","","3c832a0f-eab8-413a-beaa-69859b8ace79","pe-section","file"
"7ae19404-c4d0-44d9-b78d-14d3176ac5f6",35266,"Other","size-in-bytes",7680,"",0,1679079438,"size-in-bytes","","3c832a0f-eab8-413a-beaa-69859b8ace79","pe-section","file"
"3b677a4b-532d-4847-939d-a5b673db3afe",35266,"Other","float",6.41592,"",0,1679079438,"entropy","","3c832a0f-eab8-413a-beaa-69859b8ace79","pe-section","file"
"1a966ec1-2dc5-46c9-a8ad-885c40222cae",35266,"Other","text",".sql1","",0,1679079438,"name","","c3ae2cfc-f897-4610-885e-7f12dc4708d1","pe-section","file"
"667db0f0-f777-4266-85ef-0428bad99162",35266,"Payload delivery","md5","98fb9aad9cb96390bbf5e3af2fd042de","",1,1679079438,"md5","","c3ae2cfc-f897-4610-885e-7f12dc4708d1","pe-section","file"
"80f08e35-421f-409b-a02a-73e6e1049f4e",35266,"Payload delivery","sha1","f52a790dc14a8245b9b097d70ce95727b3a47da5","",1,1679079438,"sha1","","c3ae2cfc-f897-4610-885e-7f12dc4708d1","pe-section","file"
"815106b5-0e6c-4ba7-9ae2-483fbaea39b1",35266,"Payload delivery","sha256","2e24b42af836198447979ba06834373535510cc96b0a600c46fb0c337134115f","",1,1679079438,"sha256","","c3ae2cfc-f897-4610-885e-7f12dc4708d1","pe-section","file"
"a2e2f718-6215-4420-a576-9a531135c8ef",35266,"Other","size-in-bytes",311296,"",0,1679079438,"size-in-bytes","","c3ae2cfc-f897-4610-885e-7f12dc4708d1","pe-section","file"
"a1c0b400-3a35-423d-8cf1-adbab29bca90",35266,"Other","float",0.00270705,"",0,1679079438,"entropy","","c3ae2cfc-f897-4610-885e-7f12dc4708d1","pe-section","file"
