uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"e7b69562-ae8d-43b9-a95a-843582116156",18860,"Payload delivery","filename","Bjnkv.exe","",0,1656701886,"","","","",""
"39f0fc89-cc9c-464d-9083-ac8362c75954",18860,"Payload delivery","md5","9042879673e7f80d18d56235a7a01d1d","",1,1656701886,"","","","",""
"c754bae8-a8b4-4948-80ef-8f1c705fe0be",18860,"Payload delivery","sha1","e8618cf4fb85ccd92f3b78a56e6a0fe34ca05e6e","",1,1656701886,"","","","",""
"2c957d75-d7e2-4e8b-a501-e02b0d8d1c01",18860,"Payload delivery","sha256","27bd2156328e16fdf2c1937dd58dbd3b64a4c543f43a987546b245813295a3e6","",1,1656701886,"","","","",""
"51d6cceb-59c9-467e-af2f-738654415387",18860,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386 Mono/.Net assembly, for MS Windows","",0,1656701886,"","","","",""
"5dff20d4-5fc0-4cc1-ab75-224056d77b3f",18860,"Payload delivery","imphash","f34d5f2d4577ed6d9ceec516c1f5a744","",0,1656701886,"","","","",""
"0d36aa1e-c42e-4596-81e8-4b297a973d9a",18860,"Network activity","url","http://13.49.75.32/igw/Bjnkv.exe","",1,1656701886,"","","","",""
"6acd00c6-6bae-4015-bdb8-c9bcb80aae63",18860,"Network activity","ip-dst","13.49.75.32","",1,1656701886,"","","","",""
"deecf875-53ec-4771-9949-b972846c0c0e",18860,"Other","text",".text","",0,1656701886,"name","","27a03f0d-67dd-4afc-abd8-8442f957114c","pe-section","file"
"ef5de329-228f-47aa-b6fa-d4c98761161f",18860,"Payload delivery","md5","2326fda47ea4c48a7a30f24c4de41960","",1,1656701886,"md5","","27a03f0d-67dd-4afc-abd8-8442f957114c","pe-section","file"
"1d241998-7820-4439-8062-7c7bf51c7668",18860,"Payload delivery","sha1","705ef88b6284ae9ff788658236009f9f96a819c4","",1,1656701886,"sha1","","27a03f0d-67dd-4afc-abd8-8442f957114c","pe-section","file"
"797dfe32-7d10-427f-9e96-0c9d7dcee975",18860,"Payload delivery","sha256","d6d9f87f347e3d32837724abfd4d5583bd56fb82236eb3fb37f2ea209a67e6e1","",1,1656701886,"sha256","","27a03f0d-67dd-4afc-abd8-8442f957114c","pe-section","file"
"b958db54-e39a-44a5-b79d-24037208e18e",18860,"Other","size-in-bytes",555520,"",0,1656701886,"size-in-bytes","","27a03f0d-67dd-4afc-abd8-8442f957114c","pe-section","file"
"926b4744-d031-4cb7-a955-ba274f192a0d",18860,"Other","float",7.99732,"",0,1656701886,"entropy","","27a03f0d-67dd-4afc-abd8-8442f957114c","pe-section","file"
"fc46b4cf-bf3c-41f3-a43c-f913ccf7a41f",18860,"Other","text",".rsrc","",0,1656701886,"name","","27ff460a-4e60-442e-802d-a0a4de4a3846","pe-section","file"
"4ead09d7-1348-4567-94f8-3cb69cdc0b5b",18860,"Payload delivery","md5","c596724b493e32c17ebc4f89717ac9c3","",1,1656701886,"md5","","27ff460a-4e60-442e-802d-a0a4de4a3846","pe-section","file"
"66a74dcc-130a-4a4c-9abd-4dae35c83668",18860,"Payload delivery","sha1","59f8f331499eea81deb38c4ce93ac7792f55daab","",1,1656701886,"sha1","","27ff460a-4e60-442e-802d-a0a4de4a3846","pe-section","file"
"0256eb85-c427-4d2e-809d-b2a5e46c4f18",18860,"Payload delivery","sha256","04907905d064667792d3cb176615de27fc39d03def2206b33039b64854eaf16d","",1,1656701886,"sha256","","27ff460a-4e60-442e-802d-a0a4de4a3846","pe-section","file"
"da41d81c-6a85-427d-9b29-19331a6f4e76",18860,"Other","size-in-bytes",27648,"",0,1656701886,"size-in-bytes","","27ff460a-4e60-442e-802d-a0a4de4a3846","pe-section","file"
"deef3f5e-ae04-4d7a-9a60-06192864e19a",18860,"Other","float",4.76218,"",0,1656701886,"entropy","","27ff460a-4e60-442e-802d-a0a4de4a3846","pe-section","file"
"2ef20292-0af4-47a3-b8ea-8284371ea51c",18860,"Other","text",".reloc","",0,1656701887,"name","","03c2363c-1f32-4ea1-bc39-e0bb1c6283d8","pe-section","file"
"0180f4c3-5d94-490f-87c7-b15ab667d6cc",18860,"Payload delivery","md5","a6520ba60aa99b205db355f4cc405eed","",1,1656701887,"md5","","03c2363c-1f32-4ea1-bc39-e0bb1c6283d8","pe-section","file"
"3f80d59a-f1c6-4051-bbf5-4154e23f5557",18860,"Payload delivery","sha1","4647d72e5c5cb8c05d0ecd476303eb43198217d4","",1,1656701887,"sha1","","03c2363c-1f32-4ea1-bc39-e0bb1c6283d8","pe-section","file"
"f8b03b58-024f-42d6-9427-a0657d4ae60e",18860,"Payload delivery","sha256","685a69e1440b4e9bbad63d4bb1c6cb997a24cc93a8d27098e583a8103f940afb","",1,1656701887,"sha256","","03c2363c-1f32-4ea1-bc39-e0bb1c6283d8","pe-section","file"
"2235d32c-0af7-41b9-9f2a-fd55930b52ad",18860,"Other","size-in-bytes",512,"",0,1656701887,"size-in-bytes","","03c2363c-1f32-4ea1-bc39-e0bb1c6283d8","pe-section","file"
"42850ff4-6f0a-45d7-bbaa-a9a578dee6cd",18860,"Other","float",0.10191,"",0,1656701887,"entropy","","03c2363c-1f32-4ea1-bc39-e0bb1c6283d8","pe-section","file"
"c12e281e-a920-4d84-9d9c-9001a9cf3a26",18860,"External analysis","link","https://www.virustotal.com/gui/file/27bd2156328e16fdf2c1937dd58dbd3b64a4c543f43a987546b245813295a3e6/detection","",0,1656701887,"permalink","","18c5b581-04eb-4bb8-8e9c-f356c16f0f94","virustotal-report","misc"
"7298178a-9547-45d1-b533-b56381b39732",18860,"Other","datetime","2022-07-01T04:25:48.000000+0000","",0,1656701887,"last-submission","","18c5b581-04eb-4bb8-8e9c-f356c16f0f94","virustotal-report","misc"
"2daab76d-1ed9-473b-890a-63f0de08ee89",18860,"Other","text","41/68","",0,1656701887,"detection-ratio","","18c5b581-04eb-4bb8-8e9c-f356c16f0f94","virustotal-report","misc"

