uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"6eeb3923-a3a8-45f7-8f53-bba1bae8567f",42308,"Payload delivery","filename","Merlin.arm5","",0,1609510122,"","","","",""
"149e5341-7a81-4b53-a524-e968d6f43a40",42308,"Payload delivery","md5","74d9311f037efaed3a0a73ce1fabdff0","",1,1609510122,"","","","",""
"756e33a5-4ad3-4bef-b31e-a7304f3291b6",42308,"Payload delivery","sha1","5eef167e94f3dcfa6d5d6c5beb831ea81d4f99f2","",1,1609510122,"","","","",""
"3d82da4d-ea75-4826-ada9-92c1fc807545",42308,"Payload delivery","sha256","4593502eeae7795579c5a6db03be5d0b31b4d61f96d1644850c640dfdd815a99","",1,1609510122,"","","","",""
"359830a0-dd36-428b-8cfe-044d7f4be3a3",42308,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, version 1 (ARM), statically linked, stripped","",0,1609510122,"","","","",""
"5bca9eac-7f5e-48c1-b189-2576be44b026",42308,"Network activity","url","http://45.141.58.191/bns/Merlin.arm5","",1,1609510122,"","","","",""
"ae5a9730-ad6b-4dfc-ac15-0dc426eb9710",42308,"Network activity","ip-dst","45.141.58.191","",1,1609510122,"","","","",""
"13da2126-60dc-48a1-9c04-f5fac81dc4e2",42308,"External analysis","link","https://www.virustotal.com/gui/file/4593502eeae7795579c5a6db03be5d0b31b4d61f96d1644850c640dfdd815a99/detection","",0,1609510123,"permalink","","dc7cab32-1056-4f5a-bc2d-9aefc2f96005","virustotal-report","misc"
"1bb62882-12f3-4697-9645-e12d4c9848d0",42308,"Other","datetime","2021-01-01T13:04:00.000000+0000","",0,1609510123,"last-submission","","dc7cab32-1056-4f5a-bc2d-9aefc2f96005","virustotal-report","misc"
"b231c0ab-3243-47e3-b5ef-31de14dcab14",42308,"Other","text","29/62","",0,1609510123,"detection-ratio","","dc7cab32-1056-4f5a-bc2d-9aefc2f96005","virustotal-report","misc"

