uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"58211404-4832-456f-a655-23ed4ec5c6bc",62640,"Payload delivery","filename","Jm.exe","",0,1633365214,"","","","",""
"0c425591-e0ea-4b00-99cb-439b0823286f",62640,"Payload delivery","md5","48a883923bdeb3d9cd1c2c15a002762b","",1,1633365214,"","","","",""
"51ee7d25-87c5-4e27-94e8-0ae69dab9625",62640,"Payload delivery","sha1","307412391f3827bc6b09aead8edc73b5ce4d18cb","",1,1633365214,"","","","",""
"4a075c08-2455-4828-b524-001a7fb70b00",62640,"Payload delivery","sha256","58d1175c71df58cf8befef187f0cd6c931ec0a52d8a37df4d13ff867a609c4d0","",1,1633365214,"","","","",""
"c8a655fe-9846-49f0-8aa0-00c44dc886c3",62640,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1633365214,"","","","",""
"d8aa2d59-937a-4aad-b6e2-c197d33a3948",62640,"Payload delivery","imphash","ff0bb68e944131943365efbe4d5b9737","",0,1633365214,"","","","",""
"cb070592-5467-4b5c-ae6b-f61b66d6aa02",62640,"Network activity","url","https://abrakadamnasja.xyz/css/Jm.exe","",1,1633365214,"","","","",""
"ae519125-7b44-4b9f-9f27-88f541468d54",62640,"Network activity","domain","abrakadamnasja.xyz","",1,1633365214,"","","","",""
"11c5fa5d-5199-4b84-baeb-e9ff8834dcee",62640,"Other","text",".text","",0,1633365214,"name","","1149c741-5f89-433d-84f6-e089ff8eab8d","pe-section","file"
"f6ea7ec9-d534-40d8-8844-3dcd18bbc585",62640,"Payload delivery","md5","fee5d802231fb50e78f38c5d3d93d1d1","",1,1633365214,"md5","","1149c741-5f89-433d-84f6-e089ff8eab8d","pe-section","file"
"0d80c683-bfb6-4455-b7ed-fa1a65498cd1",62640,"Payload delivery","sha1","64a95505c4605c5273f2431f85eefba6c31d03f8","",1,1633365214,"sha1","","1149c741-5f89-433d-84f6-e089ff8eab8d","pe-section","file"
"7dbdae03-f920-4883-abc8-e20b55ac679e",62640,"Payload delivery","sha256","906b448e5c32e9e8607464d13a4150c4eb851dd52327ac62ea8737d50d9f5dd2","",1,1633365214,"sha256","","1149c741-5f89-433d-84f6-e089ff8eab8d","pe-section","file"
"115f132a-522e-4723-a9bf-6e9000cacac8",62640,"Other","size-in-bytes",410624,"",0,1633365214,"size-in-bytes","","1149c741-5f89-433d-84f6-e089ff8eab8d","pe-section","file"
"518d5072-a1f9-4ee1-b263-2bcaf359a522",62640,"Other","float",6.54514,"",0,1633365214,"entropy","","1149c741-5f89-433d-84f6-e089ff8eab8d","pe-section","file"
"c9aa2dd4-56e0-4521-9310-86b31100b07f",62640,"Other","text",".itext","",0,1633365215,"name","","040b98d7-d845-4b9f-86f0-b0af0cac39d9","pe-section","file"
"29e5e54c-9e2f-4269-81e1-8dbcb864e669",62640,"Payload delivery","md5","37d2bc801f74657fff48dad3ef32bff8","",1,1633365215,"md5","","040b98d7-d845-4b9f-86f0-b0af0cac39d9","pe-section","file"
"9434aa02-8eca-440f-adbb-0d3c9002896a",62640,"Payload delivery","sha1","0b243ef522acc44580038e7e0aeec0d2177312a8","",1,1633365215,"sha1","","040b98d7-d845-4b9f-86f0-b0af0cac39d9","pe-section","file"
"66c1c840-a84c-44ed-b16d-d70355a3979d",62640,"Payload delivery","sha256","3a9fbcb13a2775a26566546197ef91dbecbbdaa77a10e2cc239a6d327f1b071d","",1,1633365215,"sha256","","040b98d7-d845-4b9f-86f0-b0af0cac39d9","pe-section","file"
"b1e44f36-2a2a-452b-a5e3-b15c416bdf3b",62640,"Other","size-in-bytes",2560,"",0,1633365215,"size-in-bytes","","040b98d7-d845-4b9f-86f0-b0af0cac39d9","pe-section","file"
"360b61d0-78fb-42ba-abc6-d45306c5f0da",62640,"Other","float",5.83221,"",0,1633365215,"entropy","","040b98d7-d845-4b9f-86f0-b0af0cac39d9","pe-section","file"
"9c70b506-ef6b-4791-a30f-d9491b94029b",62640,"Other","text",".data","",0,1633365215,"name","","29893799-abe9-431d-8d4c-e1a9b3d8eb0a","pe-section","file"
"62fca3a2-0d0f-44b1-864d-a5987e376c82",62640,"Payload delivery","md5","5ae71c5063613532944c4eb1df026077","",1,1633365215,"md5","","29893799-abe9-431d-8d4c-e1a9b3d8eb0a","pe-section","file"
"17e6db8f-40d1-4cf1-a5a2-2fcb5b71112e",62640,"Payload delivery","sha1","3c8fa9f976f6dfff9257e102d285667e9e6be2d2","",1,1633365215,"sha1","","29893799-abe9-431d-8d4c-e1a9b3d8eb0a","pe-section","file"
"7db32ace-28a8-4ba1-91ce-f6ab200b525d",62640,"Payload delivery","sha256","7a0c261fe4b9b8cc4dc0e73c06a6ff7c45b471d3c9386f6dd15198d2b727410e","",1,1633365215,"sha256","","29893799-abe9-431d-8d4c-e1a9b3d8eb0a","pe-section","file"
"aa8b902c-283d-4525-bfdd-25da6ee12dd5",62640,"Other","size-in-bytes",7680,"",0,1633365215,"size-in-bytes","","29893799-abe9-431d-8d4c-e1a9b3d8eb0a","pe-section","file"
"fdae5a21-79df-44c5-88ed-d7e8bb36d9c9",62640,"Other","float",3.9987,"",0,1633365215,"entropy","","29893799-abe9-431d-8d4c-e1a9b3d8eb0a","pe-section","file"
"2f1df4a0-ca46-4752-83de-88491b444a88",62640,"Other","text",".bss","",0,1633365216,"name","","37b21df9-b53e-4539-855f-c45255f2c9e0","pe-section","file"
"5ef1fb29-076b-4f70-9d81-9c253e9caaa8",62640,"Payload delivery","md5","d41d8cd98f00b204e9800998ecf8427e","",1,1633365216,"md5","","37b21df9-b53e-4539-855f-c45255f2c9e0","pe-section","file"
"65d67fde-175c-4ef9-8143-28029cfbcf32",62640,"Payload delivery","sha1","da39a3ee5e6b4b0d3255bfef95601890afd80709","",1,1633365216,"sha1","","37b21df9-b53e-4539-855f-c45255f2c9e0","pe-section","file"
"d2090eaa-2197-4cb1-b999-a143b08451ad",62640,"Payload delivery","sha256","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","",1,1633365216,"sha256","","37b21df9-b53e-4539-855f-c45255f2c9e0","pe-section","file"
"f9976460-fdf5-48fe-a435-ceb5fde4bb63",62640,"Other","size-in-bytes",0,"",0,1633365216,"size-in-bytes","","37b21df9-b53e-4539-855f-c45255f2c9e0","pe-section","file"
"0714e2c8-fe31-49ee-a080-e31ccb83a3ad",62640,"Other","float",0,"",0,1633365216,"entropy","","37b21df9-b53e-4539-855f-c45255f2c9e0","pe-section","file"
"0aa97f2f-6788-448c-a98d-ae6eb73b6287",62640,"Other","text",".idata","",0,1633365216,"name","","eb188435-410f-416d-aba2-e2538f1e231e","pe-section","file"
"fdbc069f-4480-4fc5-ae3d-f05a7b67c5fa",62640,"Payload delivery","md5","081fb2e9c74d1c144239516b3e1b04c7","",1,1633365216,"md5","","eb188435-410f-416d-aba2-e2538f1e231e","pe-section","file"
"618f5ee3-8585-442f-b29d-221274483ebc",62640,"Payload delivery","sha1","e94f96bd6c2345fb75c3be7e4f0d91f589e74381","",1,1633365216,"sha1","","eb188435-410f-416d-aba2-e2538f1e231e","pe-section","file"
"ada8e65d-de50-4d85-b10b-168099378c71",62640,"Payload delivery","sha256","38e66a2f8ffed0a4763a4741c8ea682846d5476489b2e0c3b1271a2b329f2121","",1,1633365216,"sha256","","eb188435-410f-416d-aba2-e2538f1e231e","pe-section","file"
"8d01db5e-71c1-44a7-a751-7b70ac8f27c8",62640,"Other","size-in-bytes",9728,"",0,1633365216,"size-in-bytes","","eb188435-410f-416d-aba2-e2538f1e231e","pe-section","file"
"22ae9e08-141a-48c1-af01-a081f08ae0ce",62640,"Other","float",5.16694,"",0,1633365216,"entropy","","eb188435-410f-416d-aba2-e2538f1e231e","pe-section","file"
"eb3fb4f8-8931-425b-a21a-aa116c0a5cf2",62640,"Other","text",".rdata","",0,1633365216,"name","","55f37387-1dce-4a77-8c90-3cdf6e2ba148","pe-section","file"
"fd0c810b-25b2-40b7-a82d-50669b276a6d",62640,"Payload delivery","md5","c910e4acd40c0ecbb84aa21a8bb5cc86","",1,1633365216,"md5","","55f37387-1dce-4a77-8c90-3cdf6e2ba148","pe-section","file"
"ccd5c1cd-31b5-4c25-a201-f29ebe4952c6",62640,"Payload delivery","sha1","ae068e5a9cd17d59ee02763cb430ae8ade1d7a24","",1,1633365216,"sha1","","55f37387-1dce-4a77-8c90-3cdf6e2ba148","pe-section","file"
"44db43ea-4e26-4056-82b2-9dcbdf2882fc",62640,"Payload delivery","sha256","f5fb1a600f67d5b558089b30c6b3651f7f935087fb225e0aa7b05bc3d168f570","",1,1633365216,"sha256","","55f37387-1dce-4a77-8c90-3cdf6e2ba148","pe-section","file"
"b62b45a0-f4b6-4fce-bda2-ac2054d816ef",62640,"Other","size-in-bytes",512,"",0,1633365216,"size-in-bytes","","55f37387-1dce-4a77-8c90-3cdf6e2ba148","pe-section","file"
"a838aa44-3a43-41ec-a2bf-fc1e8bbd40c1",62640,"Other","float",0.170146,"",0,1633365216,"entropy","","55f37387-1dce-4a77-8c90-3cdf6e2ba148","pe-section","file"
"ada1e983-dd01-416f-949c-09bd4d81ccdd",62640,"Other","text",".reloc","",0,1633365217,"name","","7b6f6794-9d36-48db-9df2-1ccfc5fb37d7","pe-section","file"
"9d7a8ec5-7c0d-4250-922c-7f4efcaf0396",62640,"Payload delivery","md5","079eea2308205a1d75f436e27d980832","",1,1633365217,"md5","","7b6f6794-9d36-48db-9df2-1ccfc5fb37d7","pe-section","file"
"6af9e93e-a375-40f2-b3e3-921692322ba9",62640,"Payload delivery","sha1","a42974bca601e7afbdfc298aea26a4bce0e106c0","",1,1633365217,"sha1","","7b6f6794-9d36-48db-9df2-1ccfc5fb37d7","pe-section","file"
"99a2ef93-ae0e-414a-b5e0-2223f653782f",62640,"Payload delivery","sha256","e7e1a26da9a6fbe09d0b6956645c02dde9a7fc8d3e24822445b9d2e458041b43","",1,1633365217,"sha256","","7b6f6794-9d36-48db-9df2-1ccfc5fb37d7","pe-section","file"
"e813e975-9afd-49af-b301-92f25fd68f57",62640,"Other","size-in-bytes",28672,"",0,1633365217,"size-in-bytes","","7b6f6794-9d36-48db-9df2-1ccfc5fb37d7","pe-section","file"
"9c13e83a-24d6-477f-bd18-320c05ff2d3f",62640,"Other","float",6.67038,"",0,1633365217,"entropy","","7b6f6794-9d36-48db-9df2-1ccfc5fb37d7","pe-section","file"
"d5936820-5d64-4543-bd19-c696741e3ff2",62640,"Other","text",".rsrc","",0,1633365217,"name","","86a19097-8ab5-47d2-81b6-43552e2b6a63","pe-section","file"
"b4ee0d13-e135-470e-98ad-4c721fea4e6d",62640,"Payload delivery","md5","9fc1f1ce2ab40a60aa616973b404a649","",1,1633365217,"md5","","86a19097-8ab5-47d2-81b6-43552e2b6a63","pe-section","file"
"5f31ddda-61b4-4f28-b1f7-05ab6e23e0cc",62640,"Payload delivery","sha1","770d1d7e427b3d9d94b0ddcb5e330f3fb995214b","",1,1633365217,"sha1","","86a19097-8ab5-47d2-81b6-43552e2b6a63","pe-section","file"
"8b33c4cd-ba37-4856-aed4-acbe289f94a3",62640,"Payload delivery","sha256","d78cf977c96fc75e0a82be143d856fab6ccd3e7729f1085ff44dc44314a3c7de","",1,1633365217,"sha256","","86a19097-8ab5-47d2-81b6-43552e2b6a63","pe-section","file"
"cde16b06-c3fe-4e7f-9428-43849cbfa4e6",62640,"Other","size-in-bytes",370688,"",0,1633365217,"size-in-bytes","","86a19097-8ab5-47d2-81b6-43552e2b6a63","pe-section","file"
"21a6569f-180a-4c64-9bc2-d64adcf5d27c",62640,"Other","float",5.92824,"",0,1633365217,"entropy","","86a19097-8ab5-47d2-81b6-43552e2b6a63","pe-section","file"
"a122e49a-f442-48ba-b5ab-b4653d3997c8",62640,"External analysis","link","https://www.virustotal.com/gui/file/58d1175c71df58cf8befef187f0cd6c931ec0a52d8a37df4d13ff867a609c4d0/detection","",0,1633365218,"permalink","","b1c4faa2-7c71-45fc-b158-a8b2c51b622f","virustotal-report","misc"
"43a3a662-9a54-4793-97de-398184e019f3",62640,"Other","datetime","2021-09-20T06:11:07.000000+0000","",0,1633365218,"last-submission","","b1c4faa2-7c71-45fc-b158-a8b2c51b622f","virustotal-report","misc"
"78dc5a95-ff3e-4c75-9196-d1711d6d477a",62640,"Other","text","39/66","",0,1633365218,"detection-ratio","","b1c4faa2-7c71-45fc-b158-a8b2c51b622f","virustotal-report","misc"

