uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"9c010e14-34f2-4392-ac86-9b5b2e4269ba",14164,"Payload delivery","filename","Ammyy.exe","",0,1729226239,"","","","",""
"ec1851c6-6978-4866-b2cf-1d7dfca088f5",14164,"Payload delivery","md5","3b4ed97de29af222837095a7c411b8a1","",1,1729226239,"","","","",""
"d8bf9254-0f76-4284-a094-c050b9de2aa7",14164,"Payload delivery","sha1","ea003f86db4cf74e4348e7e43e4732597e04db96","",1,1729226239,"","","","",""
"a02ccbce-80cc-4eb1-8987-28fb99f81aac",14164,"Payload delivery","sha256","74656a65e96590a2734384bf89cb9ff677dcedff5f6e937d350b9f46ec52cd0a","",1,1729226239,"","","","",""
"a86abc93-cabf-4878-b0e2-4cfb6958e744",14164,"Payload delivery","mime-type","application/x-dosexec","",0,1729226239,"","","","",""
"52a50dbc-cd44-4f80-931f-120a3e613394",14164,"Payload delivery","imphash","3a8eb283f62eca7206b65c62b7d51bd5","",0,1729226239,"","","","",""
"95cebfc0-765d-4272-ab4e-35dde6dd9e70",14164,"Network activity","url","http://soportegira.net/descargas/Ammyy.exe","",1,1729226239,"","","","",""
"97355e5a-65cc-4210-8193-eba015c6132a",14164,"Network activity","domain","soportegira.net","",1,1729226239,"","","","",""
"8d590539-df82-4326-8a30-9cc60e7dd2e0",14164,"Other","text",".text","",0,1729226240,"name","","824481d1-2da3-4332-a739-97430080c364","pe-section","file"
"a1a5bc86-a032-43b6-95e4-8be7642d2596",14164,"Payload delivery","md5","18f21f4bf8c8043c6d676796d512243f","",1,1729226240,"md5","","824481d1-2da3-4332-a739-97430080c364","pe-section","file"
"50a35078-fefe-457a-a79c-c518ec4ad685",14164,"Payload delivery","sha1","3e59ddbedd9b533d6a8d9862cb310d5b92a384ed","",1,1729226240,"sha1","","824481d1-2da3-4332-a739-97430080c364","pe-section","file"
"b19d36f7-e518-4b71-a6d7-cd011982dd8d",14164,"Payload delivery","sha256","475bdd237134bfd7ff52b2289b359c0c5d2cc94200fca9632ebb6aab6876a3e1","",1,1729226240,"sha256","","824481d1-2da3-4332-a739-97430080c364","pe-section","file"
"feb2c5ae-da73-4709-a1be-31300e58ccbc",14164,"Other","size-in-bytes",532480,"",0,1729226240,"size-in-bytes","","824481d1-2da3-4332-a739-97430080c364","pe-section","file"
"106dc79a-c9e3-4db4-adac-231b64047895",14164,"Other","float",6.70478,"",0,1729226240,"entropy","","824481d1-2da3-4332-a739-97430080c364","pe-section","file"
"819eaba5-4ebb-4e1b-8d0d-ca64f1247dcc",14164,"Other","text",".rdata","",0,1729226240,"name","","b9fa7870-f004-4584-a4a4-2449aa54722b","pe-section","file"
"19f163d9-b882-4887-bca8-65d850484c5b",14164,"Payload delivery","md5","6bbf88e0cd6467daec2d2b231584f8da","",1,1729226240,"md5","","b9fa7870-f004-4584-a4a4-2449aa54722b","pe-section","file"
"588b5a5e-235c-42e3-9c08-32ac4e9fc93f",14164,"Payload delivery","sha1","6d9fd015d79ca29588f3b35415d92580a882ff06","",1,1729226240,"sha1","","b9fa7870-f004-4584-a4a4-2449aa54722b","pe-section","file"
"2da191cd-99ae-4d80-a8b3-b5fc9f15e27c",14164,"Payload delivery","sha256","4171cd0874b23b55bc864c56d72ed23e9f4af5a5ba2d4e9d1c264670a871bb4a","",1,1729226240,"sha256","","b9fa7870-f004-4584-a4a4-2449aa54722b","pe-section","file"
"91430749-cae7-46ae-9773-d320767795ba",14164,"Other","size-in-bytes",102400,"",0,1729226240,"size-in-bytes","","b9fa7870-f004-4584-a4a4-2449aa54722b","pe-section","file"
"6ae1fb18-0a95-47c5-a9b8-3fd4c0fe1cc5",14164,"Other","float",5.1892,"",0,1729226240,"entropy","","b9fa7870-f004-4584-a4a4-2449aa54722b","pe-section","file"
"281ebd47-d5d4-4193-be63-ad5d49af06e3",14164,"Other","text",".data","",0,1729226240,"name","","32360721-aede-4f2b-b776-12e5681a250d","pe-section","file"
"66919f2d-30e7-42e2-9636-e6716847d1fb",14164,"Payload delivery","md5","eddb86cbb4b45a1e2c497057bcaf21a4","",1,1729226240,"md5","","32360721-aede-4f2b-b776-12e5681a250d","pe-section","file"
"d4ce4241-f178-4265-9423-21a4cb4629b8",14164,"Payload delivery","sha1","0127f7a2808405b476254124c8b2df88d0d205b0","",1,1729226240,"sha1","","32360721-aede-4f2b-b776-12e5681a250d","pe-section","file"
"cfccd986-728c-42a6-a19b-d3b5d318cce0",14164,"Payload delivery","sha256","f534a88a863574723df47f153a3cab6f9ccb09b8bc3795c3aa00fce294ac69ee","",1,1729226240,"sha256","","32360721-aede-4f2b-b776-12e5681a250d","pe-section","file"
"a1f6ee65-6ae9-417f-af67-091face861c2",14164,"Other","size-in-bytes",81920,"",0,1729226240,"size-in-bytes","","32360721-aede-4f2b-b776-12e5681a250d","pe-section","file"
"91dde547-791c-414d-a255-2dfbbe90c7db",14164,"Other","float",5.9627,"",0,1729226240,"entropy","","32360721-aede-4f2b-b776-12e5681a250d","pe-section","file"
"947f451b-68cc-452c-bb71-63e5f2d3f5ff",14164,"Other","text",".rsrc","",0,1729226240,"name","","b7b6f453-07cb-4ba3-b134-4ebfe7715c7f","pe-section","file"
"c2fe7ded-2c88-45a3-b3c2-83db07559d32",14164,"Payload delivery","md5","1eafa77e8ebdab649e26a7927ebea94a","",1,1729226240,"md5","","b7b6f453-07cb-4ba3-b134-4ebfe7715c7f","pe-section","file"
"824d1fcf-dfcf-49f7-b3ad-437610e7284f",14164,"Payload delivery","sha1","5a3bdc5ddaddc751b7425b039ac61cb4c54d6f9a","",1,1729226240,"sha1","","b7b6f453-07cb-4ba3-b134-4ebfe7715c7f","pe-section","file"
"1e91a5e2-8a0b-4bd8-a857-031a22f19a3e",14164,"Payload delivery","sha256","dcf16522a6be3a818f5a86d58ca2238b9c712d39bf5821bf7f82d7eba7328d8f","",1,1729226240,"sha256","","b7b6f453-07cb-4ba3-b134-4ebfe7715c7f","pe-section","file"
"97360932-60d3-42cf-bde8-64cea48b258c",14164,"Other","size-in-bytes",45056,"",0,1729226240,"size-in-bytes","","b7b6f453-07cb-4ba3-b134-4ebfe7715c7f","pe-section","file"
"d36073be-1c7c-4c42-9c51-3934acc8997d",14164,"Other","float",5.19725,"",0,1729226240,"entropy","","b7b6f453-07cb-4ba3-b134-4ebfe7715c7f","pe-section","file"
"1bcba959-9b49-423e-9da5-523369d9928a",14164,"External analysis","link","https://www.virustotal.com/gui/file/74656a65e96590a2734384bf89cb9ff677dcedff5f6e937d350b9f46ec52cd0a/detection","",0,1729226241,"permalink","","1a1ae986-8829-428a-83a9-4969e52566ff","virustotal-report","misc"
"fcaddde8-ad04-48c6-929a-7ce7544ebb90",14164,"Other","datetime","2024-10-16T18:38:25.000000+0000","",0,1729226241,"last-submission","","1a1ae986-8829-428a-83a9-4969e52566ff","virustotal-report","misc"
"83b0eb52-ec56-46c3-b53c-f60d1a61c60b",14164,"Other","text","53/77","",0,1729226241,"detection-ratio","","1a1ae986-8829-428a-83a9-4969e52566ff","virustotal-report","misc"

