uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"50a1d267-864a-4075-93dc-50b0b2ffd135",5646,"Payload delivery","filename","garm","",0,1643695203,"","","","",""
"a84accd1-1087-41f4-9ae0-e0bf307d4e49",5646,"Payload delivery","md5","66fe4e25187bb5c7cc798321182ff5fa","",1,1643695203,"","","","",""
"73ba246b-8ea8-48b3-b0f0-ffc7c0d1c9b4",5646,"Payload delivery","sha1","3912c5e2d78f4422de7224dbc0a15e14ecb6dc5f","",1,1643695203,"","","","",""
"33a193c9-12c6-49da-a91f-7624435b9aa7",5646,"Payload delivery","sha256","59a72fc8407eb179a99d4e5e0f2b9771e079ba4a65e6a54aebd3c13bf069d66c","",1,1643695203,"","","","",""
"aad489b8-64bf-4525-9bbc-25c107eb1738",5646,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, version 1 (ARM), statically linked, stripped","",0,1643695203,"","","","",""
"445cbfc8-92a4-48e9-a772-df2ab0f2166f",5646,"Network activity","url","http://104.168.21.177/garm","",1,1643695203,"","","","",""
"5327bcf1-a994-497d-a210-f40cf32ec5e8",5646,"Network activity","ip-dst","104.168.21.177","",1,1643695203,"","","","",""
"d71f95f7-a20c-4b0c-a012-ae7d5a0291a4",5646,"External analysis","link","https://www.virustotal.com/gui/file/59a72fc8407eb179a99d4e5e0f2b9771e079ba4a65e6a54aebd3c13bf069d66c/detection","",0,1643695203,"permalink","","911e0fe2-d3a7-4776-bdee-389412644f4c","virustotal-report","misc"
"7c451d46-3231-48eb-9152-010a89a63c96",5646,"Other","datetime","2022-02-01T02:55:06.000000+0000","",0,1643695203,"last-submission","","911e0fe2-d3a7-4776-bdee-389412644f4c","virustotal-report","misc"
"7a2d74ce-917f-4b8f-9869-5239389a6f6a",5646,"Other","text","21/62","",0,1643695203,"detection-ratio","","911e0fe2-d3a7-4776-bdee-389412644f4c","virustotal-report","misc"

