uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"f1d76522-5592-49f9-851c-cbfd38bda9a9",7301,"Payload delivery","filename","UM.exe","",0,1693465422,"","","","",""
"945488c1-6f38-494b-bacd-e0ede632f2da",7301,"Payload delivery","md5","670090338102dfe097f6e9561b069345","",1,1693465422,"","","","",""
"6f67a32c-ff7c-41b7-befb-7c6d7bf8a687",7301,"Payload delivery","sha1","ee3d27cd9c5ca0372e8e6478e1142fc24df237cc","",1,1693465422,"","","","",""
"c9f7eb65-80bd-4305-80c9-c3a55baa3d7d",7301,"Payload delivery","sha256","6c599434bb8bb0c1e15d1b40ca3e667630e19b7ad48b330591e220fee7722bb2","",1,1693465422,"","","","",""
"295fecf8-48b1-4c48-9f36-80c6b09e1662",7301,"Payload delivery","mime-type","application/x-dosexec","",0,1693465422,"","","","",""
"f81147c2-99c6-4110-b7f3-2e5474beff54",7301,"Payload delivery","imphash","6ed4f5f04d62b18d96b26d6db7c18840","",0,1693465422,"","","","",""
"77d4a7be-64c7-4ce2-835b-2576d8530d1e",7301,"Network activity","url","http://176.123.1.132:8088/UM.exe","",1,1693465422,"","","","",""
"3be7bfa4-dc4f-4389-947b-96512d217bf9",7301,"Network activity","ip-dst","176.123.1.132","",1,1693465422,"","","","",""
"5a1145eb-0c23-48cd-8e64-20ae36b2ae22",7301,"Other","text","UPX0","",0,1693465422,"name","","53863288-e453-40dd-9089-740b8ffcc52d","pe-section","file"
"d2e12b9b-6545-4380-9b8a-e9dc5f824edc",7301,"Payload delivery","md5","d41d8cd98f00b204e9800998ecf8427e","",1,1693465422,"md5","","53863288-e453-40dd-9089-740b8ffcc52d","pe-section","file"
"84228b0e-a44f-475c-b1d6-5797d0e8be08",7301,"Payload delivery","sha1","da39a3ee5e6b4b0d3255bfef95601890afd80709","",1,1693465422,"sha1","","53863288-e453-40dd-9089-740b8ffcc52d","pe-section","file"
"ece6a432-b517-46b7-87e5-3328bef65839",7301,"Payload delivery","sha256","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","",1,1693465422,"sha256","","53863288-e453-40dd-9089-740b8ffcc52d","pe-section","file"
